Name,oldest_sequence,newest_sequence,number_taxa
UK3690,2020-03-31,2020-03-31,2
UK5,2020-03-03,2020-05-31,1315
UK72,2020-03-11,2020-05-04,82
UK2735,2020-03-18,2020-05-15,91
UK760,2020-03-21,2020-04-22,43
UK56,2020-03-20,2020-06-02,52
UK49,2020-03-19,2020-06-02,9
UK157,2020-03-22,2020-06-02,8
UK632,2020-03-23,2020-06-02,216
UK247,2020-04-04,2020-05-27,13
UK5644,2020-03-22,2020-06-02,2
UK5645,2020-03-20,2020-05-28,3
UK5646,2020-04-27,2020-05-26,4
UK89,2020-03-11,2020-05-28,75
UK501,2020-04-03,2020-04-29,14
UK5505,2020-03-29,2020-05-01,12
UK343,2020-03-28,2020-05-15,64
UK3177,2020-04-17,2020-04-21,3
UK51,2020-03-21,2020-05-26,64
UK5334,2020-04-18,2020-05-02,4
UK5647,2020-04-15,2020-04-19,2
UK194,2020-03-19,2020-04-24,64
UK24,2020-03-18,2020-05-04,22
UK3107,2020-04-13,2020-04-19,3
UK235,2020-03-21,2020-05-04,25
UK29,2020-03-09,2020-05-08,17
UK177,2020-03-27,2020-05-12,79
UK238,2020-03-19,2020-05-07,47
UK806,2020-04-04,2020-05-08,12
UK2916,2020-02-03,2020-05-10,321
UK95,2020-03-10,2020-05-07,31
UK161,2020-03-10,2020-05-25,15
UK53,2020-03-26,2020-05-22,55
UK2045,2020-03-17,2020-05-09,17
UK5744,2020-03-22,2020-05-18,3
UK4442,2020-05-10,2020-05-24,17
UK5648,2020-03-08,2020-05-19,6
UK2539,2020-03-29,2020-05-14,3
UK5649,2020-03-15,2020-05-11,26
UK1177,2020-04-22,2020-05-16,4
UK5650,2020-03-08,2020-05-22,6
UK541,2020-04-01,2020-05-20,10
UK1005,2020-04-03,2020-05-20,5
UK2748,2020-04-23,2020-04-23,1
UK3019,2020-03-06,2020-05-07,37
UK4281,2020-03-21,2020-04-23,3
UK3017,2020-02-16,2020-05-14,2
UK2749,2020-05-04,2020-05-04,1
UK443,2020-03-31,2020-05-14,6
UK5651,2020-03-11,2020-04-22,2
UK919,2020-04-11,2020-04-23,4
UK2464,2020-03-09,2020-05-25,435
UK2888,2020-04-09,2020-05-14,4
UK2906,2020-04-02,2020-05-22,11
UK5652,2020-03-12,2020-05-12,2
UK5653,2020-03-12,2020-05-11,2
UK5654,2020-03-10,2020-04-16,2
UK461,2020-04-18,2020-05-19,20
UK5655,2020-04-01,2020-04-16,2
UK5656,2020-03-31,2020-05-12,2
UK5657,2020-03-24,2020-04-17,2
UK5658,2020-03-23,2020-04-16,2
UK5659,2020-03-24,2020-05-02,2
UK5660,2020-03-13,2020-05-10,34
UK200,2020-04-08,2020-05-18,76
UK6,2020-03-17,2020-05-13,94
UK274,2020-03-06,2020-05-21,65
UK351,2020-04-13,2020-05-21,27
UK3035,2020-03-24,2020-05-18,35
UK173,2020-03-16,2020-05-19,32
UK5672,2020-03-19,2020-05-13,44
UK233,2020-04-08,2020-05-21,41
UK278,2020-04-10,2020-05-06,14
UK199,2020-04-08,2020-05-21,59
UK543,2020-05-13,2020-05-19,5
UK1204,2020-03-30,2020-04-26,4
UK204,2020-04-07,2020-05-12,60
UK5661,2020-03-20,2020-05-19,5
UK248,2020-04-08,2020-05-16,27
UK607,2020-04-01,2020-04-28,2
UK36,2020-03-18,2020-05-21,332
UK793,2020-04-08,2020-05-21,6
UK214,2020-03-06,2020-05-21,54
UK5663,2020-04-11,2020-05-02,13
UK26,2020-03-18,2020-05-20,74
UK147,2020-04-04,2020-05-26,36
UK125,2020-04-22,2020-05-20,10
UK155,2020-03-19,2020-04-29,4
UK91,2020-03-28,2020-05-06,10
UK5098,2020-03-16,2020-05-12,241
UK82,2020-03-25,2020-05-13,40
UK39,2020-03-12,2020-05-10,86
UK187,2020-03-23,2020-04-28,44
UK73,2020-04-01,2020-05-13,17
UK40,2020-03-13,2020-05-12,143
UK4735,2020-04-22,2020-05-08,3
UK88,2020-03-22,2020-05-12,48
UK18,2020-03-11,2020-05-27,35
UK113,2020-03-22,2020-05-30,28
UK297,2020-04-09,2020-05-26,10
UK480,2020-04-02,2020-05-27,8
UK5486,2020-05-01,2020-05-28,6
UK394,2020-03-17,2020-05-24,29
UK52,2020-05-20,2020-05-20,1
UK5662,2020-03-17,2020-05-11,3
