Lineage name	Date range	Number of sequences	Global lineage	Time since last sample (days)	Activity score
UK5	Mar-03, May-31	1096	B.1.1, B.1.1.1	2	0.0339
UK2464	Mar-09, May-25	255	B.1.p11	8	0.0222
UK2916	Feb-03, May-10	253	B.1, B.1.p11	23	0.0132
UK9	Mar-09, May-15	201	B.1.13	18	0.0185
UK4	Feb-28, May-18	169	B	15	0.0287
UK494	Mar-20, May-05	106	B.1.p11	28	0.0152
UK2913	Mar-10, May-12	99	B.1.p11	21	0.0231
UK6	Mar-17, May-13	94	B.1	20	0.0306
UK19	Mar-09, May-15	93	B.1	18	0.0199
UK63	Mar-18, May-05	90	B.1.1	28	0.019
UK36	Mar-19, May-21	83	B.1	12	0.0161
UK177	Mar-27, May-12	79	B.1.1	21	0.0281
UK371	Mar-12, May-19	77	B.1.1	14	0.0631
UK200	Apr-08, May-18	76	B.1.p11	15	0.0356
UK77	Mar-11, May-20	74	B.2, B.2.4	13	0.069
UK26	Mar-18, May-20	74	B.1.1.3	13	0.0664
UK89	Mar-11, May-28	72	B.1.1.9	5	0.2108
UK632	Mar-23, Jun-02	71	B.1.1	0	active today
UK107	Mar-15, Apr-21	68	B.2.1, B.2, B.2.5	42	0.0131
UK66	Mar-18, May-20	68	B.1.1.8	13	0.0577
UK194	Mar-19, Apr-24	64	B.1.1	39	0.0147
UK343	Mar-28, May-15	64	B.1	18	0.0423
UK274	Mar-06, May-21	62	B.3, B	12	0.099
UK37	Mar-17, May-04	60	B.1, B.1.30	29	0.0271
UK204	Apr-07, May-12	60	B.1.1	21	0.0282
UK199	Apr-08, May-21	59	B.1.5.5	12	0.0618
UK339	Feb-23, Apr-16	59	B.3	47	0.015
UK115	Mar-15, Apr-20	58	B.2.1	43	0.0144
UK51	Mar-25, May-26	57	B.1.36	7	0.1497
UK2735	Mar-24, May-15	57	B.1.1	18	0.0358
UK476	Mar-31, May-06	56	B.1.1	27	0.0242
UK112	Mar-15, May-04	56	B.1.1, B.1.1.p11	29	0.0313
UK56	Mar-20, Jun-02	52	B.1.1	0	active today
UK214	Mar-06, May-21	52	B.1.1	12	0.1195
UK3	Feb-24, May-25	49	B.1	8	0.237
UK13	Mar-13, May-13	47	B.1.1	20	0.0663
UK94	Mar-12, Apr-19	47	B.2.1, B.2	44	0.0188
UK238	Mar-19, May-07	47	B.1.1	26	0.041
UK28	Mar-13, May-01	45	B.1.1.10	32	0.0348
UK513	Mar-12, Apr-29	43	B.1.p11	34	0.0336
UK5672	Mar-19, May-13	43	B.2	20	0.064
UK233	Apr-08, May-21	41	B.1.1	12	0.0896
UK128	Apr-03, May-27	40	B.1.1	6	0.2308
UK8	Mar-03, May-01	38	B	32	0.045
UK62	Mar-12, Apr-23	38	B.3	40	0.0262
UK31	Mar-21, May-06	37	B.1	27	0.0473
UK23	Mar-12, May-02	37	B, B.9	31	0.0445
UK346	Mar-16, Apr-19	36	B.1, B.1.72	44	0.0221
UK276	Mar-18, May-01	36	B.1.1	32	0.0393
UK190	Mar-01, Apr-19	36	B.1	44	0.0318
UK147	Apr-04, May-26	36	B.1.1	7	0.2122
UK283	Mar-25, May-04	35	B.1.1	29	0.0406
UK18	Mar-11, May-27	35	B.1.1.7	6	0.3775
UK12	Mar-12, May-07	35	B.1.p11	26	0.0615
UK3035	Mar-24, May-18	35	B.1	15	0.1078
