Lineage,Days,England,Scotland,Wales,Northern Ireland
UK194,2020-03-19,1,0,0,0
UK194,2020-03-21,1,0,0,0
UK194,2020-03-24,3,0,0,0
UK194,2020-03-24,3,0,0,0
UK194,2020-03-24,3,0,0,0
UK194,2020-03-25,7,0,0,0
UK194,2020-03-25,7,0,0,0
UK194,2020-03-25,7,0,0,0
UK194,2020-03-25,7,0,0,0
UK194,2020-03-25,7,0,0,0
UK194,2020-03-25,7,0,0,0
UK194,2020-03-25,7,0,0,0
UK194,2020-03-26,3,0,0,0
UK194,2020-03-26,3,0,0,0
UK194,2020-03-26,3,0,0,0
UK194,2020-03-27,2,0,0,0
UK194,2020-03-27,2,0,0,0
UK194,2020-03-28,5,0,0,0
UK194,2020-03-28,5,0,0,0
UK194,2020-03-28,5,0,0,0
UK194,2020-03-28,5,0,0,0
UK194,2020-03-28,5,0,0,0
UK194,2020-03-29,3,0,0,0
UK194,2020-03-29,3,0,0,0
UK194,2020-03-29,3,0,0,0
UK194,2020-03-30,3,0,0,0
UK194,2020-03-30,3,0,0,0
UK194,2020-03-30,3,0,0,0
UK194,2020-03-31,3,0,0,0
UK194,2020-03-31,3,0,0,0
UK194,2020-03-31,3,0,0,0
UK194,2020-04-01,3,0,0,0
UK194,2020-04-01,3,0,0,0
UK194,2020-04-01,3,0,0,0
UK194,2020-04-03,2,0,0,0
UK194,2020-04-03,2,0,0,0
UK194,2020-04-05,1,0,0,0
UK194,2020-04-08,2,0,0,0
UK194,2020-04-08,2,0,0,0
UK194,2020-04-09,6,0,0,0
UK194,2020-04-09,6,0,0,0
UK194,2020-04-09,6,0,0,0
UK194,2020-04-09,6,0,0,0
UK194,2020-04-09,6,0,0,0
UK194,2020-04-09,6,0,0,0
UK194,2020-04-10,3,0,0,0
UK194,2020-04-10,3,0,0,0
UK194,2020-04-10,3,0,0,0
UK194,2020-04-11,1,0,0,0
UK194,2020-04-12,3,0,0,0
UK194,2020-04-12,3,0,0,0
UK194,2020-04-12,3,0,0,0
UK194,2020-04-13,1,0,0,0
UK194,2020-04-17,1,0,0,0
UK194,2020-04-20,2,0,0,0
UK194,2020-04-20,2,0,0,0
UK87,2020-03-13,0,1,0,0
UK87,2020-03-17,0,3,0,0
UK87,2020-03-17,0,3,0,0
UK87,2020-03-17,0,3,0,0
UK87,2020-03-22,0,1,0,0
UK87,2020-03-23,0,2,0,0
UK87,2020-03-23,0,2,0,0
UK87,2020-03-26,0,1,0,0
UK87,2020-03-28,0,1,0,0
UK87,2020-03-29,0,2,0,0
UK87,2020-03-29,0,2,0,0
UK87,2020-04-03,0,1,0,0
UK87,2020-04-06,0,2,0,0
UK87,2020-04-06,0,2,0,0
UK87,2020-04-11,0,3,0,0
UK87,2020-04-11,0,3,0,0
UK87,2020-04-11,0,3,0,0
UK87,2020-04-13,0,1,0,0
UK87,2020-04-15,0,1,0,0
UK87,2020-04-20,0,1,0,0
UK38,2020-03-04,3,0,0,0
UK38,2020-03-04,3,0,0,0
UK38,2020-03-04,3,0,0,0
UK38,2020-03-07,1,0,0,0
UK38,2020-03-09,1,0,0,0
UK38,2020-03-12,1,0,0,0
UK38,2020-03-14,1,0,0,0
UK38,2020-03-16,1,1,0,0
UK38,2020-03-16,1,1,0,0
UK38,2020-03-18,1,0,0,0
UK38,2020-03-23,0,1,0,0
UK38,2020-04-03,0,1,0,0
UK38,2020-04-07,0,1,0,0
UK38,2020-04-14,0,1,0,0
UK38,2020-04-20,1,0,0,0
UK5712,2020-03-12,1,0,0,0
UK5712,2020-03-16,1,0,0,0
UK5712,2020-03-17,1,0,0,0
UK5712,2020-03-18,1,0,0,0
UK5712,2020-03-21,1,0,0,0
UK5712,2020-03-23,1,0,0,0
UK5712,2020-03-25,1,0,0,0
UK5712,2020-03-26,1,0,0,0
UK5712,2020-03-27,2,0,0,0
UK5712,2020-03-27,2,0,0,0
UK5712,2020-03-28,3,0,0,0
UK5712,2020-03-28,3,0,0,0
UK5712,2020-03-28,3,0,0,0
UK5712,2020-03-29,1,0,0,0
UK5712,2020-03-30,2,0,0,0
UK5712,2020-03-30,2,0,0,0
UK5712,2020-03-31,2,0,0,0
UK5712,2020-03-31,2,0,0,0
UK5712,2020-04-02,2,0,0,0
UK5712,2020-04-02,2,0,0,0
UK5712,2020-04-03,3,0,0,0
UK5712,2020-04-03,3,0,0,0
UK5712,2020-04-03,3,0,0,0
UK5712,2020-04-04,2,0,0,0
UK5712,2020-04-04,2,0,0,0
UK5712,2020-04-05,1,0,0,0
UK5712,2020-04-06,5,0,0,0
UK5712,2020-04-06,5,0,0,0
UK5712,2020-04-06,5,0,0,0
UK5712,2020-04-06,5,0,0,0
UK5712,2020-04-06,5,0,0,0
UK5712,2020-04-08,5,0,0,0
UK5712,2020-04-08,5,0,0,0
UK5712,2020-04-08,5,0,0,0
UK5712,2020-04-08,5,0,0,0
UK5712,2020-04-08,5,0,0,0
UK5712,2020-04-09,1,0,0,0
UK5712,2020-04-11,1,0,0,0
UK5712,2020-04-12,1,0,0,0
UK5712,2020-04-13,1,0,0,0
UK5712,2020-04-15,1,0,0,0
UK5712,2020-04-20,1,0,0,0
UK350,2020-03-31,0,0,1,0
UK350,2020-04-07,0,0,2,0
UK350,2020-04-07,0,0,2,0
UK350,2020-04-09,0,0,1,0
UK350,2020-04-13,0,0,1,0
UK350,2020-04-20,0,0,1,0
UK418,2020-04-03,0,0,2,0
UK418,2020-04-03,0,0,2,0
UK418,2020-04-10,0,0,1,0
UK418,2020-04-15,0,0,1,0
UK418,2020-04-16,0,0,1,0
UK418,2020-04-20,0,0,1,0
UK441,2020-04-04,1,0,0,0
UK441,2020-04-07,1,0,0,0
UK441,2020-04-08,0,0,1,0
UK441,2020-04-13,1,0,1,0
UK441,2020-04-13,1,0,1,0
UK441,2020-04-17,1,0,0,0
UK441,2020-04-20,0,0,1,0
UK45,2020-03-01,0,0,1,0
UK45,2020-03-02,1,0,0,0
UK45,2020-03-24,1,0,0,0
