Lineage,Days,England,Scotland,Wales,Northern Ireland
UK451,2020-03-20,0,1,0,0
UK451,2020-03-25,0,0,2,0
UK451,2020-03-25,0,0,2,0
UK451,2020-03-30,0,0,2,0
UK451,2020-03-30,0,0,2,0
UK451,2020-03-31,0,0,1,0
UK451,2020-04-05,0,0,1,0
UK485,2020-03-02,1,0,0,0
UK485,2020-03-24,1,0,0,0
UK485,2020-03-26,0,0,0,1
UK485,2020-03-27,1,0,0,0
UK485,2020-03-30,1,0,0,0
UK485,2020-04-06,1,0,0,0
UK244,2020-03-12,1,0,0,0
UK244,2020-03-14,2,0,0,0
UK244,2020-03-14,2,0,0,0
UK244,2020-03-23,1,0,0,0
UK244,2020-03-26,1,0,0,0
UK244,2020-04-04,1,0,1,0
UK244,2020-04-04,1,0,1,0
UK244,2020-04-06,1,0,0,0
UK433,2020-03-22,1,0,0,0
UK433,2020-03-26,0,1,0,0
UK433,2020-03-27,0,1,0,0
UK433,2020-03-28,1,0,0,0
UK433,2020-04-05,0,1,0,0
UK433,2020-04-07,1,0,0,0
UK433,2020-05-03,1,0,0,0
UK134,2020-03-04,1,0,0,0
UK134,2020-03-08,0,1,0,0
UK134,2020-03-09,2,1,0,0
UK134,2020-03-09,2,1,0,0
UK134,2020-03-09,2,1,0,0
UK134,2020-03-10,1,1,0,0
UK134,2020-03-10,1,1,0,0
UK134,2020-03-11,2,0,0,0
UK134,2020-03-11,2,0,0,0
UK134,2020-03-12,2,0,0,0
UK134,2020-03-12,2,0,0,0
UK134,2020-03-13,1,1,0,0
UK134,2020-03-13,1,1,0,0
UK134,2020-03-14,1,0,0,0
UK134,2020-03-17,1,0,0,0
UK134,2020-03-25,1,0,0,0
UK134,2020-03-28,1,0,0,0
UK134,2020-03-31,1,0,0,0
UK134,2020-04-07,1,0,0,0
UK83,2020-02-29,1,0,0,0
UK83,2020-03-11,1,0,0,0
UK83,2020-03-12,1,0,0,0
UK83,2020-03-13,1,0,0,0
UK83,2020-03-26,0,2,0,0
UK83,2020-03-26,0,2,0,0
UK83,2020-03-30,1,0,0,0
UK83,2020-04-02,0,0,1,0
UK83,2020-04-05,3,0,0,0
UK83,2020-04-05,3,0,0,0
UK83,2020-04-05,3,0,0,0
UK83,2020-04-08,1,0,0,0
UK5549,2020-03-04,1,0,0,0
UK5549,2020-03-08,1,0,0,0
UK5549,2020-03-10,1,0,0,0
UK5549,2020-03-12,2,0,0,0
UK5549,2020-03-12,2,0,0,0
UK5549,2020-03-16,0,0,0,1
UK5549,2020-03-18,2,0,0,1
UK5549,2020-03-18,2,0,0,1
UK5549,2020-03-18,2,0,0,1
UK5549,2020-03-20,1,0,0,0
UK5549,2020-03-21,0,1,0,0
UK5549,2020-03-22,1,0,0,0
UK5549,2020-03-23,2,0,0,0
UK5549,2020-03-23,2,0,0,0
UK5549,2020-03-25,1,0,0,0
UK5549,2020-03-26,1,0,0,0
UK5549,2020-03-27,1,0,0,0
UK5549,2020-03-28,3,0,0,0
UK5549,2020-03-28,3,0,0,0
UK5549,2020-03-28,3,0,0,0
UK5549,2020-03-30,1,0,0,0
UK5549,2020-04-01,1,0,0,0
UK5549,2020-04-06,1,0,0,0
UK5549,2020-04-07,1,0,0,0
UK5549,2020-04-08,1,0,0,0
UK5549,2020-05-10,1,0,0,0
UK5549,2020-05-18,1,0,0,0
UK185,2020-03-10,0,0,0,1
UK185,2020-03-12,1,0,0,0
UK185,2020-03-30,2,0,0,0
UK185,2020-03-30,2,0,0,0
UK185,2020-04-08,1,0,0,0
UK185,2020-05-15,0,1,0,0
UK261,2020-03-15,0,1,0,0
UK261,2020-03-19,0,2,0,0
UK261,2020-03-19,0,2,0,0
UK261,2020-03-20,0,1,0,0
UK261,2020-03-24,0,1,0,0
UK261,2020-03-27,0,1,0,0
UK261,2020-04-01,0,1,0,0
UK261,2020-04-02,0,1,0,0
UK261,2020-04-03,0,2,0,0
UK261,2020-04-03,0,2,0,0
UK261,2020-04-04,0,1,0,0
UK261,2020-04-08,0,1,0,0
UK330,2020-03-23,1,0,0,0
UK330,2020-03-31,1,0,0,0
UK330,2020-04-06,1,0,0,0
UK330,2020-04-07,0,0,1,0
UK330,2020-04-08,2,0,0,0
UK330,2020-04-08,2,0,0,0
UK521,2020-03-27,0,0,1,0
UK521,2020-04-01,1,0,2,0
UK521,2020-04-01,1,0,2,0
UK521,2020-04-01,1,0,2,0
UK521,2020-04-05,1,0,0,0
UK521,2020-04-08,0,0,1,0
UK520,2020-03-14,2,0,0,0
UK520,2020-03-14,2,0,0,0
UK520,2020-03-16,2,0,0,0
UK520,2020-03-16,2,0,0,0
UK520,2020-03-19,1,0,0,0
UK520,2020-03-28,1,0,0,0
UK520,2020-04-08,1,0,0,0
UK58,2020-03-12,0,1,0,0
UK58,2020-03-13,0,1,0,0
UK58,2020-03-17,1,0,0,0
UK58,2020-03-24,0,1,0,0
UK58,2020-03-25,1,0,0,0
UK58,2020-03-26,0,1,0,0
UK58,2020-03-31,0,1,0,0
UK58,2020-04-03,1,0,0,0
UK58,2020-04-06,1,0,0,0
UK58,2020-04-07,0,2,0,0
UK58,2020-04-07,0,2,0,0
UK58,2020-04-08,1,0,0,0
UK58,2020-04-09,1,0,0,0
UK24,2020-03-14,1,0,0,0
UK24,2020-03-21,2,0,0,0
UK24,2020-03-21,2,0,0,0
UK24,2020-03-22,3,0,0,0
UK24,2020-03-22,3,0,0,0
UK24,2020-03-22,3,0,0,0
UK24,2020-03-23,4,0,0,0
UK24,2020-03-23,4,0,0,0
UK24,2020-03-23,4,0,0,0
UK24,2020-03-23,4,0,0,0
UK24,2020-03-24,3,0,0,0
UK24,2020-03-24,3,0,0,0
UK24,2020-03-24,3,0,0,0
UK24,2020-03-25,3,0,0,0
UK24,2020-03-25,3,0,0,0
UK24,2020-03-25,3,0,0,0
UK24,2020-03-26,3,0,0,0
UK24,2020-03-26,3,0,0,0
UK24,2020-03-26,3,0,0,0
UK24,2020-03-27,1,0,0,0
UK24,2020-04-10,1,0,0,0
UK572,2020-03-16,1,0,0,0
UK572,2020-03-24,2,0,0,0
UK572,2020-03-24,2,0,0,0
UK572,2020-03-25,2,0,0,0
UK572,2020-03-25,2,0,0,0
UK572,2020-03-27,1,0,0,0
UK572,2020-03-30,1,0,0,0
UK572,2020-04-01,1,0,0,0
UK572,2020-04-03,1,0,0,0
UK572,2020-04-05,1,0,0,0
UK572,2020-04-11,1,0,0,0
UK326,2020-03-22,1,0,0,0
UK326,2020-03-27,0,1,0,0
UK326,2020-04-03,1,0,0,0
UK326,2020-04-05,2,0,0,0
UK326,2020-04-05,2,0,0,0
UK326,2020-04-06,2,0,0,0
UK326,2020-04-06,2,0,0,0
UK326,2020-04-07,1,0,0,0
UK326,2020-04-12,1,0,0,0
UK326,2020-05-08,1,0,0,0
UK326,2020-05-09,3,0,0,0
UK326,2020-05-09,3,0,0,0
UK326,2020-05-09,3,0,0,0
UK326,2020-05-11,1,0,0,0
UK326,2020-05-12,1,0,0,0
UK326,2020-05-16,1,0,0,0
UK326,2020-05-18,2,0,0,0
UK326,2020-05-18,2,0,0,0
UK326,2020-05-19,6,0,0,0
UK326,2020-05-19,6,0,0,0
UK326,2020-05-19,6,0,0,0
UK326,2020-05-19,6,0,0,0
UK326,2020-05-19,6,0,0,0
UK326,2020-05-19,6,0,0,0
UK326,2020-05-22,1,0,0,0
UK5215,2020-03-29,1,0,0,0
UK5215,2020-03-30,1,0,0,0
UK5215,2020-04-01,2,0,0,0
UK5215,2020-04-01,2,0,0,0
UK5215,2020-04-13,0,0,0,1
UK5215,2020-05-13,1,0,0,0
UK574,2020-03-26,1,0,0,0
UK574,2020-03-31,1,0,0,0
UK574,2020-04-06,0,0,1,0
UK574,2020-04-08,1,0,1,0
UK574,2020-04-08,1,0,1,0
UK574,2020-04-13,1,0,0,0
UK263,2020-03-20,1,0,0,0
UK263,2020-03-31,1,0,0,0
UK263,2020-04-07,2,0,0,0
UK263,2020-04-07,2,0,0,0
UK263,2020-04-08,1,0,0,0
UK263,2020-04-13,1,0,0,0
UK629,2020-03-23,1,0,0,0
UK629,2020-03-25,1,0,0,0
UK629,2020-03-29,1,0,0,0
UK629,2020-04-02,1,0,0,0
UK629,2020-04-08,1,0,0,0
UK629,2020-04-13,1,0,0,0
UK491,2020-03-03,1,0,0,0
UK491,2020-03-04,1,0,0,0
UK491,2020-03-10,1,0,0,0
UK491,2020-03-11,2,0,0,0
UK491,2020-03-11,2,0,0,0
UK491,2020-03-13,1,0,0,0
UK491,2020-03-20,1,0,0,0
UK491,2020-03-22,1,0,0,0
UK491,2020-03-23,1,0,0,0
UK491,2020-03-29,1,0,0,0
UK491,2020-03-30,2,0,0,0
UK491,2020-03-30,2,0,0,0
UK491,2020-03-31,0,0,1,0
UK491,2020-04-01,0,0,1,0
UK491,2020-04-03,2,0,0,0
UK491,2020-04-03,2,0,0,0
UK491,2020-04-04,0,0,1,0
UK491,2020-04-08,0,0,2,0
UK491,2020-04-08,0,0,2,0
UK491,2020-04-09,0,0,1,0
UK491,2020-04-11,0,0,1,0
UK491,2020-04-12,0,0,1,0
UK491,2020-04-13,1,0,0,0
UK491,2020-04-14,1,0,0,0
UK131,2020-03-11,1,0,0,0
UK131,2020-03-12,1,0,0,0
UK131,2020-03-16,1,0,0,0
UK131,2020-03-19,1,0,0,0
UK131,2020-03-20,1,0,0,0
UK131,2020-03-21,2,0,0,0
UK131,2020-03-21,2,0,0,0
UK131,2020-03-22,1,0,0,0
UK131,2020-03-24,4,0,0,0
UK131,2020-03-24,4,0,0,0
UK131,2020-03-24,4,0,0,0
UK131,2020-03-24,4,0,0,0
UK131,2020-03-25,4,0,0,0
