Lineage name	Date range	Number of sequences	Global lineage	Time since last sample (days)	Activity score
UK36	Mar-20, Jun-03	353	B.1	5	0.0371
UK5098	Mar-16, May-27	332	B.1.p73	12	0.0178
UK5	Feb-28, Jun-08	302	B.1.1.p12, B.1.1.13, B.1.1.1, B.1.1.14, B.1.1, B.1.1.p11	0	active today
UK42	Mar-01, Jun-04	237	B.1.p73, B.1.71, B.1.p11, B.1, B.1.5	4	0.0233
UK109	Mar-12, Jun-08	229	B.1.5.5, B.1.5	0	active today
UK40	Mar-13, May-26	164	B.16, B	13	0.0333
UK199	Mar-05, Jun-08	151	B.1, B.1.p73, B.1.5	0	active today
UK5676	Mar-12, May-22	137	B.2	17	0.011
UK2464	Mar-19, Jun-07	125	B.1.p11	1	0.1848
UK39	Mar-12, May-24	107	A.2	15	0.0451
UK2913	Mar-19, Jun-01	79	B.1.p11	7	0.0297
UK72	Mar-07, May-27	46	B	12	0.029
UK107	Mar-09, Jun-02	40	B.2.1	6	0.0148
UK198	Mar-17, May-07	37	B.1, B.1.5	32	0.027
UK2200	Mar-23, May-20	35	B.1.5.6, B.1.5	19	0.0459
UK304	Apr-16, Jun-02	34	B.1.1.14	6	0.2374
UK370	Mar-17, Jun-02	32	B.1.1.10	6	0.0843
UK3929	Mar-06, Jun-03	31	B.1.1.4, B.1.1	5	0.0848
UK100	Mar-30, May-25	29	B.1, B.1.5	14	0.1429
UK15	Mar-07, May-06	28	B.1.1	33	0.0125
UK43	Mar-23, Apr-26	28	A.5	43	0.0374
UK44	Mar-17, Apr-19	28	B	50	0.0236
UK14	Mar-14, Apr-27	28	B	42	0.0378
UK21	Mar-18, May-23	24	B.1.40	16	0.1793
UK87	Mar-13, Apr-24	23	B.1.70	45	0.0424
UK2735	Mar-18, May-29	23	B.1.1	10	0.0293
UK1667	Mar-31, May-14	20	B.1.p9	25	0.0783
UK167	Mar-12, Jun-07	19	B.1	1	0.3376
UK4493	Apr-23, May-19	18	B.1	20	0.0765
UK502	Mar-06, Mar-30	18	B.1.69	70	0.0202
UK66	Mar-28, May-20	17	B.1.1.8	19	0.0304
UK120	Mar-02, May-05	14	B	34	0.0416
UK261	Mar-15, Apr-08	12	A.3	61	0.0358
UK2916	Mar-03, Jun-01	12	B.1	7	0.0525
UK436	Apr-13, May-14	11	B.1.5	25	0.1636
UK137	Mar-09, Mar-31	11	B.1.1	69	0.0266
UK501	Mar-19, Jun-02	11	B.1	6	0.1991
UK5498	Mar-12, May-28	11	B.2, B	11	0.0909
UK601	Mar-14, May-04	8	B.10	35	0.0168
UK548	Mar-14, Mar-30	8	B.2.1	70	0.0327
UK594	Apr-20, May-01	8	B	38	0.0414
UK187	Mar-23, Apr-30	7	B.1	39	0.0212
UK271	Apr-15, Apr-26	7	B.1	43	0.0797
UK58	Mar-12, Apr-09	7	B.1	60	0.0389
UK151	Mar-23, Apr-24	7	B.1	45	0.1185
UK133	Mar-22, Apr-25	7	B.1	44	0.0966
UK51	Mar-26, Jun-07	7	B.1.36	1	0.9873
UK3692	Mar-12, May-19	6	B.1.1	20	0.1268
UK240	Mar-22, May-08	6	B.2	31	0.0259
