Name,oldest_sequence,newest_sequence,number_taxa
UK478,2020-04-21,2020-04-21,1
UK565,2020-03-11,2020-05-14,112
UK5,2020-02-23,2020-06-06,6723
UK2045,2020-03-17,2020-05-09,21
UK3929,2020-03-06,2020-06-03,211
UK2890,2020-03-30,2020-04-07,4
UK2888,2020-04-09,2020-05-14,8
UK5653,2020-03-10,2020-04-01,10
UK107,2020-02-09,2020-06-02,1289
UK2464,2020-03-09,2020-06-06,488
UK2906,2020-03-04,2020-06-02,74
UK31,2020-03-11,2020-04-23,64
UK3781,2020-03-09,2020-05-08,16
UK5180,2020-03-07,2020-05-09,89
UK28,2020-03-13,2020-05-08,89
UK161,2020-03-10,2020-05-25,21
UK583,2020-04-23,2020-04-23,1
UK3192,2020-03-31,2020-04-20,2
UK2913,2020-03-07,2020-06-01,414
UK319,2020-03-28,2020-06-01,71
UK51,2020-03-21,2020-05-26,80
UK5446,2020-05-05,2020-05-16,12
UK276,2020-03-10,2020-05-13,39
UK89,2020-03-21,2020-06-05,54
UK408,2020-04-13,2020-05-13,13
UK167,2020-01-27,2020-06-04,392
UK192,2020-05-12,2020-05-12,1
UK508,2020-02-16,2020-05-14,4
UK55,2020-03-23,2020-05-06,8
UK199,2020-02-26,2020-06-06,432
UK509,2020-04-07,2020-05-29,62
UK125,2020-03-30,2020-05-29,18
UK163,2020-06-09,2020-06-09,1
UK42,2020-02-03,2020-06-04,1309
UK5676,2020-02-14,2020-05-22,527
UK12,2020-03-12,2020-05-07,37
UK16,2020-03-30,2020-04-02,2
UK83,2020-02-29,2020-04-08,12
UK72,2020-02-05,2020-05-27,323
UK370,2020-03-06,2020-06-02,175
UK2916,2020-02-03,2020-06-01,325
UK240,2020-02-25,2020-05-08,92
UK5484,2020-03-29,2020-05-04,5
UK335,2020-03-07,2020-06-05,21
UK5561,2020-02-25,2020-05-24,148
UK2735,2020-03-18,2020-05-29,247
UK86,2020-03-05,2020-05-28,74
UK494,2020-03-19,2020-05-05,124
UK607,2020-03-02,2020-05-18,65
UK339,2020-02-23,2020-04-16,80
UK15,2020-02-27,2020-05-06,168
UK755,2020-03-06,2020-05-21,7
UK39,2020-03-12,2020-05-24,109
UK591,2020-05-03,2020-05-03,1
UK398,2020-05-02,2020-05-02,1
UK304,2020-04-16,2020-06-02,34
UK109,2020-03-12,2020-06-05,310
UK66,2020-03-18,2020-05-20,110
UK526,2020-03-23,2020-04-25,5
UK5498,2020-03-06,2020-05-28,84
UK5649,2020-03-15,2020-05-04,27
UK61,2020-03-08,2020-05-27,438
UK9,2020-03-09,2020-05-15,214
UK5523,2020-05-01,2020-06-01,46
UK550,2020-04-24,2020-04-24,1
UK71,2020-03-08,2020-05-06,17
UK523,2020-04-14,2020-05-14,11
UK1981,2020-04-18,2020-04-30,5
UK409,2020-04-25,2020-04-25,2
UK194,2020-05-04,2020-05-04,1
UK5348,2020-03-14,2020-04-24,8
UK158,2020-03-20,2020-06-03,334
UK4,2020-02-28,2020-04-29,127
UK268,2020-03-23,2020-06-04,16
UK41,2020-02-29,2020-05-21,43
UK156,2020-04-17,2020-05-04,2
UK371,2020-03-12,2020-05-09,51
UK220,2020-06-05,2020-06-05,1
UK1207,2020-03-23,2020-05-12,30
UK5741,2020-03-09,2020-06-02,272
UK344,2020-04-04,2020-04-04,1
UK5309,2020-03-20,2020-05-30,26
UK452,2020-05-03,2020-05-03,1
UK864,2020-03-28,2020-04-21,4
UK1177,2020-04-22,2020-05-29,15
UK36,2020-03-18,2020-06-03,416
UK4493,2020-04-23,2020-05-19,18
UK1667,2020-03-30,2020-05-14,24
UK233,2020-05-25,2020-06-06,20
UK202,2020-03-10,2020-06-04,23
UK501,2020-03-02,2020-06-02,78
UK5300,2020-04-17,2020-06-04,17
UK269,2020-03-25,2020-06-02,6
UK384,2020-02-28,2020-04-23,63
UK493,2020-03-20,2020-04-17,3
UK100,2020-03-30,2020-05-25,29
UK5098,2020-03-16,2020-05-27,338
UK151,2020-03-23,2020-04-24,7
UK40,2020-03-13,2020-05-26,172
UK355,2020-03-22,2020-06-02,35
UK458,2020-05-01,2020-05-01,1
UK198,2020-03-17,2020-05-07,60
UK1605,2020-04-20,2020-04-27,2
UK2200,2020-02-28,2020-05-20,95
UK191,2020-03-29,2020-04-27,5
UK394,2020-03-17,2020-05-24,103
UK632,2020-03-23,2020-06-04,246
UK3021,2020-03-12,2020-06-06,240
UK5322,2020-03-23,2020-05-30,78
UK116,2020-03-24,2020-05-30,21
UK495,2020-04-01,2020-05-30,74
UK3045,2020-04-15,2020-05-27,7
UK5217,2020-04-21,2020-05-19,2
UK542,2020-05-18,2020-05-21,2
UK195,2020-06-03,2020-06-03,1
UK5538,2020-05-02,2020-05-28,2
UK5501,2020-04-16,2020-06-01,7
UK1006,2020-04-02,2020-05-03,15
UK516,2020-03-12,2020-03-12,1
UK188,2020-03-10,2020-03-10,1
UK120,2020-02-03,2020-05-05,66
UK584,2020-03-17,2020-05-08,8
UK70,2020-03-06,2020-04-18,15
UK554,2020-04-28,2020-04-28,1
UK235,2020-04-05,2020-04-05,1
UK210,2020-03-19,2020-03-19,1
UK226,2020-03-18,2020-03-18,1
UK588,2020-03-23,2020-03-23,1
UK829,2020-03-03,2020-04-29,81
UK5549,2020-03-04,2020-05-18,27
UK530,2020-03-19,2020-03-19,1
UK606,2020-03-11,2020-04-28,3
UK5532,2020-05-04,2020-05-26,4
UK108,2020-05-26,2020-05-26,1
UK187,2020-03-23,2020-04-30,47
UK567,2020-03-20,2020-05-15,27
UK278,2020-05-08,2020-05-08,1
UK206,2020-04-02,2020-05-20,9
UK105,2020-03-27,2020-05-26,43
UK459,2020-05-06,2020-05-06,1
UK264,2020-03-29,2020-04-25,3
UK696,2020-04-10,2020-05-01,9
UK364,2020-03-19,2020-05-14,6
UK64,2020-03-12,2020-05-05,40
UK772,2020-04-07,2020-04-21,3
UK405,2020-05-28,2020-05-28,1
UK713,2020-04-03,2020-05-27,6
UK63,2020-03-18,2020-05-10,122
UK497,2020-03-13,2020-06-03,42
UK1210,2020-04-23,2020-04-27,2
UK6,2020-03-06,2020-05-13,138
UK3049,2020-04-23,2020-04-27,2
UK449,2020-04-18,2020-04-18,1
UK426,2020-05-15,2020-05-15,1
UK425,2020-03-28,2020-05-15,18
UK340,2020-03-23,2020-05-17,9
UK23,2020-03-21,2020-05-09,25
UK1317,2020-03-20,2020-05-15,2
UK297,2020-05-05,2020-05-05,1
UK164,2020-04-08,2020-05-28,25
UK448,2020-04-04,2020-05-26,48
UK173,2020-03-14,2020-05-19,38
UK366,2020-04-04,2020-06-03,63
UK203,2020-03-22,2020-05-30,22
UK2014,2020-04-11,2020-06-05,6
UK601,2020-03-11,2020-05-04,93
UK534,2020-04-28,2020-04-28,1
UK354,2020-04-11,2020-05-22,2
UK27,2020-03-05,2020-05-21,21
UK801,2020-04-05,2020-05-05,10
UK305,2020-03-31,2020-04-23,3
