Lineage name	Date range	Number of sequences	Global lineage	Time since last sample (days)	Activity score
UK61	Mar-10, May-01	340	B.3	2	0.072
UK158	Mar-20, May-02	142	B.1.1.2	1	0.259
UK5	Mar-04, May-03	125	B.1.1.1, B.1.1	0	-0.0035
UK42	Mar-07, Apr-27	112	B.1, B.1.35	6	-0.123
UK632	Mar-25, May-02	97	B.1.1	1	-0.0262
UK74	Mar-30, May-03	96	B.1	0	active today
UK19	Mar-17, May-02	81	B.1.44, B.1	1	-0.0408
UK2464	Mar-26, May-02	70	B.1.p11	1	-0.0177
UK495	Apr-01, May-02	65	B.1.p11	1	0.5455
UK701	Mar-25, May-01	43	B.1	2	-0.046
UK2200	Mar-15, Apr-26	33	B.1.5.6, B.1.5	7	-0.3764
UK187	Apr-01, Apr-28	26	B.1	5	0.1846
UK473	Apr-02, Apr-29	24	B.1.1	4	0.2935
UK633	Apr-03, May-01	24	B.1.1.p16, B.1.1.16	2	0.6087
UK86	Mar-30, Apr-28	23	B.1	5	0.2842
UK4507	Apr-14, May-03	22	B.1	0	active today
UK179	Mar-17, May-01	22	B.1.1.p11	2	0.6429
UK298	Mar-27, Apr-29	20	B.1.1	4	0.4342
UK472	Apr-04, Apr-27	18	B.1.1.p11, B.1.1	6	0.2255
UK392	Mar-25, Apr-12	16	B.1.67	21	0.0571
UK5322	Apr-08, May-03	16	B.1.1	0	-0.0689
UK394	Mar-24, Apr-24	16	B.1.1.10, B.1.1	9	0.1722
UK5556	Mar-18, Apr-16	15	B.2.2	17	0.1218
UK322	Mar-30, Apr-26	15	B.1	7	0.2662
UK277	Mar-28, Apr-28	14	B.1.1	5	-0.625
UK603	Mar-29, Apr-09	13	B.1.1	24	0.0382
UK4	Mar-11, Apr-24	13	B	9	0.2086
UK504	Mar-30, Apr-13	12	B.1.1	20	0.0636
UK5378	Apr-02, Apr-25	12	B.1.1	8	1.1471
UK5561	Mar-30, Apr-27	12	B.2.2	6	0.3167
UK211	Mar-24, Apr-30	11	B.1.5	3	1.2333
UK530	Mar-31, Apr-13	11	B.1.1	20	0.065
UK571	Apr-06, Apr-29	10	B.1.1	4	0.6389
UK45	Mar-01, Apr-20	10	B.1.1	13	0.1538
UK5681	Apr-03, Apr-27	10	B.2	6	0.4444
UK193	Apr-01, May-01	10	B.1.1	2	0.5556
UK303	Mar-25, Apr-14	10	B.1.1	19	0.0891
UK64	Mar-25, Apr-20	9	B.1	13	0.0938
UK471	Apr-02, Apr-24	9	B.1.1	9	0.3056
UK750	Apr-07, Apr-15	9	B.1	18	0.0556
UK41	Apr-10, Apr-27	9	B.1	6	0.2879
UK635	Apr-07, May-02	9	B.1.1	1	-0.2923
UK156	Mar-28, Apr-30	9	B.1.71	3	0.6515
UK367	Mar-25, Apr-27	8	B.1	6	0.7857
UK474	Apr-01, Apr-16	8	B.1.1	17	0.1261
UK3075	Apr-17, May-01	8	B.1.1	2	0.9375
UK696	Apr-10, May-01	8	B.1, B.1.5	2	active today
UK572	Apr-07, May-01	7	B.1.1	2	2.0
UK339	Mar-25, Apr-14	7	B.3	19	0.1316
UK2891	Mar-31, Apr-24	7	B.1.1	9	0.3951
UK874	Apr-06, Apr-24	7	B.1	9	0.3333
UK801	Apr-05, May-02	7	B.1	1	4.5
UK536	Mar-27, Apr-09	7	B.1.1	24	0.0903
UK119	Mar-30, Apr-14	7	B.2.5	19	0.0706
UK762	Apr-11, Apr-30	7	B.1.1	3	1.0556
UK155	Mar-25, May-03	7	B.1	0	active today
UK439	Apr-02, Apr-20	7	B.1.1	13	0.2308
UK418	Apr-03, Apr-20	7	B.1.1.10	13	0.2179
UK761	Apr-12, Apr-28	6	B.1.1	5	0.64
UK358	Mar-31, Apr-09	6	B.2.1	24	0.119
UK5670	Apr-01, Apr-30	6	B.2	3	1.8571
UK80	Mar-31, Apr-27	6	B.1.1.p15	6	1.0208
UK612	Mar-31, Apr-11	6	B.2.1	22	0.0833
UK462	Apr-01, Apr-16	6	B.1	17	-0.625
UK350	Mar-31, Apr-20	6	B.1.1	13	0.2198
UK627	Mar-31, Apr-10	6	B.1	23	0.087
UK451	Mar-25, Apr-05	6	B.2.1	28	0.0952
