Name,oldest_sequence,newest_sequence,number_taxa
UK89,2020-03-21,2020-06-22,70
UK5,2020-02-16,2020-06-27,8658
UK267,2020-03-26,2020-04-27,5
UK31,2020-03-12,2020-06-27,82
UK2787,2020-04-07,2020-06-26,23
UK5676,2020-02-26,2020-05-27,571
UK199,2020-02-26,2020-06-22,546
UK39,2020-03-12,2020-05-29,148
UK329,2020-03-17,2020-04-26,21
UK2907,2020-04-12,2020-04-30,3
UK1005,2020-03-25,2020-06-23,5
UK712,2020-04-08,2020-06-18,24
UK339,2020-03-09,2020-06-18,76
UK3045,2020-04-15,2020-06-27,16
UK195,2020-05-19,2020-06-15,8
UK6,2020-03-06,2020-06-16,140
UK15,2020-02-27,2020-05-06,191
UK479,2020-04-05,2020-06-12,34
UK350,2020-04-26,2020-04-26,1
UK828,2020-04-23,2020-05-01,2
UK80,2020-03-31,2020-06-17,8
UK743,2020-02-24,2020-06-14,6
UK1177,2020-04-22,2020-06-09,25
UK98,2020-03-24,2020-06-08,7
UK51,2020-03-21,2020-06-20,96
UK2464,2020-03-09,2020-06-18,556
UK362,2020-05-14,2020-05-14,1
UK335,2020-03-07,2020-06-22,71
UK36,2020-03-18,2020-06-06,607
UK668,2020-03-20,2020-06-10,116
UK42,2020-02-24,2020-06-21,1369
UK819,2020-04-01,2020-05-15,9
UK2916,2020-02-03,2020-06-10,377
UK5309,2020-03-20,2020-06-18,41
UK109,2020-03-12,2020-06-12,398
UK624,2020-04-24,2020-05-07,3
UK5741,2020-03-09,2020-06-12,296
UK319,2020-03-28,2020-06-03,77
UK623,2020-05-10,2020-06-11,40
UK77,2020-03-11,2020-05-20,92
UK1207,2020-03-23,2020-06-01,37
UK467,2020-03-23,2020-06-05,11
UK632,2020-03-23,2020-06-10,274
UK1667,2020-03-30,2020-05-18,30
UK5098,2020-03-01,2020-06-05,440
UK497,2020-03-13,2020-06-03,44
UK40,2020-03-13,2020-06-08,223
UK501,2020-03-11,2020-06-18,87
UK261,2020-03-15,2020-04-10,14
UK2913,2020-03-07,2020-06-16,532
UK87,2020-03-13,2020-04-24,33
UK58,2020-03-12,2020-04-24,23
UK2735,2020-03-18,2020-06-10,272
UK433,2020-03-22,2020-05-03,10
UK370,2020-03-06,2020-06-16,191
UK722,2020-03-23,2020-05-27,15
UK2200,2020-02-28,2020-06-06,108
UK100,2020-03-22,2020-06-01,43
UK107,2020-02-09,2020-06-02,1414
UK641,2020-03-25,2020-06-17,47
UK385,2020-03-28,2020-06-13,5
UK400,2020-06-06,2020-06-12,5
UK2890,2020-03-30,2020-06-09,5
UK27,2020-03-05,2020-05-21,36
