Lineage name	Date range	Total	Global lineage	Time since last sample	Activity score
UK5	Feb-16, Sep-05	9354 taxa	B.1.1.10, B.1.1.1, B.1.1, B.1.1.13	5 days	0.0036
UK1951	Mar-02, Aug-20	1994 taxa	B.1.1.1, B.1.1	21 days	0.0038
UK107	Feb-09, Jul-20	1650 taxa	B.2.1, B, B.2	52 days	0.0017
UK175	Feb-24, Aug-21	1306 taxa	B.1.82, B.1.35, B.1.81, B.1.105, B.1.79, B.1.8, B.1.88, B.1.93, B.1, B.1.13, B.1.11, B.1.5, B.1.77, B.1.76	20 days	0.0034
UK1205	Mar-03, Aug-25	1047 taxa	B.1.1.3, B.1.1.1, B.1.1	16 days	0.0101
UK1271	Apr-08, Aug-26	666 taxa	B.1.1	15 days	0.0139
UK1683	Mar-08, Aug-21	624 taxa	B.1.1.10, B.1.1.1, B.1.1	20 days	0.0102
UK109	Mar-12, Aug-21	555 taxa	B.1.79, B.1.99, B.1, B.1.5, B.1.77	20 days	0.0085
UK199	Feb-26, Aug-26	515 taxa	B.1.104, B.1, B.1.11, B.1.5, B.1.5.10	15 days	0.0149
UK2913	Mar-07, Jul-15	514 taxa	B.1, B.1.11, B.1.5	57 days	0.0032
UK2916	Feb-03, Aug-11	472 taxa	B.1.98, B.1, B.1.11	30 days	0.0107
UK5676	Feb-26, Jul-22	446 taxa	B.2, B.2.2, B.2.4, B.2.1, B.2.9	50 days	0.0041
UK2068	Mar-26, Aug-18	423 taxa	B.1.1, B.1.1.4	23 days	0.0131
UK2464	Mar-09, Jun-29	395 taxa	B.1.81, B.1, B.1.11	73 days	0.0022
UK72	Feb-05, Jun-23	373 taxa	B.2.1, B.2, B	79 days	0.0038
UK167	Mar-11, Jul-15	324 taxa	B.1.2, B.1, B.1.117, B.1.5	57 days	0.0052
UK1145	Mar-23, Aug-26	323 taxa	B.1.1	15 days	0.0317
UK9	Mar-09, May-18	301 taxa	B.1, B.1.5, B.1.13	115 days	0.002
UK1153	Mar-15, Aug-21	296 taxa	B.1.1	20 days	0.0264
UK1855	Apr-08, Aug-26	285 taxa	B.1.1.3, B.1.1	15 days	0.0213
UK1684	Mar-14, Jul-04	279 taxa	B.1.1.1, B.1.1	68 days	0.005
UK945	Mar-17, Aug-30	279 taxa	B.1.1, B.1.1.28	11 days	0.0402
UK5741	Mar-11, Jul-15	271 taxa	B.1, B.1.5	57 days	0.0051
UK1037	Mar-12, Aug-19	264 taxa	B.1.1.30, B.1.1	22 days	0.0108
UK1060	Mar-03, Aug-14	257 taxa	B.1.1.10, B.1.1	27 days	0.0185
UK1278	Mar-23, Jul-27	255 taxa	B.1.1	45 days	0.0109
UK600	Feb-29, Jul-13	247 taxa	B.1, B.1.1	59 days	0.0075
UK698	Mar-20, Aug-26	228 taxa	B.1.1	15 days	0.0444
UK1535	Mar-02, Aug-26	218 taxa	B.1.1.3, B.1.1	15 days	0.0279
UK267	Feb-25, Jul-15	207 taxa	B.2.1, B.2, B	57 days	0.0106
UK315	Feb-25, Aug-02	198 taxa	B.2.1, B.2.2, B.2	39 days	0.0176
UK494	Mar-19, Jul-16	193 taxa	B.1, B.1.104, B.1.11, B.1.5	56 days	0.0108
UK1126	Mar-11, Aug-17	191 taxa	B.1.1	24 days	0.0326
UK917	Mar-15, Jul-23	187 taxa	B.1.1	49 days	0.0135
UK2022	Mar-24, Aug-31	167 taxa	B.1.1	10 days	0.0909
UK4	Feb-28, Apr-29	167 taxa	B.2, B	134 days	0.0025
UK336	Mar-11, Jul-22	158 taxa	B.1.93, B.1, B.1.77	50 days	0.0028
UK6	Mar-06, Jul-17	157 taxa	B.1.93, B.1, B.1.75, B.1.5	55 days	0.0144
UK5498	Mar-06, Jul-19	150 taxa	B.2	53 days	0.0152
UK719	Mar-20, Aug-28	149 taxa	B.1.1	13 days	0.0559
UK1323	Mar-19, Aug-19	147 taxa	B.1.1	22 days	0.0429
UK51	Mar-25, Jul-15	147 taxa	B.1.36, B.1	57 days	0.0132
UK740	Mar-18, Jun-13	146 taxa	B.1.1	89 days	0.0059
UK2039	Mar-13, Jun-25	144 taxa	B.1.1	77 days	0.0093
UK387	Mar-06, Jul-31	137 taxa	B.1.86, B.1, B.1.11, B.1.5, B.1.21	41 days	0.0194
UK1157	Mar-07, Jul-23	129 taxa	B.1.1.7, B.1.1	49 days	0.02
UK678	Mar-12, Aug-14	127 taxa	B.1.1	27 days	0.0435
UK31	Mar-10, Jul-23	118 taxa	B.3, B.2, B	49 days	0.0228
UK1076	Mar-17, Aug-22	118 taxa	B.1.1	19 days	0.0338
UK2200	Feb-28, Aug-26	115 taxa	B.1, B.1.5, B.1.35	15 days	0.0702
UK274	Mar-06, May-20	108 taxa	B.3, B	113 days	0.006
UK829	Mar-03, Jun-14	105 taxa	B.2.1, B.2	88 days	0.0111
UK319	Mar-28, Aug-11	98 taxa	B.1, B.1.79	30 days	0.0463
UK1215	Mar-16, Jun-10	97 taxa	B.1.1.1, B.1.1	92 days	0.0097
UK501	Mar-07, Aug-20	96 taxa	B.1.86, B.1	21 days	0.059
UK1134	Apr-28, Aug-06	94 taxa	B.1.1	35 days	0.0386
UK491	Mar-11, May-20	93 taxa	B.2, B.2.4, B.6, B.2.1, B	113 days	0.0065
UK847	Mar-23, Aug-31	89 taxa	B.1.36, B.1	10 days	0.1425
UK902	Mar-11, Jul-22	89 taxa	B.1.1	50 days	0.0302
UK1155	Mar-05, Jun-26	88 taxa	B.1.1	76 days	0.0152
UK384	Feb-28, May-16	87 taxa	B.2.1	117 days	0.0073
UK37	Mar-17, May-05	86 taxa	B.1, B.1.30, B.1.5	128 days	0.0044
UK597	Mar-25, Aug-31	84 taxa	B.1, B.1.117, B.1.5	10 days	0.1314
UK607	Mar-02, Jun-16	79 taxa	B.2, B	86 days	0.012
UK352	Jul-05, Sep-02	78 taxa	B.1, B.1.113, B.1.36	8 days	0.0889
UK55	Mar-10, Jun-23	78 taxa	B.3	79 days	0.0158
UK669	Mar-07, Aug-03	74 taxa	B.1.1	38 days	0.0436
UK1051	Mar-30, Jul-25	73 taxa	B.1.1	47 days	0.0346
UK2906	Mar-06, Jun-30	72 taxa	B.1	72 days	0.0219
UK2111	Apr-04, Sep-04	72 taxa	B.1.1	6 days	0.3542
UK59	Feb-23, Apr-28	71 taxa	B.3	135 days	0.0048
UK1195	Apr-04, Sep-06	71 taxa	B.1.1, B.1.1.25	4 days	0.0907
UK510	Jul-18, Aug-31	70 taxa	B.1.106, B.1	10 days	0.0595
UK312	Jul-23, Sep-02	70 taxa	B.1	8 days	0.0381
UK899	Mar-12, Jun-26	69 taxa	B.1, B.1.11, B.1.5	76 days	0.0202
UK709	Mar-25, Jun-29	69 taxa	B.1.1	73 days	0.0193
UK1904	Mar-31, Aug-18	68 taxa	B.1.1	23 days	0.0909
UK1297	Apr-09, Jun-11	68 taxa	B.1	91 days	0.0103
UK928	Mar-10, May-25	64 taxa	B.1.1	108 days	0.0103
UK619	Mar-02, Apr-30	62 taxa	B.1.1	133 days	0.0069
UK1264	Mar-18, Jul-02	61 taxa	B.1.1	70 days	0.0248
UK1091	Mar-13, Jul-15	61 taxa	B.1.1, B.1.1.2	57 days	0.0037
UK1819	Apr-06, Aug-18	60 taxa	B.1.1	23 days	0.0987
UK275	Mar-09, Jun-02	60 taxa	B.1, B.1.13	100 days	0.0123
UK983	Apr-21, Aug-18	59 taxa	B.1.5.5, B.1	23 days	0.0892
UK596	Mar-16, Apr-24	59 taxa	B.1.106, B.1, B.1.5, B.1.72	139 days	0.0048
UK120	Feb-27, Jun-07	59 taxa	B	95 days	0.0142
UK1447	Mar-30, May-06	59 taxa	B.1.1	127 days	0.0049
UK61	Mar-12, Aug-03	56 taxa	B.3, B	38 days	0.0064
UK369	Apr-30, Aug-27	53 taxa	B.1, B.1.113	14 days	0.1518
UK1186	Aug-09, Sep-07	51 taxa	B.1, B.1.79	3 days	0.0674
UK173	Mar-11, May-19	51 taxa	B.2, B.21, B	114 days	0.0121
UK1140	Apr-04, Jun-17	51 taxa	B.1.1	85 days	0.0174
UK402	Mar-01, Jul-15	50 taxa	B.1	57 days	0.0362
UK131	Mar-11, Sep-07	50 taxa	B.15, B	3 days	1.1111
UK461	Aug-02, Aug-30	50 taxa	B.1	11 days	0.0326
UK515	Mar-01, Apr-27	49 taxa	B.1, B.1.5	136 days	0.0087
UK800	Jul-15, Sep-10	48 taxa	B.1	0 days	active today
UK718	Apr-15, Sep-05	48 taxa	B.1.1	5 days	0.5158
UK348	May-13, Aug-19	48 taxa	B.1	22 days	0.0948
UK1212	Mar-15, Jul-04	47 taxa	B.1.1	68 days	0.0281
UK1800	Apr-09, Aug-17	47 taxa	B.1.1	24 days	0.1128
UK701	Apr-13, Jun-14	46 taxa	B.1.1	88 days	0.0153
UK119	Mar-11, May-12	45 taxa	B.2, B	121 days	0.0097
UK497	Mar-13, Jun-09	45 taxa	A.2	93 days	0.0193
UK12	Mar-11, Aug-14	44 taxa	B.1.88, B.1, B.1.84, B.1.11	27 days	0.1051
UK1279	Apr-04, May-16	44 taxa	B.1.1	117 days	0.0083
UK1225	Apr-28, Aug-23	43 taxa	B.1.1.1, B.1.1	18 days	0.1477
UK1542	Mar-27, Apr-20	42 taxa	B.1.1	143 days	0.0041
UK357	Jun-01, Aug-29	42 taxa	B.1	12 days	0.1686
UK1850	Apr-02, Aug-07	41 taxa	B.1.1	34 days	0.0934
UK1158	Mar-11, May-04	41 taxa	B.1.1.7, B.1.1	129 days	0.0102
UK1312	Jul-11, Aug-10	41 taxa	B.1.1	31 days	0.0242
UK1148	Mar-06, Aug-06	40 taxa	B.1.1	35 days	0.1121
UK360	Mar-04, May-18	40 taxa	B.2.1, B.2.2, B.2	115 days	0.0142
UK1603	Mar-30, Jul-27	40 taxa	B.1.1	45 days	0.0678
UK528	Jul-22, Aug-31	39 taxa	B.1	10 days	0.0784
UK79	Mar-24, Jun-06	39 taxa	B.1.97, B.1, B.1.5	96 days	0.0203
UK893	Mar-12, May-05	39 taxa	B.1, B.1.5	128 days	0.0081
UK1717	Apr-07, Jun-16	38 taxa	B.1.1	86 days	0.022
UK1645	Aug-10, Aug-31	38 taxa	B.1.1.10, B.1.1, B.1.1.2, B.1.1.15	10 days	0.0568
UK1242	Mar-11, Jun-17	38 taxa	B.1.1	85 days	0.0235
UK968	Mar-28, Jul-18	37 taxa	B.1.1	54 days	0.0576
UK254	Aug-03, Aug-28	37 taxa	B.1	13 days	0.0437
UK1644	May-03, Jul-21	37 taxa	B.1.1	51 days	0.0556
UK1721	Mar-19, Jul-03	37 taxa	B.1, B.1.13	69 days	0.0394
UK23	Mar-18, May-09	37 taxa	B.2.1, B, B.9	124 days	0.0116
UK1130	Apr-04, May-17	37 taxa	B.1.1	116 days	0.0103
UK46	Mar-02, May-08	36 taxa	B.2.1, B.2	125 days	0.0141
UK738	Mar-18, Jun-09	36 taxa	B.1.1	93 days	0.0255
UK2045	Mar-17, May-25	36 taxa	B.1.1, B.1, B.1.5	108 days	0.0183
UK241	Mar-22, Apr-16	35 taxa	B.1, B.1.5, B.1.5.3	147 days	0.0047
UK527	Mar-16, Jun-20	35 taxa	B.1	82 days	0.0272
UK1211	Jun-01, Aug-29	35 taxa	B.1.1	12 days	0.0617
UK667	Mar-20, Jun-10	35 taxa	B.1, B.1.77	92 days	0.0217
UK994	Mar-26, May-18	35 taxa	B.1, B.1.5	115 days	0.0136
UK215	Mar-12, Apr-19	34 taxa	B.2.1	144 days	0.008
UK331	Jul-02, Aug-21	34 taxa	B.1.36, B.1	20 days	0.0758
UK507	Mar-15, May-12	34 taxa	B.2.6, B.2, B.2.9	121 days	0.0126
UK1218	May-07, Jul-22	33 taxa	B.1.1.1, B.1.1	50 days	0.0447
UK1307	Mar-17, Jun-08	33 taxa	B.1, B.1.34, B.1.5	94 days	0.0276
UK646	Mar-12, Jun-16	32 taxa	B.1.1	86 days	0.0319
UK1223	Mar-21, May-15	32 taxa	B.1.1.1	118 days	0.015
UK439	Mar-29, May-20	32 taxa	B.1.66, B.1	113 days	0.0148
UK1097	Jul-06, Aug-31	32 taxa	B.1, B.1.5	10 days	0.1514
UK2014	Apr-08, Jun-03	31 taxa	B.1.1	99 days	0.0182
UK1274	Jun-22, Jul-16	31 taxa	B.1.1	56 days	0.0143
UK1911	Mar-26, Apr-29	31 taxa	B.1.1	134 days	0.0079
UK601	Mar-12, May-15	31 taxa	B, B.10	118 days	0.0048
UK174	Mar-19, Aug-04	31 taxa	B.1, B.1.5	37 days	0.1243
UK5501	Apr-05, Jun-24	31 taxa	B.1, B.1.12	78 days	0.0342
UK1769	Mar-30, Aug-21	31 taxa	B.1.1	20 days	0.2323
UK298	Jul-13, Aug-05	30 taxa	B.1, B.1.5	36 days	0.022
UK2062	Mar-11, Jun-04	30 taxa	B.1.1	98 days	0.0299
UK108	Apr-22, Jul-16	29 taxa	B.1	56 days	0.0523
UK218	Mar-21, Jun-02	29 taxa	B.1	100 days	0.0261
UK1843	Mar-21, Aug-08	29 taxa	B.1.1	33 days	0.1414
UK1865	Mar-28, Aug-17	29 taxa	B.1.1	24 days	0.1972
UK1029	Apr-04, Aug-09	29 taxa	B.1	32 days	0.124
UK881	Mar-10, May-16	29 taxa	B.1.1	117 days	0.0197
UK712	Apr-08, Jun-21	29 taxa	B.1.5	81 days	0.0326
UK1065	Mar-21, Jul-22	28 taxa	B.1.1	50 days	0.0155
UK1233	Mar-23, Aug-26	28 taxa	B.1.1	15 days	0.3852
UK2028	Mar-21, May-04	28 taxa	B.1.1	129 days	0.0122
UK101	Mar-21, Apr-25	28 taxa	B.1, B.1.5	138 days	0.0087
UK2007	Apr-03, Jun-24	28 taxa	B.1.1	78 days	0.0375
UK1282	Mar-15, Apr-18	28 taxa	B.1.1	145 days	0.0081
UK49	Mar-12, Aug-06	28 taxa	B.2, B, B.9	35 days	0.14
UK1270	Mar-17, Jun-24	28 taxa	B.1.1	78 days	0.0397
UK1703	Mar-16, May-01	27 taxa	B.1	132 days	0.0134
UK1663	Mar-17, May-02	27 taxa	B.1.1	131 days	0.013
UK741	Jun-27, Aug-21	26 taxa	B.1.1	20 days	0.1058
UK462	May-01, Jun-09	26 taxa	B.1	93 days	0.0232
UK1479	Jun-09, Aug-17	26 taxa	B.1.1	24 days	0.115
UK2003	Mar-19, Apr-27	26 taxa	B.1.1	136 days	0.0106
UK1388	Mar-18, Jul-06	25 taxa	B.1.1	66 days	0.0667
UK1232	May-18, Jul-03	25 taxa	B.1.1	69 days	0.0278
UK5503	Mar-20, Jun-12	25 taxa	B.1	90 days	0.0389
UK916	Mar-24, Jul-24	24 taxa	B.1.1	48 days	0.1105
UK1857	Mar-26, Jul-17	24 taxa	B.1.1.7, B.1.1	55 days	0.0893
UK134	Mar-04, Apr-13	24 taxa	B.1, B.1.5	150 days	0.0095
UK1619	Mar-20, Jul-24	24 taxa	B.1.1	48 days	0.1141
UK1219	Apr-01, May-14	24 taxa	B.1.1	119 days	0.0157
UK1099	Mar-24, May-14	23 taxa	B.1.1, B.1.1.5	119 days	0.0195
UK231	Mar-29, Jul-02	23 taxa	B.1	70 days	0.0617
UK699	Mar-12, Jun-30	23 taxa	B.1.5.9	72 days	0.0046
UK1030	Apr-08, May-14	23 taxa	B.1.5.5, B.1, B.1.5	119 days	0.0138
UK86	Mar-05, May-28	23 taxa	B.1	105 days	0.0123
UK1266	Mar-24, Jun-17	23 taxa	B.1.1	85 days	0.025
UK1129	Mar-27, Jul-23	22 taxa	B.1.1	49 days	0.1147
UK1152	Jul-16, Aug-21	22 taxa	B.1.1	20 days	0.0217
UK1263	Mar-09, Apr-14	21 taxa	B.1.1	149 days	0.0105
UK1075	Mar-24, May-29	21 taxa	B.1.1	104 days	0.0302
UK213	Mar-14, Apr-10	21 taxa	B.2.1	153 days	0.0088
UK1926	Mar-17, Jul-01	21 taxa	B.1.1	71 days	0.0711
UK1455	Aug-04, Aug-19	21 taxa	B.1.1.1, B.1.1	22 days	0.0325
UK1213	Jun-08, Jul-27	21 taxa	B.1.1.1	45 days	0.0519
UK1317	Apr-08, Aug-21	20 taxa	B.1.1	20 days	0.3214
UK1230	Mar-18, Jun-02	20 taxa	B.1.1	100 days	0.0238
UK1861	Mar-27, Jul-15	20 taxa	B.1.1	57 days	0.0965
UK1300	May-20, Jul-02	19 taxa	B.1.1	70 days	0.0341
UK1151	Aug-06, Aug-25	19 taxa	B.1	16 days	0.0347
UK1163	Apr-23, Jul-14	19 taxa	B.1.1	58 days	0.0785
UK1487	Mar-19, Jun-24	19 taxa	B.1, B.1.5	78 days	0.0118
UK1375	Apr-15, Jun-25	19 taxa	B.1.1	77 days	0.0512
UK630	Jun-06, Jul-03	19 taxa	B.1.1	69 days	0.0217
UK39	Mar-22, May-29	19 taxa	A.2	104 days	0.0036
UK345	Mar-19, May-15	19 taxa	B.2.2, B.2	118 days	0.0088
UK1061	Apr-30, Aug-20	19 taxa	B.1	21 days	0.1984
UK1630	Mar-20, Apr-30	19 taxa	B.1.1	133 days	0.0171
UK201	Apr-07, Jun-09	18 taxa	B.2, B.18, B	93 days	0.043
UK1344	Apr-05, Jun-23	18 taxa	B.1.1	79 days	0.0577
UK1234	Mar-26, Apr-23	18 taxa	B.1.1	140 days	0.0118
UK1725	Mar-30, Apr-30	18 taxa	B.1.1.1	133 days	0.0137
UK1202	Mar-26, Jun-26	18 taxa	B.1.1	76 days	0.0605
UK1577	Apr-27, Jun-30	18 taxa	B.1.1	72 days	0.0494
UK2046	Jun-09, Jul-01	18 taxa	B.1.1	71 days	0.0182
UK70	Mar-06, Apr-22	18 taxa	B.2, B	141 days	0.0175
UK183	Mar-03, Apr-03	18 taxa	B.2, B	160 days	0.0102
UK1709	Aug-07, Aug-26	17 taxa	B.1.1	15 days	0.0507
UK1968	Apr-19, Jun-29	17 taxa	B.1.1	73 days	0.0608
UK1790	Mar-20, Aug-21	17 taxa	B.1.1.10, B.1.1.1, B.1.1	20 days	0.4278
UK1942	Apr-03, Aug-18	17 taxa	B.1.1	23 days	0.2899
UK629	Mar-25, Jun-29	17 taxa	B.1	73 days	0.0731
UK1908	Mar-26, Jun-08	17 taxa	B.1.1	94 days	0.0492
UK1228	Mar-20, May-11	16 taxa	B.1.1	122 days	0.0284
UK1176	Jul-14, Aug-04	16 taxa	B.1.1.1, B.1.1	37 days	0.0334
UK263	Mar-13, Apr-13	16 taxa	B.1	150 days	0.0138
UK595	Mar-22, Apr-18	16 taxa	B.2.9	145 days	0.0109
UK1884	Mar-08, Aug-15	16 taxa	B.1.1	26 days	0.3419
UK153	Mar-13, Apr-14	16 taxa	B.2	149 days	0.0143
UK422	Mar-22, Apr-30	16 taxa	B.1	133 days	0.0183
UK1759	Apr-09, Aug-11	16 taxa	B.1	30 days	0.2048
UK973	Jun-12, Aug-05	16 taxa	B.1.36, B.1	36 days	0.1
UK1838	Mar-24, Jul-23	16 taxa	B.1.1	49 days	0.1646
UK349	Mar-11, May-24	16 taxa	B.2.2	109 days	0.0328
UK2094	Mar-31, Jun-24	16 taxa	B.1.1	78 days	0.0681
UK334	Mar-13, Jun-16	16 taxa	B.3	86 days	0.0736
UK38	Mar-04, Apr-20	16 taxa	B.2.1	143 days	0.0193
UK832	Mar-09, Apr-26	15 taxa	A.5	137 days	0.0175
UK1998	Mar-11, May-01	15 taxa	B.1.1	132 days	0.0276
UK200	Mar-26, Apr-19	15 taxa	B.2.1	144 days	0.0119
UK1301	Apr-06, Jun-18	15 taxa	B.1	84 days	0.0579
UK71	Mar-08, May-06	15 taxa	B.2, B	127 days	0.031
UK191	Apr-15, Aug-21	15 taxa	B.1, B.1.5	20 days	0.0618
UK1981	Apr-11, Apr-30	15 taxa	B.1, B.1.1	133 days	0.0102
UK1380	Mar-06, Jun-18	15 taxa	B.1.1	84 days	0.0884
UK2087	Mar-29, Jul-11	14 taxa	B.1.1	61 days	0.1218
UK151	Mar-09, Apr-20	14 taxa	B.3	143 days	0.0084
UK894	Apr-03, May-30	14 taxa	B.1.1	103 days	0.0426
UK132	Mar-27, May-13	14 taxa	B.1	120 days	0.028
UK592	Apr-23, Jul-07	14 taxa	B.1	65 days	0.0932
UK1723	Mar-20, Aug-24	14 taxa	B.1, B.1.30, B.1.5	17 days	0.5131
UK2063	Mar-21, May-06	14 taxa	B.1.1	127 days	0.0241
UK478	Apr-10, Jul-15	14 taxa	B.1, B.1.5	57 days	0.1296
UK780	Jul-05, Aug-20	14 taxa	B.1.3	21 days	0.1685
UK620	Mar-23, May-01	14 taxa	B.1	132 days	0.0227
UK399	Aug-14, Sep-01	14 taxa	B.1	9 days	0.0905
UK1141	Mar-14, Jun-10	14 taxa	B.1.1	92 days	0.0638
UK1919	Mar-30, May-01	14 taxa	B.1.1	132 days	0.0162
UK193	Mar-17, Jul-24	14 taxa	B.2.1	48 days	0.2067
UK2061	Mar-17, Jul-18	13 taxa	B.1.1	54 days	0.1898
UK1114	Mar-20, Apr-02	13 taxa	B.1.1	161 days	0.0067
UK568	Mar-23, May-02	13 taxa	B.2	131 days	0.0254
UK499	Mar-05, Apr-13	13 taxa	B.2.6, B.2, B.2.1	150 days	0.02
UK1497	Mar-23, May-05	13 taxa	B.1.1.1, B.1.1	128 days	0.028
UK1559	Mar-20, Apr-25	13 taxa	B.1.11	138 days	0.0217
UK2097	Mar-08, Apr-30	13 taxa	B.1.1	133 days	0.0332
UK34	Feb-27, Aug-19	13 taxa	B.2.1, B.4	22 days	0.6591
UK1803	Mar-26, Jul-02	13 taxa	B.1.1	70 days	0.1167
UK1207	Mar-26, May-04	13 taxa	B.1	129 days	0.0233
UK1216	Mar-29, May-14	13 taxa	B.1, B.1.5	119 days	0.0322
UK2030	Apr-22, Jul-22	13 taxa	B.1.1	50 days	0.1738
UK1295	Mar-29, May-03	13 taxa	B.1.1	130 days	0.0224
UK1362	Mar-09, Aug-12	13 taxa	B.1.1, B.1.1.15	29 days	0.4483
UK160	Apr-23, Jul-01	12 taxa	B.1	71 days	0.0883
UK1852	Mar-17, Jul-18	12 taxa	B.1.1.1, B.1.1	54 days	0.1898
UK1528	Jul-20, Aug-20	12 taxa	B.1.1	21 days	0.1136
UK962	Apr-02, Jun-12	12 taxa	B.1.1	90 days	0.0717
UK1026	Mar-31, May-15	12 taxa	B.1.1	118 days	0.0127
UK1050	Mar-24, Aug-26	12 taxa	B.1.1	15 days	0.9394
UK967	Jul-14, Aug-20	12 taxa	B.1.1	21 days	0.1602
UK1124	Mar-26, Jul-26	12 taxa	B.1.1, B.1.1.32	46 days	0.204
UK1681	Apr-14, Jun-16	12 taxa	B.1.1.1, B.1.1	86 days	0.0666
UK1570	Mar-18, Jun-23	12 taxa	B.1.1	79 days	0.1116
UK1314	Mar-31, Aug-02	12 taxa	B.1.1	39 days	0.289
UK713	Mar-28, Apr-04	12 taxa	B.1.1	159 days	0.004
UK826	Jun-12, Aug-21	12 taxa	B.1.36, B.1	20 days	0.3182
UK1336	Apr-09, Jul-26	12 taxa	B.1, B.1.77	46 days	0.2134
UK256	Mar-15, May-07	12 taxa	B.2, B.2.4	126 days	0.0382
UK5525	Mar-31, Apr-29	12 taxa	B.1	134 days	0.0197
UK819	Aug-02, Aug-13	12 taxa	B.1, B.1.113	28 days	0.0357
UK266	Apr-06, Apr-30	11 taxa	B.1	133 days	0.018
UK1088	Mar-22, Jun-25	11 taxa	B.1.1	77 days	0.1234
UK415	Apr-19, May-06	11 taxa	B.1.111	127 days	0.0134
UK934	Mar-25, Apr-13	11 taxa	B.1.1	150 days	0.0127
UK561	Mar-01, Apr-15	11 taxa	B.1	148 days	0.0276
UK1488	Mar-26, Apr-20	11 taxa	B.1.5	143 days	0.0175
UK1359	Apr-09, May-18	11 taxa	B.1.1	115 days	0.0339
UK2053	Mar-21, Apr-27	11 taxa	B.1.1	136 days	0.0272
UK1161	Jul-06, Aug-21	11 taxa	B.1.1	20 days	0.23
UK1979	Apr-05, Jun-13	11 taxa	B.1.1	89 days	0.0775
UK696	Apr-05, Jun-23	11 taxa	B.1.1	79 days	0.1
UK1844	Mar-24, Aug-18	11 taxa	B.1.1	23 days	0.5797
UK1830	Apr-03, Jul-02	11 taxa	B.1.1	70 days	0.1208
UK1178	Apr-03, Apr-27	11 taxa	B.1.1, B.1.1.15	136 days	0.0126
UK1135	Apr-02, Apr-21	11 taxa	B.1.1.10, B.1.1	142 days	0.0111
UK1960	Mar-31, May-19	11 taxa	B.1.1	114 days	0.043
UK1881	Apr-14, May-18	11 taxa	B.1.1	115 days	0.0296
UK22	Mar-02, Apr-21	11 taxa	B	142 days	0.0352
UK1411	Jun-13, Jul-15	11 taxa	B.1.1	57 days	0.0561
UK1827	Mar-24, Aug-18	10 taxa	B.1.1	23 days	0.7101
UK390	Mar-26, May-01	10 taxa	B.1	132 days	0.0303
UK1817	Apr-04, Jun-23	10 taxa	B.1.1	79 days	0.1013
UK693	Mar-14, Mar-26	10 taxa	A.2	168 days	0.0079
UK1612	Aug-09, Aug-21	10 taxa	B.1.1	20 days	0.0667
UK1525	Apr-21, Jun-12	10 taxa	B.1.1	90 days	0.0642
UK1247	Aug-04, Aug-21	10 taxa	B.1	20 days	0.0944
UK842	Apr-02, Jun-15	10 taxa	B.1	87 days	0.0636
UK558	Feb-29, Apr-22	10 taxa	B.2	141 days	0.0376
UK788	Feb-28, Mar-05	10 taxa	B.4	189 days	0.0035
UK2095	Jul-03, Aug-10	10 taxa	B.1.1	31 days	0.1362
UK176	Mar-13, Apr-16	10 taxa	B.3	147 days	0.0257
UK1982	Apr-03, Jun-17	10 taxa	B.1.1	85 days	0.0697
UK786	Mar-07, May-14	10 taxa	B.1.1	119 days	0.0571
UK1244	Jul-15, Jul-25	10 taxa	B.1, B.1.115	47 days	0.0236
UK1273	Jul-15, Jul-27	9 taxa	B.1.1	45 days	0.0333
UK1715	Apr-28, May-22	9 taxa	B.1.1	111 days	0.027
