Lineage,Days,England,Scotland,Wales,Northern Ireland
UK678,2020-03-12,1,0,0,0
UK678,2020-03-18,1,0,0,0
UK678,2020-03-19,1,0,0,0
UK678,2020-03-20,1,0,0,0
UK678,2020-03-21,1,0,0,0
UK678,2020-03-22,1,0,0,0
UK678,2020-03-23,1,0,0,0
UK678,2020-03-24,3,0,0,0
UK678,2020-03-24,3,0,0,0
UK678,2020-03-24,3,0,0,0
UK678,2020-03-25,4,1,0,0
UK678,2020-03-25,4,1,0,0
UK678,2020-03-25,4,1,0,0
UK678,2020-03-25,4,1,0,0
UK678,2020-03-25,4,1,0,0
UK678,2020-03-26,2,0,0,0
UK678,2020-03-26,2,0,0,0
UK678,2020-03-28,4,0,0,0
UK678,2020-03-28,4,0,0,0
UK678,2020-03-28,4,0,0,0
UK678,2020-03-28,4,0,0,0
UK678,2020-03-29,3,0,0,0
UK678,2020-03-29,3,0,0,0
UK678,2020-03-29,3,0,0,0
UK678,2020-03-30,2,1,0,0
UK678,2020-03-30,2,1,0,0
UK678,2020-03-30,2,1,0,0
UK678,2020-04-01,2,0,0,0
UK678,2020-04-01,2,0,0,0
UK678,2020-04-02,4,0,0,0
UK678,2020-04-02,4,0,0,0
UK678,2020-04-02,4,0,0,0
UK678,2020-04-02,4,0,0,0
UK678,2020-04-03,1,0,0,0
UK678,2020-04-04,2,0,1,0
UK678,2020-04-04,2,0,1,0
UK678,2020-04-04,2,0,1,0
UK678,2020-04-06,5,0,1,0
UK678,2020-04-06,5,0,1,0
UK678,2020-04-06,5,0,1,0
UK678,2020-04-06,5,0,1,0
UK678,2020-04-06,5,0,1,0
UK678,2020-04-06,5,0,1,0
UK678,2020-04-07,1,0,0,0
UK678,2020-04-08,3,0,0,0
UK678,2020-04-08,3,0,0,0
UK678,2020-04-08,3,0,0,0
UK678,2020-04-09,1,0,0,0
UK678,2020-04-10,2,0,0,0
UK678,2020-04-10,2,0,0,0
UK678,2020-04-11,3,1,0,0
UK678,2020-04-11,3,1,0,0
UK678,2020-04-11,3,1,0,0
UK678,2020-04-11,3,1,0,0
UK678,2020-04-12,1,0,0,0
UK678,2020-04-13,1,0,0,0
UK678,2020-04-14,1,0,0,0
UK678,2020-04-16,1,0,0,0
UK678,2020-04-17,2,0,0,0
UK678,2020-04-17,2,0,0,0
UK678,2020-04-18,1,0,0,0
UK678,2020-04-20,2,0,0,0
UK678,2020-04-20,2,0,0,0
UK678,2020-04-21,2,0,0,0
UK678,2020-04-21,2,0,0,0
UK678,2020-04-22,1,0,0,0
UK678,2020-04-23,1,0,0,0
UK678,2020-04-25,3,0,0,0
UK678,2020-04-25,3,0,0,0
UK678,2020-04-25,3,0,0,0
UK678,2020-04-28,1,0,0,0
UK678,2020-04-29,2,0,0,0
UK678,2020-04-29,2,0,0,0
UK678,2020-04-30,1,0,0,0
UK678,2020-05-01,3,0,0,0
UK678,2020-05-01,3,0,0,0
UK678,2020-05-01,3,0,0,0
UK678,2020-05-03,2,0,0,0
UK678,2020-05-03,2,0,0,0
UK678,2020-05-06,1,0,0,0
UK678,2020-05-07,1,0,0,0
UK678,2020-05-25,1,0,0,0
UK678,2020-05-26,1,0,0,0
UK678,2020-06-07,5,0,0,0
UK678,2020-06-07,5,0,0,0
UK678,2020-06-07,5,0,0,0
UK678,2020-06-07,5,0,0,0
UK678,2020-06-07,5,0,0,0
UK678,2020-06-08,5,0,0,0
UK678,2020-06-08,5,0,0,0
UK678,2020-06-08,5,0,0,0
UK678,2020-06-08,5,0,0,0
UK678,2020-06-08,5,0,0,0
UK678,2020-06-10,1,0,0,0
UK678,2020-06-11,2,0,0,0
UK678,2020-06-11,2,0,0,0
UK678,2020-06-12,4,0,0,0
UK678,2020-06-12,4,0,0,0
UK678,2020-06-12,4,0,0,0
UK678,2020-06-12,4,0,0,0
UK678,2020-06-13,1,0,0,0
UK678,2020-06-14,6,0,0,0
UK678,2020-06-14,6,0,0,0
UK678,2020-06-14,6,0,0,0
