Lineage,Days,England,Scotland,Wales,Northern Ireland
UK2200,2020-02-28,1,0,0,0
UK2200,2020-03-15,0,0,1,0
UK2200,2020-03-17,0,1,0,0
UK2200,2020-03-19,0,0,1,0
UK2200,2020-03-20,1,0,0,0
UK2200,2020-03-21,1,0,0,0
UK2200,2020-03-22,1,0,0,0
UK2200,2020-03-23,0,0,0,1
UK2200,2020-03-24,0,1,0,0
UK2200,2020-03-25,0,2,0,2
UK2200,2020-03-25,0,2,0,2
UK2200,2020-03-25,0,2,0,2
UK2200,2020-03-25,0,2,0,2
UK2200,2020-03-26,0,1,0,0
UK2200,2020-03-27,1,0,0,0
UK2200,2020-03-29,1,0,0,0
UK2200,2020-03-30,0,2,1,0
UK2200,2020-03-30,0,2,1,0
UK2200,2020-03-30,0,2,1,0
UK2200,2020-03-31,0,1,2,0
UK2200,2020-03-31,0,1,2,0
UK2200,2020-03-31,0,1,2,0
UK2200,2020-04-02,3,0,3,0
UK2200,2020-04-02,3,0,3,0
UK2200,2020-04-02,3,0,3,0
UK2200,2020-04-02,3,0,3,0
UK2200,2020-04-02,3,0,3,0
UK2200,2020-04-02,3,0,3,0
UK2200,2020-04-03,1,1,1,0
UK2200,2020-04-03,1,1,1,0
UK2200,2020-04-03,1,1,1,0
UK2200,2020-04-04,0,1,5,0
UK2200,2020-04-04,0,1,5,0
UK2200,2020-04-04,0,1,5,0
UK2200,2020-04-04,0,1,5,0
UK2200,2020-04-04,0,1,5,0
UK2200,2020-04-04,0,1,5,0
UK2200,2020-04-05,0,1,0,0
UK2200,2020-04-06,0,0,2,1
UK2200,2020-04-06,0,0,2,1
UK2200,2020-04-06,0,0,2,1
UK2200,2020-04-07,0,2,4,0
UK2200,2020-04-07,0,2,4,0
UK2200,2020-04-07,0,2,4,0
UK2200,2020-04-07,0,2,4,0
UK2200,2020-04-07,0,2,4,0
UK2200,2020-04-07,0,2,4,0
UK2200,2020-04-08,0,0,1,0
UK2200,2020-04-09,2,0,0,0
UK2200,2020-04-09,2,0,0,0
UK2200,2020-04-10,0,0,1,0
UK2200,2020-04-11,0,1,2,0
UK2200,2020-04-11,0,1,2,0
UK2200,2020-04-11,0,1,2,0
UK2200,2020-04-12,0,4,1,0
UK2200,2020-04-12,0,4,1,0
UK2200,2020-04-12,0,4,1,0
UK2200,2020-04-12,0,4,1,0
UK2200,2020-04-12,0,4,1,0
UK2200,2020-04-13,1,0,0,0
UK2200,2020-04-14,0,0,1,0
UK2200,2020-04-15,1,1,0,0
UK2200,2020-04-15,1,1,0,0
UK2200,2020-04-17,1,0,0,0
UK2200,2020-04-18,3,0,3,0
UK2200,2020-04-18,3,0,3,0
UK2200,2020-04-18,3,0,3,0
UK2200,2020-04-18,3,0,3,0
UK2200,2020-04-18,3,0,3,0
UK2200,2020-04-18,3,0,3,0
UK2200,2020-04-19,0,0,2,0
UK2200,2020-04-19,0,0,2,0
UK2200,2020-04-20,0,2,0,1
UK2200,2020-04-20,0,2,0,1
UK2200,2020-04-20,0,2,0,1
UK2200,2020-04-22,1,3,0,0
UK2200,2020-04-22,1,3,0,0
UK2200,2020-04-22,1,3,0,0
UK2200,2020-04-22,1,3,0,0
UK2200,2020-04-23,1,2,0,0
UK2200,2020-04-23,1,2,0,0
UK2200,2020-04-23,1,2,0,0
UK2200,2020-04-25,0,0,1,0
UK2200,2020-04-26,0,0,1,0
UK2200,2020-04-27,1,0,0,0
UK2200,2020-04-28,1,0,0,0
UK2200,2020-04-29,2,0,1,1
UK2200,2020-04-29,2,0,1,1
UK2200,2020-04-29,2,0,1,1
