Lineage,Days,England,Scotland,Wales,Northern Ireland
UK63,2020-03-18,1,0,0,0
UK63,2020-03-19,1,0,0,0
UK63,2020-03-21,1,0,0,0
UK63,2020-03-23,5,0,0,0
UK63,2020-03-23,5,0,0,0
UK63,2020-03-23,5,0,0,0
UK63,2020-03-23,5,0,0,0
UK63,2020-03-23,5,0,0,0
UK63,2020-03-24,6,0,0,0
UK63,2020-03-24,6,0,0,0
UK63,2020-03-24,6,0,0,0
UK63,2020-03-24,6,0,0,0
UK63,2020-03-24,6,0,0,0
UK63,2020-03-24,6,0,0,0
UK63,2020-03-26,1,0,0,0
UK63,2020-03-27,2,0,0,0
UK63,2020-03-27,2,0,0,0
UK63,2020-03-28,2,0,0,0
UK63,2020-03-28,2,0,0,0
UK63,2020-03-29,2,0,0,0
UK63,2020-03-29,2,0,0,0
UK63,2020-03-30,3,0,0,0
UK63,2020-03-30,3,0,0,0
UK63,2020-03-30,3,0,0,0
UK63,2020-03-31,6,0,0,0
UK63,2020-03-31,6,0,0,0
UK63,2020-03-31,6,0,0,0
UK63,2020-03-31,6,0,0,0
UK63,2020-03-31,6,0,0,0
UK63,2020-03-31,6,0,0,0
UK63,2020-04-01,3,0,0,0
UK63,2020-04-01,3,0,0,0
UK63,2020-04-01,3,0,0,0
UK63,2020-04-02,3,0,0,0
UK63,2020-04-02,3,0,0,0
UK63,2020-04-02,3,0,0,0
UK63,2020-04-03,4,0,0,0
UK63,2020-04-03,4,0,0,0
UK63,2020-04-03,4,0,0,0
UK63,2020-04-03,4,0,0,0
UK63,2020-04-04,4,0,0,0
UK63,2020-04-04,4,0,0,0
UK63,2020-04-04,4,0,0,0
UK63,2020-04-04,4,0,0,0
UK63,2020-04-05,7,0,0,0
UK63,2020-04-05,7,0,0,0
UK63,2020-04-05,7,0,0,0
UK63,2020-04-05,7,0,0,0
UK63,2020-04-05,7,0,0,0
UK63,2020-04-05,7,0,0,0
UK63,2020-04-05,7,0,0,0
UK63,2020-04-06,4,0,0,0
UK63,2020-04-06,4,0,0,0
UK63,2020-04-06,4,0,0,0
UK63,2020-04-06,4,0,0,0
UK63,2020-04-07,1,0,0,0
UK63,2020-04-09,3,0,0,0
UK63,2020-04-09,3,0,0,0
UK63,2020-04-09,3,0,0,0
UK63,2020-04-10,5,0,0,0
