Name,oldest_sequence,newest_sequence,number_taxa
UK461,2020-08-02,2020-08-27,70
UK399,2020-08-10,2020-08-26,25
UK1195,2020-06-01,2020-08-30,323
UK407,2020-08-11,2020-08-30,21
UK312,2020-07-21,2020-08-27,122
UK511,2020-07-24,2020-08-13,8
UK800,2020-07-15,2020-08-30,58
UK1535,2020-05-12,2020-08-26,208
UK1186,2020-08-03,2020-08-30,106
UK254,2020-08-03,2020-08-26,41
UK1151,2020-08-05,2020-08-25,36
UK678,2020-06-07,2020-08-14,48
UK510,2020-07-18,2020-08-26,63
UK2104,2020-05-11,2020-08-13,2
UK1211,2020-06-01,2020-08-29,197
UK2082,2020-08-11,2020-08-11,1
UK1076,2020-05-11,2020-08-22,90
UK5,2020-04-28,2020-08-29,3400
UK698,2020-05-21,2020-08-26,171
UK1855,2020-06-01,2020-08-26,420
UK529,2020-08-06,2020-08-21,10
UK1683,2020-05-11,2020-08-21,220
UK1152,2020-07-17,2020-08-21,71
UK1328,2020-08-02,2020-08-02,1
UK528,2020-07-31,2020-08-26,47
UK1271,2020-05-12,2020-08-26,635
UK1850,2020-06-15,2020-08-07,27
UK1644,2020-06-09,2020-07-17,33
UK1205,2020-05-13,2020-08-21,441
UK109,2020-05-11,2020-08-18,340
UK597,2020-04-28,2020-08-21,27
UK2200,2020-05-19,2020-08-26,71
UK108,2020-06-07,2020-07-01,16
UK1479,2020-06-09,2020-08-17,26
UK1037,2020-05-13,2020-08-18,215
UK1951,2020-05-01,2020-08-20,379
UK1212,2020-06-04,2020-07-04,42
UK1323,2020-05-11,2020-08-19,59
UK1684,2020-05-11,2020-07-04,58
UK199,2020-05-07,2020-08-26,211
UK2068,2020-05-10,2020-08-18,334
UK2094,2020-06-04,2020-06-24,11
UK1145,2020-06-08,2020-08-26,275
UK1051,2020-06-02,2020-07-25,5
UK1577,2020-05-12,2020-06-30,16
UK1575,2020-06-23,2020-06-23,1
UK1375,2020-06-08,2020-06-25,16
UK1586,2020-06-12,2020-06-22,4
UK175,2020-05-11,2020-08-21,251
UK1126,2020-04-29,2020-08-17,24
UK2913,2020-05-11,2020-07-11,127
UK1278,2020-06-04,2020-07-27,30
UK718,2020-06-22,2020-08-26,46
UK826,2020-06-12,2020-08-21,10
UK1061,2020-06-02,2020-08-20,28
UK1264,2020-06-07,2020-07-02,12
UK1153,2020-04-26,2020-08-21,163
UK1968,2020-06-04,2020-06-29,14
UK2916,2020-05-06,2020-07-24,89
UK1830,2020-06-02,2020-07-02,9
UK1163,2020-05-12,2020-07-14,10
UK945,2020-04-28,2020-08-30,93
UK1570,2020-05-11,2020-06-23,9
UK1060,2020-05-14,2020-08-14,24
UK1280,2020-06-26,2020-06-26,1
UK2041,2020-06-24,2020-06-24,1
UK1134,2020-05-20,2020-08-06,35
UK1820,2020-06-22,2020-06-22,1
UK1300,2020-06-09,2020-07-02,12
UK1397,2020-06-14,2020-06-21,2
UK1816,2020-06-24,2020-06-24,1
UK1119,2020-06-09,2020-06-23,36
UK630,2020-06-10,2020-07-03,14
UK348,2020-05-13,2020-08-19,28
UK1893,2020-06-07,2020-08-17,6
UK1904,2020-06-02,2020-08-18,60
UK741,2020-06-27,2020-08-21,23
UK1455,2020-08-04,2020-08-19,22
UK847,2020-06-02,2020-08-29,106
UK1097,2020-07-06,2020-08-26,32
UK369,2020-06-12,2020-08-21,49
UK352,2020-07-05,2020-08-26,61
UK2022,2020-06-09,2020-08-27,121
UK1769,2020-06-12,2020-08-18,28
UK331,2020-07-02,2020-08-21,25
UK1208,2020-08-17,2020-08-21,4
UK1709,2020-08-07,2020-08-26,26
UK1029,2020-06-12,2020-08-09,18
UK719,2020-05-12,2020-08-20,42
UK1269,2020-06-21,2020-08-26,6
UK1790,2020-06-11,2020-08-21,14
UK2067,2020-08-21,2020-08-21,1
UK1792,2020-08-07,2020-08-21,8
UK1125,2020-08-21,2020-08-21,1
UK1690,2020-08-20,2020-08-20,1
UK1317,2020-05-11,2020-08-21,19
UK1330,2020-08-12,2020-08-21,3
UK2092,2020-06-13,2020-08-09,4
UK1528,2020-07-20,2020-08-20,12
UK733,2020-08-10,2020-08-19,5
UK1491,2020-08-17,2020-08-21,2
UK689,2020-07-15,2020-08-21,7
UK501,2020-05-13,2020-08-20,16
UK1247,2020-08-05,2020-08-21,9
UK191,2020-06-07,2020-08-21,10
UK2008,2020-08-20,2020-08-20,2
UK560,2020-08-09,2020-08-18,4
UK363,2020-08-20,2020-08-20,1
UK1583,2020-08-09,2020-08-18,7
UK514,2020-07-06,2020-08-20,2
UK611,2020-08-18,2020-08-20,2
UK1452,2020-08-05,2020-08-20,4
UK2136,2020-06-21,2020-08-10,2
UK924,2020-08-19,2020-08-29,4
UK484,2020-08-21,2020-08-21,1
UK1161,2020-07-06,2020-08-21,10
UK2089,2020-08-17,2020-08-20,2
UK1543,2020-08-29,2020-08-29,1
UK2118,2020-06-23,2020-08-26,2
UK1225,2020-06-12,2020-08-21,39
UK553,2020-08-09,2020-08-09,1
UK872,2020-08-09,2020-08-20,2
UK1007,2020-08-20,2020-08-20,1
UK1930,2020-08-20,2020-08-20,1
UK1710,2020-08-20,2020-08-20,1
