Lineage name	Wales	England	Northern Ireland	Scotland	Date range	Global lineage	Total
UK5	22 (0.65%)	3273 (96.26%)	53 (1.56%)	52 (1.53%)	Apr-28, Aug-29	B.1.1, B.1.1.10	3400 taxa
UK1271	4 (0.63%)	631 (99.37%)	0 (0%)	0 (0%)	May-12, Aug-26	B.1.1	635 taxa
UK1205	0 (0%)	439 (99.55%)	2 (0.45%)	0 (0%)	May-13, Aug-21	B.1.1.1, B.1.1	441 taxa
UK1855	0 (0%)	268 (63.81%)	147 (35.0%)	5 (1.19%)	Jun-01, Aug-26	B.1.1, B.1.1.3	420 taxa
UK1951	8 (2.11%)	364 (96.04%)	0 (0%)	7 (1.85%)	May-01, Aug-20	B.1.1.1, B.1.1	379 taxa
UK109	1 (0.29%)	335 (98.53%)	1 (0.29%)	3 (0.88%)	May-11, Aug-18	B.1.79, B.1.77, B.1, B.1.5, B.1.99	340 taxa
UK2068	0 (0%)	333 (99.7%)	1 (0.3%)	0 (0%)	May-10, Aug-18	B.1.1.4, B.1.1	334 taxa
UK1195	11 (3.41%)	53 (16.41%)	0 (0%)	259 (80.19%)	Jun-01, Aug-30	B.1.1, B.1.1.25	323 taxa
UK1145	0 (0%)	270 (98.18%)	0 (0%)	5 (1.82%)	Jun-08, Aug-26	B.1.1	275 taxa
UK175	7 (2.79%)	215 (85.66%)	2 (0.8%)	27 (10.76%)	May-11, Aug-21	B.1.79, B.1.77, B.1.35, B.1.105, B.1.11, B.1	251 taxa
UK1683	1 (0.45%)	210 (95.45%)	0 (0%)	9 (4.09%)	May-11, Aug-21	B.1.1.1, B.1.1, B.1.1.10	220 taxa
UK1037	26 (12.09%)	188 (87.44%)	0 (0%)	1 (0.47%)	May-13, Aug-18	B.1.1.30, B.1.1	215 taxa
UK199	1 (0.47%)	201 (95.26%)	0 (0%)	9 (4.27%)	May-07, Aug-26	B.1, B.1.5	211 taxa
UK1535	0 (0%)	19 (9.13%)	186 (89.42%)	3 (1.44%)	May-12, Aug-26	B.1.1	208 taxa
UK1211	0 (0%)	33 (16.75%)	1 (0.51%)	163 (82.74%)	Jun-01, Aug-29	B.1.1	197 taxa
UK698	1 (0.58%)	167 (97.66%)	0 (0%)	3 (1.75%)	May-21, Aug-26	B.1.1	171 taxa
UK1153	0 (0%)	161 (98.77%)	0 (0%)	2 (1.23%)	Apr-26, Aug-21	B.1.1	163 taxa
UK2913	0 (0%)	126 (99.21%)	0 (0%)	1 (0.79%)	May-11, Jul-11	B.1, B.1.11	127 taxa
UK312	3 (2.46%)	64 (52.46%)	6 (4.92%)	49 (40.16%)	Jul-21, Aug-27	B.1	122 taxa
UK2022	0 (0%)	119 (98.35%)	1 (0.83%)	1 (0.83%)	Jun-09, Aug-27	B.1.1	121 taxa
UK847	2 (1.89%)	85 (80.19%)	10 (9.43%)	9 (8.49%)	Jun-02, Aug-29	B.1, B.1.36	106 taxa
UK1186	16 (15.09%)	51 (48.11%)	10 (9.43%)	29 (27.36%)	Aug-03, Aug-30	B.1.79, B.1	106 taxa
UK945	2 (2.15%)	87 (93.55%)	0 (0%)	4 (4.3%)	Apr-28, Aug-30	B.1.1.28, B.1.1	93 taxa
UK1076	1 (1.11%)	63 (70.0%)	7 (7.78%)	19 (21.11%)	May-11, Aug-22	B.1.1	90 taxa
UK2916	0 (0%)	89 (100.0%)	0 (0%)	0 (0%)	May-06, Jul-24	B.1, B.1.11	89 taxa
UK1065	66 (75.86%)	21 (24.14%)	0 (0%)	0 (0%)	Jun-02, Jul-22	B.1.1	87 taxa
UK1152	0 (0%)	13 (18.31%)	4 (5.63%)	54 (76.06%)	Jul-17, Aug-21	B.1.1	71 taxa
UK2200	5 (7.04%)	65 (91.55%)	0 (0%)	1 (1.41%)	May-19, Aug-26	B.1, B.1.5	71 taxa
UK461	2 (2.86%)	50 (71.43%)	15 (21.43%)	3 (4.29%)	Aug-02, Aug-27	B.1	70 taxa
UK510	0 (0%)	61 (96.83%)	1 (1.59%)	1 (1.59%)	Jul-18, Aug-26	B.1.106, B.1	63 taxa
UK352	0 (0%)	58 (95.08%)	0 (0%)	3 (4.92%)	Jul-05, Aug-26	B.1, B.1.113, B.1.36	61 taxa
UK1904	0 (0%)	60 (100.0%)	0 (0%)	0 (0%)	Jun-02, Aug-18	B.1.1	60 taxa
UK1323	0 (0%)	59 (100.0%)	0 (0%)	0 (0%)	May-11, Aug-19	B.1.1	59 taxa
UK800	0 (0%)	43 (74.14%)	5 (8.62%)	10 (17.24%)	Jul-15, Aug-30	B.1	58 taxa
UK1684	0 (0%)	58 (100.0%)	0 (0%)	0 (0%)	May-11, Jul-04	B.1.1.1, B.1.1	58 taxa
UK369	0 (0%)	48 (97.96%)	0 (0%)	1 (2.04%)	Jun-12, Aug-21	B.1, B.1.113	49 taxa
