Lineage,Days,England,Scotland,Wales,Northern Ireland
UK669,2020-05-11,3,0,0,0
UK669,2020-05-11,3,0,0,0
UK669,2020-05-11,3,0,0,0
UK669,2020-05-12,0,3,0,0
UK669,2020-05-12,0,3,0,0
UK669,2020-05-12,0,3,0,0
UK669,2020-05-14,2,0,0,0
UK669,2020-05-14,2,0,0,0
UK669,2020-06-06,1,0,0,0
UK669,2020-06-14,2,0,0,0
UK669,2020-06-14,2,0,0,0
UK669,2020-08-03,1,0,0,0
UK973,2020-06-12,1,0,0,0
UK973,2020-06-15,1,0,0,0
UK973,2020-07-10,1,0,0,0
UK973,2020-07-11,1,0,0,0
UK973,2020-07-15,2,0,0,0
UK973,2020-07-15,2,0,0,0
UK973,2020-07-16,4,0,0,0
UK973,2020-07-16,4,0,0,0
UK973,2020-07-16,4,0,0,0
UK973,2020-07-16,4,0,0,0
UK973,2020-07-17,2,0,0,0
UK973,2020-07-17,2,0,0,0
UK973,2020-07-25,1,0,0,0
UK973,2020-08-05,1,0,0,0
UK298,2020-07-16,2,0,0,0
UK298,2020-07-16,2,0,0,0
UK298,2020-07-17,6,0,0,0
UK298,2020-07-17,6,0,0,0
UK298,2020-07-17,6,0,0,0
UK298,2020-07-17,6,0,0,0
UK298,2020-07-17,6,0,0,0
UK298,2020-07-17,6,0,0,0
UK298,2020-07-18,2,0,0,0
UK298,2020-07-18,2,0,0,0
UK298,2020-08-05,1,0,0,0
UK1134,2020-05-20,1,0,0,0
UK1134,2020-05-25,1,0,0,0
UK1134,2020-06-07,1,0,0,0
UK1134,2020-06-08,1,0,0,0
UK1134,2020-06-11,1,0,0,0
UK1134,2020-06-16,4,0,0,0
UK1134,2020-06-16,4,0,0,0
UK1134,2020-06-16,4,0,0,0
UK1134,2020-06-16,4,0,0,0
UK1134,2020-06-19,2,0,0,0
UK1134,2020-06-19,2,0,0,0
UK1134,2020-06-20,1,0,0,0
UK1134,2020-06-21,2,0,0,0
UK1134,2020-06-21,2,0,0,0
UK1134,2020-06-22,5,0,0,0
UK1134,2020-06-22,5,0,0,0
UK1134,2020-06-22,5,0,0,0
UK1134,2020-06-22,5,0,0,0
UK1134,2020-06-22,5,0,0,0
UK1134,2020-06-23,3,0,0,0
UK1134,2020-06-23,3,0,0,0
UK1134,2020-06-23,3,0,0,0
UK1134,2020-06-25,3,0,0,0
UK1134,2020-06-25,3,0,0,0
UK1134,2020-06-25,3,0,0,0
UK1134,2020-06-30,2,0,0,0
UK1134,2020-06-30,2,0,0,0
UK1134,2020-07-02,1,0,0,0
UK1134,2020-07-15,1,0,0,0
UK1134,2020-08-01,2,0,0,0
UK1134,2020-08-01,2,0,0,0
UK1134,2020-08-02,1,0,0,0
UK1134,2020-08-06,3,0,0,0
UK1134,2020-08-06,3,0,0,0
UK1134,2020-08-06,3,0,0,0
UK1850,2020-06-15,1,0,0,0
UK1850,2020-06-22,3,0,0,0
UK1850,2020-06-22,3,0,0,0
UK1850,2020-06-22,3,0,0,0
UK1850,2020-07-03,2,0,0,0
UK1850,2020-07-03,2,0,0,0
UK1850,2020-07-04,1,0,0,0
UK1850,2020-07-06,1,0,0,0
UK1850,2020-07-13,1,0,0,0
UK1850,2020-07-14,2,0,0,0
UK1850,2020-07-14,2,0,0,0
UK1850,2020-07-15,2,0,0,0
UK1850,2020-07-15,2,0,0,0
UK1850,2020-07-16,2,0,0,0
UK1850,2020-07-16,2,0,0,0
UK1850,2020-07-17,6,0,0,0
UK1850,2020-07-17,6,0,0,0
UK1850,2020-07-17,6,0,0,0
UK1850,2020-07-17,6,0,0,0
UK1850,2020-07-17,6,0,0,0
UK1850,2020-07-17,6,0,0,0
UK1850,2020-07-18,3,0,0,0
UK1850,2020-07-18,3,0,0,0
UK1850,2020-07-18,3,0,0,0
UK1850,2020-07-19,1,0,0,0
UK1850,2020-07-29,1,0,0,0
UK1850,2020-08-07,1,0,0,0
UK1029,2020-06-12,4,0,0,0
UK1029,2020-06-12,4,0,0,0
UK1029,2020-06-12,4,0,0,0
UK1029,2020-06-12,4,0,0,0
UK1029,2020-06-13,1,0,0,0
UK1029,2020-06-18,3,0,0,0
UK1029,2020-06-18,3,0,0,0
UK1029,2020-06-18,3,0,0,0
UK1029,2020-06-25,1,0,0,0
UK1029,2020-07-01,1,0,0,0
UK1029,2020-07-02,1,0,0,0
UK1029,2020-07-03,1,0,0,0
UK1029,2020-07-13,1,0,0,0
UK1029,2020-07-22,1,0,0,0
UK1029,2020-07-31,1,0,0,0
UK1029,2020-08-03,1,0,0,0
UK1029,2020-08-06,1,0,0,0
UK1029,2020-08-09,1,0,0,0
UK2111,2020-06-02,5,0,0,0
UK2111,2020-06-02,5,0,0,0
UK2111,2020-06-02,5,0,0,0
UK2111,2020-06-02,5,0,0,0
UK2111,2020-06-02,5,0,0,0
UK2111,2020-06-10,1,0,0,0
UK2111,2020-06-12,1,0,0,0
UK2111,2020-08-09,1,0,0,0
UK2095,2020-07-03,1,0,0,0
UK2095,2020-07-04,1,0,0,0
UK2095,2020-07-05,3,0,0,0
UK2095,2020-07-05,3,0,0,0
UK2095,2020-07-05,3,0,0,0
UK2095,2020-07-14,1,0,0,0
UK2095,2020-08-10,1,0,0,0
UK1759,2020-05-13,1,0,0,0
UK1759,2020-06-11,1,0,0,0
UK1759,2020-06-13,1,0,0,0
UK1759,2020-06-17,1,0,0,0
UK1759,2020-06-19,1,0,0,0
UK1759,2020-06-30,1,0,0,0
UK1759,2020-07-18,1,0,0,0
UK1759,2020-07-22,0,1,0,0
UK1759,2020-08-11,1,0,0,0
UK511,2020-07-24,0,0,0,1
UK511,2020-07-26,0,0,0,1
UK511,2020-08-03,0,1,0,0
UK511,2020-08-07,1,0,0,0
