Name,oldest_sequence,newest_sequence,number_taxa
UK5446,2020-05-05,2020-05-16,12
UK5,2020-03-24,2020-06-08,141
UK276,2020-05-13,2020-05-13,1
UK2913,2020-05-15,2020-05-15,1
UK89,2020-05-15,2020-05-16,2
UK408,2020-04-13,2020-06-08,12
UK167,2020-03-23,2020-05-19,6
UK192,2020-05-12,2020-05-12,1
UK36,2020-05-10,2020-05-25,3
UK5532,2020-05-04,2020-05-26,4
UK199,2020-05-15,2020-05-15,1
UK1317,2020-05-15,2020-05-15,1
UK394,2020-05-19,2020-05-24,2
UK5180,2020-05-05,2020-05-09,3
UK354,2020-05-22,2020-05-22,1
UK632,2020-03-24,2020-05-16,4
UK429,2020-05-02,2020-05-02,2
UK1667,2020-05-02,2020-05-07,2
UK433,2020-05-03,2020-05-03,1
UK72,2020-03-22,2020-05-05,3
UK203,2020-05-06,2020-05-06,1
UK52,2020-05-20,2020-05-20,1
UK494,2020-05-05,2020-05-05,1
UK79,2020-05-05,2020-05-05,1
UK5549,2020-05-10,2020-05-10,1
UK15,2020-03-24,2020-03-24,1
UK462,2020-05-01,2020-05-11,2
UK3692,2020-05-08,2020-05-08,1
UK5445,2020-05-04,2020-05-04,1
UK92,2020-05-11,2020-05-11,1
UK366,2020-05-05,2020-05-05,1
UK27,2020-05-04,2020-05-04,1
UK225,2020-05-01,2020-05-01,1
UK51,2020-04-27,2020-04-27,1
UK2735,2020-04-26,2020-04-26,1
UK4,2020-03-25,2020-03-25,1
UK565,2020-03-24,2020-03-24,1
UK85,2020-03-24,2020-03-24,1
UK621,2020-03-23,2020-03-23,1
UK595,2020-04-16,2020-04-16,1
UK3897,2020-04-16,2020-04-16,1
