Lineage,Days,England,Scotland,Wales,Northern Ireland
UK49,2020-03-23,1,0,0,0
UK49,2020-03-25,3,0,0,0
UK49,2020-03-25,3,0,0,0
UK49,2020-03-25,3,0,0,0
UK49,2020-03-26,2,0,0,0
UK49,2020-03-26,2,0,0,0
UK49,2020-03-27,2,0,0,0
UK49,2020-03-27,2,0,0,0
UK49,2020-08-04,1,0,0,0
UK49,2020-08-06,1,0,0,0
UK1134,2020-04-28,1,0,0,0
UK1134,2020-05-10,1,0,0,0
UK1134,2020-05-11,1,0,0,0
UK1134,2020-05-14,1,0,0,0
UK1134,2020-05-16,1,0,0,0
UK1134,2020-05-19,4,0,0,0
UK1134,2020-05-19,4,0,0,0
UK1134,2020-05-19,4,0,0,0
UK1134,2020-05-19,4,0,0,0
UK1134,2020-05-20,1,0,0,0
UK1134,2020-05-21,2,0,0,0
UK1134,2020-05-21,2,0,0,0
UK1134,2020-05-22,5,0,0,0
UK1134,2020-05-22,5,0,0,0
UK1134,2020-05-22,5,0,0,0
UK1134,2020-05-22,5,0,0,0
UK1134,2020-05-22,5,0,0,0
UK1134,2020-05-23,2,0,0,0
UK1134,2020-05-23,2,0,0,0
UK1134,2020-05-24,4,0,0,0
UK1134,2020-05-24,4,0,0,0
UK1134,2020-05-24,4,0,0,0
UK1134,2020-05-24,4,0,0,0
UK1134,2020-05-25,1,0,0,0
UK1134,2020-05-26,3,0,0,0
UK1134,2020-05-26,3,0,0,0
UK1134,2020-05-26,3,0,0,0
UK1134,2020-05-27,4,0,0,0
UK1134,2020-05-27,4,0,0,0
UK1134,2020-05-27,4,0,0,0
UK1134,2020-05-27,4,0,0,0
UK1134,2020-05-28,1,0,0,0
UK1134,2020-05-29,2,0,0,0
UK1134,2020-05-29,2,0,0,0
UK1134,2020-06-01,1,0,0,0
UK1134,2020-06-02,2,0,0,0
UK1134,2020-06-02,2,0,0,0
UK1134,2020-06-05,3,0,0,0
UK1134,2020-06-05,3,0,0,0
UK1134,2020-06-05,3,0,0,0
UK1134,2020-06-06,2,0,0,0
UK1134,2020-06-06,2,0,0,0
UK1134,2020-06-07,2,0,0,0
UK1134,2020-06-07,2,0,0,0
UK1134,2020-06-08,2,0,0,0
UK1134,2020-06-08,2,0,0,0
UK1134,2020-06-11,1,0,0,0
UK1134,2020-06-13,1,0,0,0
UK1134,2020-06-14,1,0,0,0
UK1134,2020-06-19,1,0,0,0
UK1134,2020-06-20,1,0,0,0
UK1134,2020-07-21,1,0,0,0
UK1134,2020-07-23,1,0,0,0
UK1134,2020-07-30,1,0,0,0
UK1134,2020-08-01,1,0,0,0
UK1134,2020-08-03,1,0,0,0
UK1134,2020-08-04,1,0,0,0
UK1134,2020-08-05,1,0,0,0
UK1134,2020-08-06,1,0,0,0
UK1951,2020-03-23,2,0,0,0
UK1951,2020-03-23,2,0,0,0
UK1951,2020-03-24,4,0,0,0
UK1951,2020-03-24,4,0,0,0
UK1951,2020-03-24,4,0,0,0
UK1951,2020-03-24,4,0,0,0
UK1951,2020-03-25,6,0,0,0
UK1951,2020-03-25,6,0,0,0
UK1951,2020-03-25,6,0,0,0
UK1951,2020-03-25,6,0,0,0
UK1951,2020-03-25,6,0,0,0
UK1951,2020-03-25,6,0,0,0
UK1951,2020-03-26,5,0,0,0
UK1951,2020-03-26,5,0,0,0
UK1951,2020-03-26,5,0,0,0
UK1951,2020-03-26,5,0,0,0
UK1951,2020-03-26,5,0,0,0
UK1951,2020-03-27,2,0,0,0
UK1951,2020-03-27,2,0,0,0
UK1951,2020-04-13,1,0,0,0
UK1951,2020-04-15,2,0,0,0
UK1951,2020-04-15,2,0,0,0
UK1951,2020-04-16,3,0,0,0
UK1951,2020-04-16,3,0,0,0
UK1951,2020-04-16,3,0,0,0
UK1951,2020-04-23,1,0,0,0
UK1951,2020-04-25,1,0,0,0
UK1951,2020-04-26,2,0,0,0
UK1951,2020-04-26,2,0,0,0
UK1951,2020-04-27,2,0,0,0
UK1951,2020-04-27,2,0,0,0
UK1951,2020-04-28,3,0,0,0
UK1951,2020-04-28,3,0,0,0
UK1951,2020-04-28,3,0,0,0
UK1951,2020-04-29,2,0,0,0
UK1951,2020-04-29,2,0,0,0
UK1951,2020-04-30,3,0,0,0
UK1951,2020-04-30,3,0,0,0
UK1951,2020-04-30,3,0,0,0
UK1951,2020-05-05,1,0,0,0
UK1951,2020-05-06,1,0,0,0
UK1951,2020-05-07,1,0,0,0
UK1951,2020-05-10,2,0,0,0
UK1951,2020-05-10,2,0,0,0
UK1951,2020-05-11,6,0,0,0
UK1951,2020-05-11,6,0,0,0
UK1951,2020-05-11,6,0,0,0
UK1951,2020-05-11,6,0,0,0
UK1951,2020-05-11,6,0,0,0
UK1951,2020-05-11,6,0,0,0
UK1951,2020-05-12,2,0,0,0
UK1951,2020-05-12,2,0,0,0
UK1951,2020-05-13,2,0,0,0
UK1951,2020-05-13,2,0,0,0
UK1951,2020-05-14,3,0,0,0
UK1951,2020-05-14,3,0,0,0
UK1951,2020-05-14,3,0,0,0
UK1951,2020-05-15,1,0,0,0
UK1951,2020-05-16,4,0,0,0
UK1951,2020-05-16,4,0,0,0
UK1951,2020-05-16,4,0,0,0
UK1951,2020-05-16,4,0,0,0
UK1951,2020-05-17,1,0,0,0
UK1951,2020-05-19,4,0,0,0
UK1951,2020-05-19,4,0,0,0
UK1951,2020-05-19,4,0,0,0
UK1951,2020-05-19,4,0,0,0
UK1951,2020-05-20,5,0,0,0
UK1951,2020-05-20,5,0,0,0
UK1951,2020-05-20,5,0,0,0
UK1951,2020-05-20,5,0,0,0
UK1951,2020-05-20,5,0,0,0
UK1951,2020-05-21,4,0,0,0
UK1951,2020-05-21,4,0,0,0
UK1951,2020-05-21,4,0,0,0
UK1951,2020-05-21,4,0,0,0
UK1951,2020-05-22,5,0,0,0
UK1951,2020-05-22,5,0,0,0
UK1951,2020-05-22,5,0,0,0
UK1951,2020-05-22,5,0,0,0
UK1951,2020-05-22,5,0,0,0
UK1951,2020-05-23,2,0,0,0
UK1951,2020-05-23,2,0,0,0
UK1951,2020-05-24,4,0,0,0
UK1951,2020-05-24,4,0,0,0
UK1951,2020-05-24,4,0,0,0
UK1951,2020-05-24,4,0,0,0
UK1951,2020-05-25,3,0,0,0
UK1951,2020-05-25,3,0,0,0
UK1951,2020-05-25,3,0,0,0
UK1951,2020-05-26,4,0,0,0
UK1951,2020-05-26,4,0,0,0
UK1951,2020-05-26,4,0,0,0
UK1951,2020-05-26,4,0,0,0
UK1951,2020-05-27,4,0,0,0
UK1951,2020-05-27,4,0,0,0
UK1951,2020-05-27,4,0,0,0
UK1951,2020-05-27,4,0,0,0
UK1951,2020-05-28,7,0,0,0
UK1951,2020-05-28,7,0,0,0
UK1951,2020-05-28,7,0,0,0
UK1951,2020-05-28,7,0,0,0
UK1951,2020-05-28,7,0,0,0
UK1951,2020-05-28,7,0,0,0
UK1951,2020-05-28,7,0,0,0
UK1951,2020-05-29,7,0,0,0
UK1951,2020-05-29,7,0,0,0
UK1951,2020-05-29,7,0,0,0
UK1951,2020-05-29,7,0,0,0
UK1951,2020-05-29,7,0,0,0
UK1951,2020-05-29,7,0,0,0
UK1951,2020-05-29,7,0,0,0
UK1951,2020-05-30,1,0,0,0
UK1951,2020-06-01,1,0,0,0
UK1951,2020-06-02,2,0,0,0
UK1951,2020-06-02,2,0,0,0
UK1951,2020-06-03,2,0,0,0
UK1951,2020-06-03,2,0,0,0
UK1951,2020-06-04,3,0,0,0
UK1951,2020-06-04,3,0,0,0
UK1951,2020-06-04,3,0,0,0
UK1951,2020-06-05,4,0,0,0
UK1951,2020-06-05,4,0,0,0
UK1951,2020-06-05,4,0,0,0
UK1951,2020-06-05,4,0,0,0
UK1951,2020-06-06,3,0,0,0
UK1951,2020-06-06,3,0,0,0
UK1951,2020-06-06,3,0,0,0
UK1951,2020-06-07,1,0,0,0
UK1951,2020-06-08,2,0,0,0
UK1951,2020-06-08,2,0,0,0
UK1951,2020-06-09,4,0,0,0
UK1951,2020-06-09,4,0,0,0
UK1951,2020-06-09,4,0,0,0
UK1951,2020-06-09,4,0,0,0
UK1951,2020-06-10,1,0,0,0
UK1951,2020-06-11,1,0,0,0
UK1951,2020-06-12,2,0,0,0
UK1951,2020-06-12,2,0,0,0
UK1951,2020-06-13,2,0,0,0
UK1951,2020-06-13,2,0,0,0
UK1951,2020-06-14,1,0,0,0
UK1951,2020-06-16,2,0,0,0
UK1951,2020-06-16,2,0,0,0
UK1951,2020-06-19,1,0,0,0
UK1951,2020-06-22,1,0,0,0
UK1951,2020-06-25,1,0,0,0
UK1951,2020-06-30,1,0,0,0
UK1951,2020-07-13,2,0,0,0
UK1951,2020-07-13,2,0,0,0
UK1951,2020-07-15,1,0,0,0
UK1951,2020-08-09,1,0,0,0
UK331,2020-07-06,1,0,0,0
UK331,2020-07-10,1,0,0,0
UK331,2020-07-13,1,0,0,0
UK331,2020-07-14,1,0,0,0
UK331,2020-07-22,1,0,0,0
UK331,2020-08-14,1,0,0,0
UK1153,2020-06-18,1,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-19,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-20,15,0,0,0
UK1153,2020-08-21,3,0,0,0
UK1153,2020-08-21,3,0,0,0
UK1153,2020-08-21,3,0,0,0
UK2022,2020-05-21,1,0,0,0
UK2022,2020-05-24,2,0,0,0
UK2022,2020-05-24,2,0,0,0
UK2022,2020-05-25,1,0,0,0
UK2022,2020-05-26,1,0,0,0
UK2022,2020-06-08,1,0,0,0
UK2022,2020-06-09,3,0,0,0
UK2022,2020-06-09,3,0,0,0
UK2022,2020-06-09,3,0,0,0
UK2022,2020-07-13,1,0,0,0
UK2022,2020-07-14,3,0,0,0
UK2022,2020-07-14,3,0,0,0
UK2022,2020-07-14,3,0,0,0
UK2022,2020-07-16,2,0,0,0
UK2022,2020-07-16,2,0,0,0
UK2022,2020-07-17,2,0,0,0
UK2022,2020-07-17,2,0,0,0
UK2022,2020-07-18,2,0,0,0
UK2022,2020-07-18,2,0,0,0
UK2022,2020-07-20,4,0,0,0
UK2022,2020-07-20,4,0,0,0
UK2022,2020-07-20,4,0,0,0
UK2022,2020-07-20,4,0,0,0
UK2022,2020-07-21,3,0,0,0
UK2022,2020-07-21,3,0,0,0
UK2022,2020-07-21,3,0,0,0
UK2022,2020-07-22,2,0,0,0
UK2022,2020-07-22,2,0,0,0
UK2022,2020-07-27,1,0,0,0
UK2022,2020-08-08,1,0,0,0
UK2022,2020-08-10,1,0,0,0
UK2022,2020-08-11,1,0,0,0
UK2022,2020-08-29,1,0,0,0
UK352,2020-08-07,1,0,0,0
UK352,2020-08-08,1,0,0,0
UK352,2020-08-13,1,0,0,0
UK352,2020-08-20,1,0,0,0
UK352,2020-08-21,2,0,0,0
UK352,2020-08-21,2,0,0,0
UK352,2020-08-23,2,0,0,0
UK352,2020-08-23,2,0,0,0
UK352,2020-08-24,1,0,0,0
UK352,2020-08-25,1,0,0,0
UK352,2020-08-28,1,0,0,0
UK352,2020-09-01,2,0,0,0
UK352,2020-09-01,2,0,0,0
UK352,2020-09-02,1,0,0,0
UK5,2020-03-23,1,0,0,0
UK5,2020-03-24,2,0,0,0
UK5,2020-03-24,2,0,0,0
UK5,2020-03-25,1,0,0,0
UK5,2020-03-26,3,0,0,0
UK5,2020-03-26,3,0,0,0
UK5,2020-03-26,3,0,0,0
UK5,2020-03-27,1,0,0,0
UK5,2020-04-13,1,0,0,0
UK5,2020-04-14,3,0,0,0
UK5,2020-04-14,3,0,0,0
UK5,2020-04-14,3,0,0,0
UK5,2020-04-15,2,0,0,0
UK5,2020-04-15,2,0,0,0
UK5,2020-04-23,5,0,0,0
UK5,2020-04-23,5,0,0,0
UK5,2020-04-23,5,0,0,0
UK5,2020-04-23,5,0,0,0
UK5,2020-04-23,5,0,0,0
UK5,2020-04-28,3,0,0,0
UK5,2020-04-28,3,0,0,0
UK5,2020-04-28,3,0,0,0
UK5,2020-04-29,6,0,0,0
UK5,2020-04-29,6,0,0,0
UK5,2020-04-29,6,0,0,0
UK5,2020-04-29,6,0,0,0
UK5,2020-04-29,6,0,0,0
UK5,2020-04-29,6,0,0,0
UK5,2020-04-30,2,0,0,0
UK5,2020-04-30,2,0,0,0
UK5,2020-05-02,4,0,0,0
UK5,2020-05-02,4,0,0,0
UK5,2020-05-02,4,0,0,0
UK5,2020-05-02,4,0,0,0
UK5,2020-05-03,2,0,0,0
UK5,2020-05-03,2,0,0,0
UK5,2020-05-05,4,0,0,0
UK5,2020-05-05,4,0,0,0
UK5,2020-05-05,4,0,0,0
UK5,2020-05-05,4,0,0,0
UK5,2020-05-06,2,0,0,0
UK5,2020-05-06,2,0,0,0
UK5,2020-05-07,1,0,0,0
UK5,2020-05-08,2,0,0,0
UK5,2020-05-08,2,0,0,0
UK5,2020-05-09,2,0,0,0
UK5,2020-05-09,2,0,0,0
UK5,2020-05-10,3,0,0,0
UK5,2020-05-10,3,0,0,0
UK5,2020-05-10,3,0,0,0
UK5,2020-05-11,2,0,0,0
UK5,2020-05-11,2,0,0,0
UK5,2020-05-12,3,0,0,0
UK5,2020-05-12,3,0,0,0
UK5,2020-05-12,3,0,0,0
UK5,2020-05-13,4,0,0,0
UK5,2020-05-13,4,0,0,0
UK5,2020-05-13,4,0,0,0
UK5,2020-05-13,4,0,0,0
UK5,2020-05-15,2,0,0,0
UK5,2020-05-15,2,0,0,0
UK5,2020-05-16,1,0,0,0
UK5,2020-05-17,1,0,0,0
UK5,2020-05-23,1,0,0,0
UK5,2020-05-26,1,0,0,0
UK5,2020-05-29,1,0,0,0
UK5,2020-05-31,1,0,0,0
UK5,2020-06-01,1,0,0,0
UK5,2020-06-03,1,0,0,0
UK5,2020-06-06,1,0,0,0
UK5,2020-06-07,2,0,0,0
UK5,2020-06-07,2,0,0,0
UK5,2020-06-08,1,0,0,0
UK5,2020-06-09,1,0,0,0
