Name,oldest_sequence,newest_sequence,number_taxa
UK5,2020-03-15,2020-06-13,448
UK355,2020-04-09,2020-06-14,30
UK51,2020-04-20,2020-06-07,12
UK2014,2020-05-07,2020-06-05,2
UK42,2020-03-20,2020-06-04,58
UK366,2020-05-06,2020-06-03,3
UK113,2020-05-25,2020-06-02,7
UK2913,2020-03-29,2020-05-31,17
UK121,2020-04-21,2020-05-27,2
UK5498,2020-05-01,2020-05-28,5
UK2735,2020-03-31,2020-05-27,20
UK72,2020-03-27,2020-05-27,5
UK448,2020-04-14,2020-05-26,17
UK161,2020-05-25,2020-05-25,2
UK3929,2020-03-31,2020-05-22,34
UK174,2020-05-11,2020-05-22,4
UK326,2020-04-07,2020-05-22,15
UK755,2020-05-11,2020-05-21,4
UK217,2020-05-01,2020-05-19,3
UK77,2020-04-20,2020-05-20,3
UK167,2020-03-31,2020-05-21,33
UK3126,2020-05-04,2020-05-19,17
UK309,2020-05-17,2020-05-17,1
UK291,2020-04-30,2020-05-14,5
UK124,2020-04-29,2020-05-14,2
UK274,2020-03-19,2020-05-11,6
UK565,2020-03-28,2020-05-13,28
UK5215,2020-05-13,2020-05-13,1
UK5307,2020-04-08,2020-05-12,5
UK13,2020-03-31,2020-05-13,14
UK2464,2020-03-17,2020-05-11,21
UK46,2020-03-17,2020-05-08,2
UK5503,2020-04-15,2020-05-11,8
UK5741,2020-04-04,2020-05-10,10
UK122,2020-05-07,2020-05-07,4
UK453,2020-05-07,2020-05-07,1
UK2916,2020-03-20,2020-05-10,21
UK12,2020-04-07,2020-05-07,2
UK9,2020-03-28,2020-05-05,9
UK76,2020-05-05,2020-05-05,1
UK112,2020-04-16,2020-05-04,2
UK37,2020-03-29,2020-05-03,8
UK5649,2020-03-18,2020-05-01,4
UK107,2020-03-13,2020-05-01,55
UK199,2020-03-29,2020-05-02,5
UK345,2020-05-04,2020-05-04,1
UK49,2020-04-06,2020-05-01,2
UK79,2020-03-31,2020-05-02,4
UK6,2020-03-19,2020-05-01,8
UK193,2020-03-30,2020-04-29,10
UK479,2020-04-01,2020-04-27,2
UK494,2020-03-20,2020-04-29,21
UK32,2020-04-28,2020-04-28,1
UK507,2020-04-05,2020-04-30,3
UK132,2020-04-29,2020-04-30,2
UK517,2020-03-31,2020-04-30,2
UK454,2020-04-27,2020-04-29,2
UK203,2020-04-28,2020-04-28,1
UK370,2020-04-05,2020-04-29,6
UK509,2020-04-15,2020-04-27,2
UK445,2020-04-26,2020-04-26,1
UK4477,2020-04-27,2020-04-27,1
UK306,2020-04-27,2020-04-27,1
UK5180,2020-04-09,2020-04-28,6
UK535,2020-04-27,2020-04-27,1
UK5676,2020-03-14,2020-04-29,27
UK3248,2020-04-26,2020-04-26,2
UK275,2020-03-19,2020-04-27,3
UK284,2020-04-22,2020-04-25,2
UK219,2020-04-25,2020-04-25,1
UK146,2020-04-15,2020-04-25,2
UK101,2020-04-08,2020-04-25,2
UK216,2020-04-02,2020-04-23,2
UK31,2020-03-31,2020-04-23,3
UK342,2020-04-02,2020-04-23,8
UK497,2020-04-22,2020-04-22,1
UK371,2020-04-10,2020-04-25,4
UK141,2020-04-06,2020-04-24,3
UK5640,2020-04-11,2020-04-22,2
UK4552,2020-04-21,2020-04-21,1
UK201,2020-04-21,2020-04-21,1
UK22,2020-04-21,2020-04-21,1
UK287,2020-04-18,2020-04-18,1
UK4237,2020-04-20,2020-04-20,1
UK404,2020-03-29,2020-04-19,2
UK36,2020-03-30,2020-04-15,6
UK153,2020-03-31,2020-04-14,2
