Lineage name	England	Date range	Global lineage	Total
UK5	457 (100.0%)	Mar-15, Aug-17	B.1.1.10, B.1.1	457 taxa
UK1205	79 (100.0%)	Mar-13, Jul-10	B.1.1.3, B.1.1.1, B.1.1	79 taxa
UK175	76 (100.0%)	Mar-16, Aug-12	B.1.35, B.1.5, B.1, B.1.76, B.1.105	76 taxa
UK107	62 (100.0%)	Mar-13, May-04	B.2, B.2.1, B	62 taxa
UK1535	37 (100.0%)	Mar-31, May-18	B.1.1.3, B.1.1	37 taxa
UK1951	36 (100.0%)	Apr-02, Jun-18	B.1.1.1	36 taxa
UK5676	35 (100.0%)	Mar-14, Jul-22	B.2, B.2.9	35 taxa
UK1126	33 (100.0%)	Mar-28, May-13	B.1.1	33 taxa
UK439	30 (100.0%)	Apr-01, May-20	B.1, B.1.66	30 taxa
UK2464	25 (100.0%)	Mar-17, May-11	B.1	25 taxa
UK494	24 (100.0%)	Mar-20, Jun-30	B.1.104	24 taxa
UK2913	23 (100.0%)	Mar-29, May-31	B.1, B.1.11	23 taxa
UK2916	21 (100.0%)	Mar-17, May-08	B.1	21 taxa
UK945	21 (100.0%)	Mar-31, Aug-19	B.1.1	21 taxa
UK1051	21 (100.0%)	Apr-08, May-21	B.1.1	21 taxa
UK1140	20 (100.0%)	Apr-04, May-26	B.1.1	20 taxa
UK2111	20 (100.0%)	Apr-14, Jul-07	B.1.1	20 taxa
UK1215	19 (100.0%)	Mar-28, Jun-10	B.1.1.1, B.1.1	19 taxa
UK51	16 (100.0%)	Mar-31, Jul-01	B.1, B.1.36	16 taxa
UK5741	15 (100.0%)	Mar-17, May-22	B.1	15 taxa
UK9	11 (100.0%)	Mar-28, May-06	B.1, B.1.13	11 taxa
UK1060	10 (100.0%)	Mar-16, May-18	B.1.1.10, B.1.1	10 taxa
UK1919	10 (100.0%)	Mar-30, Apr-29	B.1.1	10 taxa
UK5503	9 (100.0%)	Apr-15, Jun-12	B.1	9 taxa
UK199	9 (100.0%)	Mar-16, Jun-15	B.1, B.1.5	9 taxa
UK37	9 (100.0%)	Mar-29, May-03	B.1.30, B.1	9 taxa
UK5498	9 (100.0%)	Mar-18, Jun-26	B.2	9 taxa
UK72	8 (100.0%)	Mar-17, May-27	B	8 taxa
UK1617	8 (100.0%)	Apr-02, Apr-22	B.1.1	8 taxa
UK274	8 (100.0%)	Mar-19, May-20	B.3	8 taxa
UK6	8 (100.0%)	Mar-19, May-01	B.1.93, B.1.75	8 taxa
UK1195	7 (100.0%)	Aug-13, Aug-19	B.1.1	7 taxa
UK1148	6 (100.0%)	May-11, Aug-06	B.1.1	6 taxa
UK174	6 (100.0%)	Apr-20, May-25	B.1, B.1.5	6 taxa
UK336	6 (100.0%)	Mar-29, Apr-15	B.1, B.1.93	6 taxa
UK678	6 (100.0%)	Apr-10, May-25	B.1.1	6 taxa
UK167	6 (100.0%)	Apr-13, May-11	B.1	6 taxa
UK1157	6 (100.0%)	Apr-09, Apr-28	B.1.1.7	6 taxa
UK829	6 (100.0%)	Mar-16, May-07	B.2	6 taxa
UK719	6 (100.0%)	Apr-04, Jun-11	B.1.1	6 taxa
