Lineage,Days,England,Scotland,Wales,Northern Ireland
UK1148,2020-05-11,1,0,0,0
UK1148,2020-05-14,1,0,0,0
UK1148,2020-05-18,1,0,0,0
UK1148,2020-05-21,1,0,0,0
UK1148,2020-08-06,2,0,0,0
UK1148,2020-08-06,2,0,0,0
UK175,2020-03-16,1,0,0,0
UK175,2020-03-17,1,0,0,0
UK175,2020-03-18,1,0,0,0
UK175,2020-03-19,1,0,0,0
UK175,2020-03-20,1,0,0,0
UK175,2020-03-24,1,0,0,0
UK175,2020-03-26,1,0,0,0
UK175,2020-03-27,2,0,0,0
UK175,2020-03-27,2,0,0,0
UK175,2020-03-28,1,0,0,0
UK175,2020-03-29,1,0,0,0
UK175,2020-03-30,4,0,0,0
UK175,2020-03-30,4,0,0,0
UK175,2020-03-30,4,0,0,0
UK175,2020-03-30,4,0,0,0
UK175,2020-03-31,3,0,0,0
UK175,2020-03-31,3,0,0,0
UK175,2020-03-31,3,0,0,0
UK175,2020-04-01,2,0,0,0
UK175,2020-04-01,2,0,0,0
UK175,2020-04-02,3,0,0,0
UK175,2020-04-02,3,0,0,0
UK175,2020-04-02,3,0,0,0
UK175,2020-04-03,3,0,0,0
UK175,2020-04-03,3,0,0,0
UK175,2020-04-03,3,0,0,0
UK175,2020-04-05,4,0,0,0
UK175,2020-04-05,4,0,0,0
UK175,2020-04-05,4,0,0,0
UK175,2020-04-05,4,0,0,0
UK175,2020-04-09,3,0,0,0
UK175,2020-04-09,3,0,0,0
UK175,2020-04-09,3,0,0,0
UK175,2020-04-10,2,0,0,0
UK175,2020-04-10,2,0,0,0
UK175,2020-04-12,3,0,0,0
UK175,2020-04-12,3,0,0,0
UK175,2020-04-12,3,0,0,0
UK175,2020-04-16,2,0,0,0
UK175,2020-04-16,2,0,0,0
UK175,2020-04-19,1,0,0,0
UK175,2020-04-20,1,0,0,0
UK175,2020-04-22,2,0,0,0
UK175,2020-04-22,2,0,0,0
UK175,2020-04-23,1,0,0,0
UK175,2020-04-24,1,0,0,0
UK175,2020-04-27,2,0,0,0
UK175,2020-04-27,2,0,0,0
UK175,2020-04-28,1,0,0,0
UK175,2020-04-29,2,0,0,0
UK175,2020-04-29,2,0,0,0
UK175,2020-04-30,1,0,0,0
UK175,2020-05-01,2,0,0,0
UK175,2020-05-01,2,0,0,0
UK175,2020-05-06,1,0,0,0
UK175,2020-05-07,4,0,0,0
UK175,2020-05-07,4,0,0,0
UK175,2020-05-07,4,0,0,0
UK175,2020-05-07,4,0,0,0
UK175,2020-05-08,1,0,0,0
