Lineage name	Scotland	Date range	Global lineage	Total
UK109	269 (100.0%)	Mar-21, Jun-12	B.1, B.1.100	269 taxa
UK336	207 (100.0%)	Mar-21, May-22	B.1.93, B.1	207 taxa
UK199	157 (100.0%)	Mar-20, Jun-25	B.1.5, B.1, B.1.5.10	157 taxa
UK5	93 (100.0%)	Mar-11, Aug-21	B.1.1, B.1.1.10, B.1.1.12	93 taxa
UK1254	74 (100.0%)	Mar-22, May-21	B.1, B.1.89	74 taxa
UK1195	69 (100.0%)	Aug-01, Aug-24	B.1.1, B.1.1.25	69 taxa
UK175	67 (100.0%)	Mar-04, Aug-03	B.1.5, B, B.1, B.1.71	67 taxa
UK2913	59 (100.0%)	Mar-28, Jun-06	B.1, B.1.11	59 taxa
UK1964	42 (100.0%)	Apr-16, Jun-02	B.1.1.14	42 taxa
UK1437	41 (100.0%)	Apr-08, May-14	B.1	41 taxa
UK2068	40 (100.0%)	Apr-16, May-25	B.1.1.4	40 taxa
UK2464	39 (100.0%)	Mar-20, May-22	B.1	39 taxa
UK5676	29 (100.0%)	Mar-09, May-07	B.2	29 taxa
UK72	28 (100.0%)	Mar-11, Apr-09	B	28 taxa
UK21	28 (100.0%)	Mar-18, May-23	B.1, B.1.40	28 taxa
UK4493	26 (100.0%)	Apr-23, May-19	B.1	26 taxa
UK1951	26 (100.0%)	Mar-29, May-27	B.1.1.1	26 taxa
UK1667	26 (100.0%)	Mar-31, May-18	B.1, B.1.9	26 taxa
UK1683	25 (100.0%)	Mar-18, May-13	B.1.1, B.1.1.1	25 taxa
UK44	23 (100.0%)	Mar-25, May-01	B	23 taxa
UK107	20 (100.0%)	Mar-21, May-05	B.2.1	20 taxa
UK187	20 (100.0%)	Mar-31, Jun-05	B.1	20 taxa
UK945	19 (100.0%)	Mar-18, May-02	B.1.1	19 taxa
UK740	15 (100.0%)	Mar-28, May-20	B.1.1	15 taxa
UK167	15 (100.0%)	Mar-24, May-15	B.1	15 taxa
UK43	13 (100.0%)	Mar-26, Apr-18	A.5	13 taxa
UK436	12 (100.0%)	Apr-13, May-14	B.1.5	12 taxa
UK512	11 (100.0%)	Apr-07, May-13	B.1.5, B.1.5.6	11 taxa
UK14	11 (100.0%)	Mar-21, May-21	B	11 taxa
UK1487	10 (100.0%)	Apr-05, Apr-22	B.1.5	10 taxa
UK2916	10 (100.0%)	Mar-04, May-18	B.1, B.1.98	10 taxa
UK719	7 (100.0%)	Mar-30, May-21	B.1.1	7 taxa
UK6	6 (100.0%)	Mar-23, May-09	B.1.75	6 taxa
UK133	6 (100.0%)	Mar-22, Apr-25	B.1	6 taxa
