Lineage,Days,England,Scotland,Wales,Northern Ireland
UK304,2020-04-16,0,1,0,0
UK304,2020-04-19,0,1,0,0
UK304,2020-04-25,0,1,0,0
UK304,2020-05-01,0,2,0,0
UK304,2020-05-01,0,2,0,0
UK304,2020-05-03,0,1,0,0
UK304,2020-05-04,0,1,0,0
UK304,2020-05-06,0,2,0,0
UK304,2020-05-06,0,2,0,0
UK304,2020-05-07,0,1,0,0
UK304,2020-05-08,0,4,0,0
UK304,2020-05-08,0,4,0,0
UK304,2020-05-08,0,4,0,0
UK304,2020-05-08,0,4,0,0
UK304,2020-05-10,0,2,0,0
UK304,2020-05-10,0,2,0,0
UK304,2020-05-12,0,3,0,0
UK304,2020-05-12,0,3,0,0
UK304,2020-05-12,0,3,0,0
UK304,2020-05-14,0,10,0,0
UK304,2020-05-14,0,10,0,0
UK304,2020-05-14,0,10,0,0
UK304,2020-05-14,0,10,0,0
UK304,2020-05-14,0,10,0,0
UK304,2020-05-14,0,10,0,0
UK304,2020-05-14,0,10,0,0
UK304,2020-05-14,0,10,0,0
UK304,2020-05-14,0,10,0,0
UK304,2020-05-14,0,10,0,0
UK304,2020-05-19,0,1,0,0
UK304,2020-05-20,0,2,0,0
UK304,2020-05-20,0,2,0,0
UK304,2020-05-26,0,1,0,0
UK304,2020-05-27,0,1,0,0
UK304,2020-06-02,0,2,0,0
UK304,2020-06-02,0,2,0,0
UK2464,2020-03-20,0,1,0,0
UK2464,2020-03-21,0,1,0,0
UK2464,2020-03-22,0,1,0,0
UK2464,2020-03-23,0,2,0,0
UK2464,2020-03-23,0,2,0,0
UK2464,2020-03-25,0,1,0,0
UK2464,2020-03-26,0,2,0,0
UK2464,2020-03-26,0,2,0,0
UK2464,2020-03-30,0,2,0,0
UK2464,2020-03-30,0,2,0,0
UK2464,2020-03-31,0,2,0,0
UK2464,2020-03-31,0,2,0,0
UK2464,2020-04-02,0,2,0,0
UK2464,2020-04-02,0,2,0,0
UK2464,2020-04-03,0,2,0,0
UK2464,2020-04-03,0,2,0,0
UK2464,2020-04-04,0,3,0,0
UK2464,2020-04-04,0,3,0,0
UK2464,2020-04-04,0,3,0,0
UK2464,2020-04-06,0,1,0,0
UK2464,2020-04-07,0,3,0,0
UK2464,2020-04-07,0,3,0,0
UK2464,2020-04-07,0,3,0,0
UK2464,2020-04-08,0,1,0,0
UK2464,2020-04-10,0,1,0,0
UK2464,2020-04-11,0,1,0,0
UK2464,2020-04-12,0,1,0,0
UK2464,2020-04-13,0,1,0,0
UK2464,2020-04-14,0,3,0,0
UK2464,2020-04-14,0,3,0,0
UK2464,2020-04-14,0,3,0,0
UK2464,2020-04-16,0,1,0,0
UK2464,2020-04-20,0,1,0,0
UK2464,2020-04-22,0,1,0,0
UK2464,2020-04-28,0,1,0,0
UK2464,2020-04-29,0,2,0,0
UK2464,2020-04-29,0,2,0,0
UK2464,2020-05-03,0,2,0,0
UK2464,2020-05-03,0,2,0,0
UK2464,2020-05-06,0,1,0,0
UK2464,2020-05-08,0,2,0,0
UK2464,2020-05-08,0,2,0,0
UK2464,2020-05-10,0,1,0,0
UK2464,2020-05-12,0,1,0,0
UK2464,2020-06-02,0,8,0,0
UK2464,2020-06-02,0,8,0,0
UK2464,2020-06-02,0,8,0,0
UK2464,2020-06-02,0,8,0,0
UK2464,2020-06-02,0,8,0,0
UK2464,2020-06-02,0,8,0,0
UK2464,2020-06-02,0,8,0,0
UK2464,2020-06-02,0,8,0,0
UK2464,2020-06-04,0,1,0,0
UK2464,2020-06-06,0,1,0,0
UK109,2020-03-21,0,1,0,0
UK109,2020-03-24,0,1,0,0
UK109,2020-03-31,0,1,0,0
UK109,2020-04-02,0,1,0,0
UK109,2020-04-03,0,4,0,0
UK109,2020-04-03,0,4,0,0
UK109,2020-04-03,0,4,0,0
UK109,2020-04-03,0,4,0,0
UK109,2020-04-04,0,6,0,0
UK109,2020-04-04,0,6,0,0
UK109,2020-04-04,0,6,0,0
UK109,2020-04-04,0,6,0,0
UK109,2020-04-04,0,6,0,0
UK109,2020-04-04,0,6,0,0
UK109,2020-04-05,0,3,0,0
UK109,2020-04-05,0,3,0,0
UK109,2020-04-05,0,3,0,0
UK109,2020-04-06,0,10,0,0
UK109,2020-04-06,0,10,0,0
UK109,2020-04-06,0,10,0,0
UK109,2020-04-06,0,10,0,0
UK109,2020-04-06,0,10,0,0
UK109,2020-04-06,0,10,0,0
UK109,2020-04-06,0,10,0,0
UK109,2020-04-06,0,10,0,0
UK109,2020-04-06,0,10,0,0
UK109,2020-04-06,0,10,0,0
UK109,2020-04-07,0,6,0,0
UK109,2020-04-07,0,6,0,0
UK109,2020-04-07,0,6,0,0
UK109,2020-04-07,0,6,0,0
UK109,2020-04-07,0,6,0,0
UK109,2020-04-07,0,6,0,0
UK109,2020-04-08,0,3,0,0
UK109,2020-04-08,0,3,0,0
UK109,2020-04-08,0,3,0,0
UK109,2020-04-09,0,1,0,0
UK109,2020-04-10,0,2,0,0
UK109,2020-04-10,0,2,0,0
UK109,2020-04-11,0,2,0,0
UK109,2020-04-11,0,2,0,0
UK109,2020-04-12,0,7,0,0
UK109,2020-04-12,0,7,0,0
UK109,2020-04-12,0,7,0,0
UK109,2020-04-12,0,7,0,0
UK109,2020-04-12,0,7,0,0
UK109,2020-04-12,0,7,0,0
UK109,2020-04-12,0,7,0,0
UK109,2020-04-13,0,9,0,0
UK109,2020-04-13,0,9,0,0
UK109,2020-04-13,0,9,0,0
UK109,2020-04-13,0,9,0,0
UK109,2020-04-13,0,9,0,0
UK109,2020-04-13,0,9,0,0
UK109,2020-04-13,0,9,0,0
UK109,2020-04-13,0,9,0,0
UK109,2020-04-13,0,9,0,0
UK109,2020-04-14,0,6,0,0
UK109,2020-04-14,0,6,0,0
UK109,2020-04-14,0,6,0,0
UK109,2020-04-14,0,6,0,0
UK109,2020-04-14,0,6,0,0
UK109,2020-04-14,0,6,0,0
UK109,2020-04-15,0,7,0,0
UK109,2020-04-15,0,7,0,0
UK109,2020-04-15,0,7,0,0
UK109,2020-04-15,0,7,0,0
UK109,2020-04-15,0,7,0,0
UK109,2020-04-15,0,7,0,0
UK109,2020-04-15,0,7,0,0
UK109,2020-04-16,0,8,0,0
UK109,2020-04-16,0,8,0,0
UK109,2020-04-16,0,8,0,0
UK109,2020-04-16,0,8,0,0
UK109,2020-04-16,0,8,0,0
UK109,2020-04-16,0,8,0,0
UK109,2020-04-16,0,8,0,0
UK109,2020-04-16,0,8,0,0
UK109,2020-04-17,0,5,0,0
UK109,2020-04-17,0,5,0,0
UK109,2020-04-17,0,5,0,0
UK109,2020-04-17,0,5,0,0
UK109,2020-04-17,0,5,0,0
UK109,2020-04-18,0,6,0,0
UK109,2020-04-18,0,6,0,0
UK109,2020-04-18,0,6,0,0
UK109,2020-04-18,0,6,0,0
UK109,2020-04-18,0,6,0,0
UK109,2020-04-18,0,6,0,0
UK109,2020-04-19,0,5,0,0
UK109,2020-04-19,0,5,0,0
UK109,2020-04-19,0,5,0,0
UK109,2020-04-19,0,5,0,0
UK109,2020-04-19,0,5,0,0
UK109,2020-04-20,0,7,0,0
UK109,2020-04-20,0,7,0,0
UK109,2020-04-20,0,7,0,0
UK109,2020-04-20,0,7,0,0
UK109,2020-04-20,0,7,0,0
UK109,2020-04-20,0,7,0,0
UK109,2020-04-20,0,7,0,0
UK109,2020-04-21,0,5,0,0
UK109,2020-04-21,0,5,0,0
UK109,2020-04-21,0,5,0,0
UK109,2020-04-21,0,5,0,0
UK109,2020-04-21,0,5,0,0
UK109,2020-04-22,0,5,0,0
UK109,2020-04-22,0,5,0,0
UK109,2020-04-22,0,5,0,0
UK109,2020-04-22,0,5,0,0
UK109,2020-04-22,0,5,0,0
UK109,2020-04-23,0,3,0,0
