Name,oldest_sequence,newest_sequence,number_taxa
UK2916,2020-03-22,2020-05-01,21
UK5,2020-03-12,2020-05-13,114
UK5501,2020-04-27,2020-06-01,6
UK565,2020-04-14,2020-05-03,4
UK63,2020-03-23,2020-05-10,15
UK497,2020-03-17,2020-06-03,8
UK240,2020-03-28,2020-04-24,4
UK275,2020-03-25,2020-03-25,1
UK173,2020-03-14,2020-04-15,2
UK42,2020-03-25,2020-04-15,5
UK5676,2020-03-13,2020-04-13,4
UK107,2020-03-17,2020-04-10,4
UK570,2020-03-24,2020-04-29,6
UK70,2020-03-28,2020-04-16,2
UK199,2020-03-24,2020-04-29,4
UK35,2020-03-29,2020-03-29,1
UK72,2020-04-02,2020-04-07,4
UK274,2020-04-01,2020-04-06,4
UK12,2020-03-31,2020-03-31,1
UK476,2020-03-30,2020-05-06,55
UK32,2020-04-22,2020-04-22,1
UK3126,2020-04-21,2020-04-21,1
UK167,2020-04-06,2020-05-04,4
UK5741,2020-04-04,2020-04-29,3
UK753,2020-04-20,2020-04-20,2
UK1703,2020-04-20,2020-04-20,5
UK2913,2020-04-20,2020-04-20,1
UK331,2020-04-21,2020-04-21,1
UK5561,2020-04-06,2020-04-10,2
UK243,2020-04-04,2020-04-12,2
UK635,2020-04-18,2020-04-18,1
UK64,2020-03-29,2020-03-29,1
UK3189,2020-04-09,2020-04-09,1
UK4,2020-03-23,2020-03-27,2
UK3192,2020-03-31,2020-03-31,1
UK5649,2020-03-25,2020-03-25,1
UK1619,2020-03-28,2020-03-28,1
UK3194,2020-04-29,2020-04-29,1
UK4528,2020-03-22,2020-03-22,1
UK15,2020-04-01,2020-04-01,1
UK61,2020-03-26,2020-03-26,1
UK202,2020-03-26,2020-03-26,1
UK774,2020-04-15,2020-04-22,3
UK276,2020-04-16,2020-04-16,1
UK326,2020-04-12,2020-04-12,1
UK781,2020-03-31,2020-03-31,1
UK174,2020-04-12,2020-04-17,2
UK31,2020-04-11,2020-04-11,1
UK1207,2020-04-12,2020-04-15,2
UK3037,2020-04-07,2020-04-07,1
