Lineage name	England	Date range	Global lineage	Total
UK5	128 (100.0%)	Mar-12, Jun-09	B.1.1, B.1.1.10	128 taxa
UK1447	59 (100.0%)	Mar-30, May-06	B.1.1	59 taxa
UK2916	19 (100.0%)	Mar-22, May-01	B.1	19 taxa
UK917	16 (100.0%)	Mar-23, May-10	B.1.1	16 taxa
UK5501	8 (100.0%)	Apr-27, Jun-01	B.1.12, B.1	8 taxa
UK497	8 (100.0%)	Mar-17, Jun-03	A.2	8 taxa
UK1535	7 (100.0%)	Apr-12, Apr-27	B.1.1	7 taxa
UK402	6 (100.0%)	Apr-07, Apr-15	B.1	6 taxa
UK1050	6 (100.0%)	Mar-24, Apr-29	B.1.1	6 taxa
UK199	6 (100.0%)	Mar-24, Apr-29	B.1.5	6 taxa
