Lineage,Days,England,Scotland,Wales,Northern Ireland
UK5501,2020-04-27,1,0,0,0
UK5501,2020-05-03,1,0,0,0
UK5501,2020-05-09,1,0,0,0
UK5501,2020-05-17,1,0,0,0
UK5501,2020-05-19,1,0,0,0
UK5501,2020-05-25,1,0,0,0
UK5501,2020-05-31,1,0,0,0
UK5501,2020-06-01,1,0,0,0
UK497,2020-03-17,1,0,0,0
UK497,2020-03-27,3,0,0,0
UK497,2020-03-27,3,0,0,0
UK497,2020-03-27,3,0,0,0
UK497,2020-03-29,1,0,0,0
UK497,2020-04-22,1,0,0,0
UK497,2020-04-28,1,0,0,0
UK497,2020-06-03,1,0,0,0
UK5,2020-03-12,1,0,0,0
UK5,2020-03-25,3,0,0,0
UK5,2020-03-25,3,0,0,0
UK5,2020-03-25,3,0,0,0
UK5,2020-03-26,2,0,0,0
UK5,2020-03-26,2,0,0,0
UK5,2020-03-28,1,0,0,0
UK5,2020-03-29,2,0,0,0
UK5,2020-03-29,2,0,0,0
UK5,2020-03-30,1,0,0,0
UK5,2020-03-31,2,0,0,0
UK5,2020-03-31,2,0,0,0
UK5,2020-04-01,3,0,0,0
UK5,2020-04-01,3,0,0,0
UK5,2020-04-01,3,0,0,0
UK5,2020-04-02,2,0,0,0
UK5,2020-04-02,2,0,0,0
UK5,2020-04-03,1,0,0,0
UK5,2020-04-04,1,0,0,0
UK5,2020-04-06,3,0,0,0
UK5,2020-04-06,3,0,0,0
UK5,2020-04-06,3,0,0,0
UK5,2020-04-07,4,0,0,0
UK5,2020-04-07,4,0,0,0
UK5,2020-04-07,4,0,0,0
UK5,2020-04-07,4,0,0,0
UK5,2020-04-09,5,0,0,0
UK5,2020-04-09,5,0,0,0
UK5,2020-04-09,5,0,0,0
UK5,2020-04-09,5,0,0,0
UK5,2020-04-09,5,0,0,0
UK5,2020-04-10,9,0,0,0
UK5,2020-04-10,9,0,0,0
UK5,2020-04-10,9,0,0,0
UK5,2020-04-10,9,0,0,0
UK5,2020-04-10,9,0,0,0
UK5,2020-04-10,9,0,0,0
UK5,2020-04-10,9,0,0,0
UK5,2020-04-10,9,0,0,0
UK5,2020-04-10,9,0,0,0
UK5,2020-04-11,2,0,0,0
UK5,2020-04-11,2,0,0,0
UK5,2020-04-12,5,0,0,0
UK5,2020-04-12,5,0,0,0
UK5,2020-04-12,5,0,0,0
UK5,2020-04-12,5,0,0,0
UK5,2020-04-12,5,0,0,0
UK5,2020-04-13,5,0,0,0
UK5,2020-04-13,5,0,0,0
UK5,2020-04-13,5,0,0,0
UK5,2020-04-13,5,0,0,0
UK5,2020-04-13,5,0,0,0
UK5,2020-04-14,11,0,0,0
UK5,2020-04-14,11,0,0,0
UK5,2020-04-14,11,0,0,0
UK5,2020-04-14,11,0,0,0
UK5,2020-04-14,11,0,0,0
UK5,2020-04-14,11,0,0,0
UK5,2020-04-14,11,0,0,0
UK5,2020-04-14,11,0,0,0
UK5,2020-04-14,11,0,0,0
UK5,2020-04-14,11,0,0,0
UK5,2020-04-14,11,0,0,0
UK5,2020-04-15,4,0,0,0
UK5,2020-04-15,4,0,0,0
UK5,2020-04-15,4,0,0,0
UK5,2020-04-15,4,0,0,0
UK5,2020-04-16,2,0,0,0
UK5,2020-04-16,2,0,0,0
UK5,2020-04-17,4,0,0,0
UK5,2020-04-17,4,0,0,0
UK5,2020-04-17,4,0,0,0
UK5,2020-04-17,4,0,0,0
UK5,2020-04-18,6,0,0,0
UK5,2020-04-18,6,0,0,0
UK5,2020-04-18,6,0,0,0
UK5,2020-04-18,6,0,0,0
UK5,2020-04-18,6,0,0,0
UK5,2020-04-18,6,0,0,0
UK5,2020-04-19,1,0,0,0
UK5,2020-04-20,6,0,0,0
UK5,2020-04-20,6,0,0,0
UK5,2020-04-20,6,0,0,0
UK5,2020-04-20,6,0,0,0
UK5,2020-04-20,6,0,0,0
UK5,2020-04-20,6,0,0,0
UK5,2020-04-21,1,0,0,0
UK5,2020-04-22,3,0,0,0
UK5,2020-04-22,3,0,0,0
UK5,2020-04-22,3,0,0,0
UK5,2020-04-23,4,0,0,0
UK5,2020-04-23,4,0,0,0
UK5,2020-04-23,4,0,0,0
UK5,2020-04-23,4,0,0,0
UK5,2020-04-24,1,0,0,0
UK5,2020-04-25,2,0,0,0
UK5,2020-04-25,2,0,0,0
UK5,2020-04-26,2,0,0,0
UK5,2020-04-26,2,0,0,0
UK5,2020-04-27,2,0,0,0
UK5,2020-04-27,2,0,0,0
UK5,2020-04-28,1,0,0,0
UK5,2020-04-29,5,0,0,0
UK5,2020-04-29,5,0,0,0
UK5,2020-04-29,5,0,0,0
UK5,2020-04-29,5,0,0,0
UK5,2020-04-29,5,0,0,0
UK5,2020-04-30,1,0,0,0
UK5,2020-05-01,1,0,0,0
UK5,2020-05-03,4,0,0,0
UK5,2020-05-03,4,0,0,0
UK5,2020-05-03,4,0,0,0
UK5,2020-05-03,4,0,0,0
UK5,2020-05-04,2,0,0,0
UK5,2020-05-04,2,0,0,0
UK5,2020-05-05,2,0,0,0
UK5,2020-05-05,2,0,0,0
UK5,2020-05-06,5,0,0,0
UK5,2020-05-06,5,0,0,0
UK5,2020-05-06,5,0,0,0
UK5,2020-05-06,5,0,0,0
UK5,2020-05-06,5,0,0,0
UK5,2020-05-10,1,0,0,0
UK5,2020-05-11,1,0,0,0
UK5,2020-05-12,1,0,0,0
UK5,2020-05-13,1,0,0,0
UK5,2020-05-20,1,0,0,0
UK5,2020-06-09,1,0,0,0
