Name,oldest_sequence,newest_sequence,number_taxa
UK5098,2020-03-01,2020-06-05,390
UK36,2020-03-20,2020-06-06,266
UK497,2020-04-08,2020-04-08,1
UK40,2020-03-13,2020-06-08,153
UK501,2020-03-19,2020-06-18,18
UK261,2020-03-15,2020-04-10,14
UK2913,2020-03-19,2020-05-19,68
UK87,2020-03-13,2020-04-24,32
UK5,2020-02-28,2020-06-15,205
UK58,2020-03-12,2020-04-24,13
UK668,2020-03-22,2020-06-10,66
UK39,2020-03-12,2020-05-29,109
UK2735,2020-04-08,2020-04-17,6
UK433,2020-04-05,2020-04-10,2
UK370,2020-03-17,2020-06-16,34
UK722,2020-04-08,2020-05-27,13
UK2200,2020-03-31,2020-05-04,10
UK100,2020-04-08,2020-06-01,37
UK107,2020-03-09,2020-05-11,24
UK199,2020-03-05,2020-04-27,60
UK86,2020-04-15,2020-04-15,1
UK335,2020-04-15,2020-05-21,12
UK187,2020-04-04,2020-04-24,6
UK2464,2020-03-19,2020-05-22,69
UK670,2020-04-16,2020-04-22,2
UK662,2020-04-14,2020-04-17,2
UK43,2020-03-23,2020-04-26,14
UK671,2020-04-17,2020-05-31,7
UK673,2020-04-12,2020-04-12,1
UK758,2020-04-12,2020-04-18,2
UK42,2020-03-10,2020-05-18,42
UK679,2020-04-03,2020-04-17,3
UK15,2020-03-12,2020-04-28,27
UK871,2020-04-02,2020-04-16,4
UK44,2020-03-17,2020-04-23,16
UK63,2020-04-15,2020-04-25,4
UK151,2020-04-16,2020-04-18,2
UK5676,2020-03-12,2020-05-27,85
UK302,2020-04-20,2020-04-20,1
UK106,2020-04-18,2020-04-18,1
UK4735,2020-04-22,2020-05-27,6
UK240,2020-03-22,2020-05-27,3
UK5498,2020-03-21,2020-04-08,2
UK605,2020-04-04,2020-04-16,3
UK514,2020-04-12,2020-04-12,1
UK14,2020-03-14,2020-04-10,17
UK167,2020-03-12,2020-04-26,9
UK717,2020-04-13,2020-04-13,1
UK711,2020-04-08,2020-04-08,1
UK567,2020-03-20,2020-04-18,3
UK1605,2020-04-20,2020-04-27,2
UK109,2020-03-12,2020-05-16,4
UK191,2020-03-29,2020-04-27,4
UK51,2020-03-29,2020-04-18,4
UK5300,2020-05-14,2020-05-14,1
UK517,2020-03-03,2020-04-21,2
UK5133,2020-03-27,2020-03-27,1
UK721,2020-04-24,2020-04-24,1
UK494,2020-04-11,2020-04-23,2
UK1174,2020-05-13,2020-05-13,1
UK176,2020-05-06,2020-05-06,1
UK271,2020-04-15,2020-04-26,7
UK419,2020-04-22,2020-05-07,2
UK1074,2020-04-22,2020-05-07,2
UK369,2020-04-11,2020-04-11,1
UK304,2020-04-16,2020-04-26,4
UK120,2020-03-02,2020-04-16,10
UK66,2020-04-15,2020-04-26,2
UK88,2020-04-22,2020-04-27,2
UK442,2020-04-07,2020-04-07,1
UK231,2020-04-11,2020-04-11,1
UK318,2020-04-12,2020-04-12,1
UK592,2020-04-24,2020-04-24,1
UK171,2020-03-31,2020-04-21,3
UK1954,2020-04-23,2020-04-23,1
UK498,2020-04-10,2020-04-24,3
UK55,2020-04-18,2020-04-18,1
UK698,2020-04-12,2020-04-12,1
UK5549,2020-03-21,2020-03-21,1
UK700,2020-03-19,2020-03-27,2
UK285,2020-03-23,2020-03-23,1
UK601,2020-03-14,2020-04-01,6
UK72,2020-03-07,2020-04-02,14
UK346,2020-03-27,2020-03-27,1
UK31,2020-03-29,2020-03-30,2
UK773,2020-03-18,2020-03-18,2
UK4,2020-03-19,2020-03-19,2
UK83,2020-03-26,2020-03-26,1
UK326,2020-03-26,2020-03-26,1
UK137,2020-03-09,2020-03-29,8
UK1785,2020-03-24,2020-03-24,1
UK384,2020-03-20,2020-03-20,1
UK317,2020-03-19,2020-03-19,1
UK5322,2020-03-23,2020-03-23,1
UK548,2020-03-14,2020-03-28,5
UK502,2020-03-06,2020-03-20,16
UK750,2020-03-19,2020-03-19,1
UK557,2020-03-27,2020-03-27,1
UK323,2020-03-23,2020-03-23,1
UK1073,2020-03-20,2020-03-20,1
UK540,2020-04-21,2020-04-21,1
UK275,2020-04-04,2020-04-04,1
UK3509,2020-03-27,2020-04-03,2
UK744,2020-03-29,2020-03-29,1
UK626,2020-03-27,2020-03-27,1
UK119,2020-03-29,2020-03-29,1
UK234,2020-03-29,2020-03-29,1
UK2,2020-03-28,2020-03-28,1
UK75,2020-04-02,2020-04-02,1
UK124,2020-03-25,2020-03-25,1
UK1723,2020-04-07,2020-04-07,1
UK1129,2020-03-21,2020-03-21,1
UK932,2020-03-27,2020-03-27,1
UK451,2020-03-20,2020-03-20,1
UK82,2020-03-26,2020-03-26,1
UK274,2020-04-06,2020-04-06,1
UK5561,2020-03-10,2020-03-23,3
UK2916,2020-03-03,2020-04-04,4
UK658,2020-03-30,2020-03-30,1
UK298,2020-04-04,2020-04-04,1
UK714,2020-04-02,2020-04-02,1
UK832,2020-04-01,2020-04-01,1
UK61,2020-03-29,2020-03-29,1
UK115,2020-03-26,2020-03-26,1
UK38,2020-03-23,2020-03-23,1
UK694,2020-03-12,2020-03-12,3
UK829,2020-03-16,2020-03-16,1
UK4618,2020-03-16,2020-03-16,1
UK37,2020-03-17,2020-03-17,1
UK611,2020-03-13,2020-03-13,1
UK1048,2020-03-25,2020-03-25,1
UK584,2020-03-17,2020-03-17,1
UK5649,2020-03-17,2020-03-17,1
UK7,2020-03-17,2020-03-17,1
UK10,2020-03-17,2020-03-17,2
UK5661,2020-03-20,2020-03-23,2
UK243,2020-03-18,2020-03-18,1
UK552,2020-03-18,2020-03-18,1
UK2070,2020-03-12,2020-03-12,1
UK953,2020-03-12,2020-03-12,2
UK134,2020-03-09,2020-03-13,2
UK155,2020-03-13,2020-03-13,1
UK27,2020-03-13,2020-03-13,1
UK4496,2020-03-11,2020-03-11,1
UK438,2020-03-13,2020-03-13,1
UK4516,2020-03-13,2020-03-13,1
UK4395,2020-03-13,2020-03-13,1
UK2906,2020-03-04,2020-03-09,4
UK4363,2020-03-07,2020-03-07,1
UK604,2020-03-09,2020-03-09,1
