UK_lineage,taxon
UK800,Scotland/CVR4010/2020
UK399,Scotland/CVR4044/2020
UK1211,Scotland/CVR3973/2020
UK1151,Scotland/CVR3975/2020
UK1859,Scotland/CVR3964/2020
UK1855,Scotland/CVR3962/2020
UK37,Scotland/CVR151/2020
UK1006,Scotland/CVR135/2020
UK716,Scotland/CVR1851/2020
UK784,Scotland/CVR1857/2020
UK1778,Scotland/CVR2464/2020
UK150,Scotland/CVR3848/2020
UK1919,Scotland/CVR2053/2020
UK1192,Scotland/CVR2524/2020
UK1044,Scotland/CVR2019/2020
UK5084,Scotland/CVR3899/2020
UK592,Scotland/CVR3900/2020
UK497,Scotland/CVR1989/2020
UK467,Scotland/CVR2298/2020
UK1213,Scotland/CVR3861/2020
UK15,Scotland/CVR113/2020
UK2070,Scotland/CVR34/2020
UK1429,Scotland/CVR3783/2020
UK371,Scotland/CVR1934/2020
UK1205,Scotland/CVR3685/2020
UK1266,Scotland/CVR3533/2020
UK1278,Scotland/CVR3415/2020
UK1243,Scotland/CVR3445/2020
UK1973,Scotland/CVR3491/2020
UK624,Scotland/CVR2871/2020
UK1646,Scotland/CVR3004/2020
UK725,Scotland/CVR2312/2020
UK1952,Scotland/CVR2154/2020
UK1729,Scotland/CVR2054/2020
UK1942,Scotland/CVR1520/2020
UK2003,Scotland/CVR2252/2020
UK2017,Scotland/CVR1825/2020
UK951,Scotland/CVR2218/2020
UK1212,Scotland/CVR2748/2020
UK5098,Scotland/CVR2281/2020
UK360,Scotland/CVR336/2020
UK1782,Scotland/CVR334/2020
UK1468,Scotland/CVR910/2020
UK646,Scotland/CVR772/2020
UK1785,Scotland/CVR579/2020
UK384,Scotland/CVR285/2020
UK441,Scotland/CVR239/2020
UK557,Scotland/CVR797/2020
UK1073,Scotland/CVR258/2020
UK275,Scotland/CVR1560/2020
UK479,Scotland/CVR1019/2020
UK119,Scotland/CVR1014/2020
UK1117,Scotland/CVR1388/2020
UK1834,Scotland/CVR861/2020
UK1104,Scotland/CVR1011/2020
UK2,Scotland/CVR951/2020
UK1613,Scotland/CVR1929/2020
UK678,Scotland/CVR849/2020
UK1723,Scotland/CVR1978/2020
UK130,Scotland/CVR304/2020
UK932,Scotland/CVR977/2020
UK1352,Scotland/CVR278/2020
UK1627,Scotland/CVR855/2020
UK274,Scotland/CVR1647/2020
UK1441,Scotland/CVR1434/2020
UK1001,Scotland/CVR1219/2020
UK1106,Scotland/CVR1638/2020
UK471,Scotland/CVR1691/2020
UK832,Scotland/CVR1400/2020
UK59,Scotland/CVR1145/2020
UK2006,Scotland/CVR728/2020
UK38,Scotland/CVR465/2020
UK829,Scotland/CVR139/2020
UK1376,Scotland/CVR154/2020
UK27,Scotland/CVR634/2020
UK1093,Scotland/CVR522/2020
UK584,Scotland/CVR163/2020
UK507,Scotland/CVR171/2020
UK7,Scotland/CVR170/2020
UK552,Scotland/CVR190/2020
UK804,Scotland/CVR208/2020
UK1467,Scotland/CVR59/2020
UK4496,Scotland/CVR29/2020
UK1193,Scotland/CVR21/2020
UK4516,Scotland/CVR36/2020
UK645,Scotland/CVR49/2020
UK750,Scotland/CVR74/2020
UK1263,Scotland/CVR68/2020
UK349,Scotland/CVR10/2020
