Lineage,Days,England,Scotland,Wales,Northern Ireland
UK1205,2020-03-05,1,0,0,0
UK1205,2020-03-10,2,0,0,0
UK1205,2020-03-10,2,0,0,0
UK1205,2020-03-13,1,0,0,0
UK1205,2020-03-23,1,0,0,0
UK1205,2020-04-08,1,0,0,0
UK1205,2020-08-01,1,0,0,0
UK1205,2020-08-02,2,0,0,0
UK1205,2020-08-02,2,0,0,0
UK1205,2020-08-03,1,0,0,0
UK1205,2020-08-04,2,0,0,0
UK1205,2020-08-04,2,0,0,0
UK175,2020-02-28,1,0,0,0
UK175,2020-03-01,3,0,0,0
UK175,2020-03-01,3,0,0,0
UK175,2020-03-01,3,0,0,0
UK175,2020-03-03,1,0,0,0
UK175,2020-03-05,1,0,0,0
UK175,2020-03-12,1,0,0,0
UK175,2020-03-13,1,0,0,0
UK175,2020-03-14,2,0,0,0
UK175,2020-03-14,2,0,0,0
UK175,2020-03-16,2,0,0,0
UK175,2020-03-16,2,0,0,0
UK175,2020-03-18,2,0,0,0
UK175,2020-03-18,2,0,0,0
UK175,2020-03-19,5,0,0,0
UK175,2020-03-19,5,0,0,0
UK175,2020-03-19,5,0,0,0
UK175,2020-03-19,5,0,0,0
UK175,2020-03-19,5,0,0,0
UK175,2020-03-20,1,0,0,0
UK175,2020-03-21,2,0,0,0
UK175,2020-03-21,2,0,0,0
UK175,2020-03-22,1,0,0,0
UK175,2020-03-23,5,0,0,0
UK175,2020-03-23,5,0,0,0
UK175,2020-03-23,5,0,0,0
UK175,2020-03-23,5,0,0,0
UK175,2020-03-23,5,0,0,0
UK175,2020-03-24,5,0,0,0
UK175,2020-03-24,5,0,0,0
UK175,2020-03-24,5,0,0,0
UK175,2020-03-24,5,0,0,0
UK175,2020-03-24,5,0,0,0
UK175,2020-03-25,8,0,0,0
UK175,2020-03-25,8,0,0,0
UK175,2020-03-25,8,0,0,0
UK175,2020-03-25,8,0,0,0
UK175,2020-03-25,8,0,0,0
UK175,2020-03-25,8,0,0,0
UK175,2020-03-25,8,0,0,0
UK175,2020-03-25,8,0,0,0
UK175,2020-03-26,11,0,0,0
UK175,2020-03-26,11,0,0,0
UK175,2020-03-26,11,0,0,0
UK175,2020-03-26,11,0,0,0
UK175,2020-03-26,11,0,0,0
UK175,2020-03-26,11,0,0,0
UK175,2020-03-26,11,0,0,0
UK175,2020-03-26,11,0,0,0
UK175,2020-03-26,11,0,0,0
UK175,2020-03-26,11,0,0,0
UK175,2020-03-26,11,0,0,0
UK175,2020-03-27,2,0,0,0
UK175,2020-03-27,2,0,0,0
