Name,oldest_sequence,newest_sequence,number_taxa
UK2906,2020-03-27,2020-05-04,31
UK6,2020-04-25,2020-04-25,1
UK5,2020-03-27,2020-05-14,132
UK508,2020-05-14,2020-05-14,1
UK63,2020-04-02,2020-04-18,14
UK42,2020-03-31,2020-04-20,31
UK376,2020-04-04,2020-04-18,10
UK5741,2020-04-02,2020-04-19,22
UK149,2020-04-16,2020-04-16,1
UK147,2020-04-17,2020-04-17,1
UK2913,2020-04-03,2020-04-18,9
UK140,2020-04-14,2020-04-16,2
UK5128,2020-04-18,2020-04-18,1
UK231,2020-04-17,2020-04-17,2
UK199,2020-04-04,2020-04-17,4
UK5348,2020-04-17,2020-04-17,1
UK3929,2020-04-03,2020-04-16,5
UK388,2020-04-04,2020-04-04,1
UK371,2020-04-04,2020-04-17,8
UK119,2020-04-04,2020-04-04,4
UK404,2020-04-04,2020-04-15,4
UK107,2020-03-27,2020-04-20,11
UK274,2020-04-04,2020-04-04,1
UK470,2020-04-04,2020-04-04,1
UK56,2020-04-04,2020-04-04,1
UK2916,2020-03-27,2020-04-19,11
UK1867,2020-04-04,2020-04-16,2
UK9,2020-03-31,2020-04-08,7
UK141,2020-04-02,2020-04-15,4
UK3212,2020-04-14,2020-04-14,1
UK37,2020-04-02,2020-04-19,6
UK598,2020-04-15,2020-04-15,1
UK2735,2020-04-06,2020-04-15,6
UK370,2020-04-04,2020-04-17,3
UK536,2020-04-15,2020-04-15,1
UK3248,2020-04-17,2020-04-17,1
UK414,2020-04-14,2020-04-19,2
UK109,2020-04-11,2020-04-15,2
UK709,2020-04-06,2020-04-14,2
UK3341,2020-04-11,2020-04-11,1
UK2464,2020-04-02,2020-04-19,7
UK423,2020-04-16,2020-04-16,2
UK66,2020-04-18,2020-04-18,2
UK533,2020-04-19,2020-04-19,1
UK360,2020-04-19,2020-04-19,1
UK59,2020-04-14,2020-04-19,4
UK5676,2020-04-19,2020-04-19,1
UK113,2020-04-18,2020-04-18,1
UK174,2020-04-18,2020-04-18,1
UK230,2020-04-20,2020-04-20,1
UK25,2020-04-19,2020-04-19,1
UK310,2020-04-20,2020-04-20,1
UK1667,2020-04-20,2020-04-20,1
UK99,2020-04-18,2020-04-18,1
UK62,2020-04-17,2020-04-17,1
UK339,2020-04-04,2020-04-14,2
UK240,2020-04-04,2020-04-04,1
UK89,2020-04-06,2020-04-09,5
UK469,2020-04-03,2020-04-03,1
UK11,2020-04-06,2020-04-09,2
UK313,2020-04-06,2020-04-06,1
UK829,2020-04-04,2020-04-16,4
UK3433,2020-04-15,2020-04-15,1
UK563,2020-04-15,2020-04-15,1
UK413,2020-04-15,2020-04-15,1
UK146,2020-04-14,2020-04-14,1
UK4565,2020-04-08,2020-04-08,1
UK3691,2020-04-08,2020-04-08,1
UK1721,2020-04-11,2020-04-11,1
UK28,2020-04-02,2020-04-08,2
UK497,2020-04-02,2020-04-02,1
UK448,2020-04-06,2020-04-06,1
UK171,2020-04-06,2020-04-06,1
UK369,2020-04-03,2020-04-10,3
UK3675,2020-04-06,2020-04-06,1
UK5719,2020-04-06,2020-04-06,1
UK250,2020-04-02,2020-04-09,2
UK752,2020-03-31,2020-03-31,1
UK4773,2020-03-31,2020-03-31,1
UK275,2020-04-08,2020-04-08,1
UK513,2020-04-08,2020-04-08,1
UK437,2020-04-08,2020-04-08,1
UK5484,2020-04-04,2020-04-04,1
UK5180,2020-03-31,2020-03-31,1
UK31,2020-04-02,2020-04-02,2
UK578,2020-04-02,2020-04-02,1
UK5561,2020-04-03,2020-04-03,1
UK276,2020-04-03,2020-04-03,1
