Lineage name	England	Date range	Global lineage	Total
UK5	133 (100.0%)	Mar-27, May-14	B.1.1.10, B.1.1	133 taxa
UK175	59 (100.0%)	Mar-31, Apr-20	B.1.88, B.1, B.1.76	59 taxa
UK5741	41 (100.0%)	Mar-30, Apr-19	B.1	41 taxa
UK2906	37 (100.0%)	Mar-27, May-04	B.1	37 taxa
UK719	25 (100.0%)	Mar-31, Apr-19	B.1.1	25 taxa
UK902	23 (100.0%)	Apr-04, Apr-18	B.1.1	23 taxa
UK917	19 (100.0%)	Apr-02, Apr-18	B.1.1	19 taxa
UK107	17 (100.0%)	Mar-27, Apr-20	B.2.1	17 taxa
UK2916	15 (100.0%)	Mar-27, Apr-19	B.1	15 taxa
UK678	11 (100.0%)	Apr-02, Apr-17	B.1.1	11 taxa
UK9	11 (100.0%)	Mar-31, Apr-20	B.1.13, B.1	11 taxa
UK2913	11 (100.0%)	Mar-27, Apr-18	B.1.11, B.1	11 taxa
UK1205	10 (100.0%)	Mar-31, Apr-17	B.1.1.1, B.1.1	10 taxa
UK1060	10 (100.0%)	Mar-31, Apr-19	B.1.1	10 taxa
UK387	9 (100.0%)	Mar-31, Apr-17	B.1	9 taxa
UK37	9 (100.0%)	Apr-02, Apr-19	B.1.30, B.1	9 taxa
UK894	9 (100.0%)	Apr-04, Apr-17	B.1.1	9 taxa
UK945	8 (100.0%)	Apr-06, Apr-19	B.1.1	8 taxa
UK2464	7 (100.0%)	Mar-30, Apr-19	B.1.11, B.1	7 taxa
UK2062	7 (100.0%)	Mar-31, Apr-11	B.1.1	7 taxa
UK515	7 (100.0%)	Apr-04, Apr-20	B.1	7 taxa
UK1153	6 (100.0%)	Apr-03, Apr-11	B.1.1	6 taxa
