Lineage,Days,England,Scotland,Wales,Northern Ireland
UK1205,2020-03-31,1,0,0,0
UK1205,2020-04-11,3,0,0,0
UK1205,2020-04-11,3,0,0,0
UK1205,2020-04-11,3,0,0,0
UK1205,2020-04-15,3,0,0,0
UK1205,2020-04-15,3,0,0,0
UK1205,2020-04-15,3,0,0,0
UK1205,2020-04-17,3,0,0,0
UK1205,2020-04-17,3,0,0,0
UK1205,2020-04-17,3,0,0,0
UK387,2020-03-31,1,0,0,0
UK387,2020-04-01,1,0,0,0
UK387,2020-04-06,1,0,0,0
UK387,2020-04-14,2,0,0,0
UK387,2020-04-14,2,0,0,0
UK387,2020-04-15,2,0,0,0
UK387,2020-04-15,2,0,0,0
UK387,2020-04-16,1,0,0,0
UK387,2020-04-17,1,0,0,0
UK678,2020-04-02,1,0,0,0
UK678,2020-04-04,1,0,0,0
UK678,2020-04-06,5,0,0,0
UK678,2020-04-06,5,0,0,0
UK678,2020-04-06,5,0,0,0
UK678,2020-04-06,5,0,0,0
UK678,2020-04-06,5,0,0,0
UK678,2020-04-08,2,0,0,0
UK678,2020-04-08,2,0,0,0
UK678,2020-04-10,1,0,0,0
UK678,2020-04-17,1,0,0,0
UK894,2020-04-04,1,0,0,0
UK894,2020-04-14,1,0,0,0
UK894,2020-04-15,2,0,0,0
UK894,2020-04-15,2,0,0,0
UK894,2020-04-16,2,0,0,0
UK894,2020-04-16,2,0,0,0
UK894,2020-04-17,3,0,0,0
UK894,2020-04-17,3,0,0,0
UK894,2020-04-17,3,0,0,0
UK2913,2020-03-27,1,0,0,0
UK2913,2020-04-03,1,0,0,0
UK2913,2020-04-04,2,0,0,0
UK2913,2020-04-04,2,0,0,0
UK2913,2020-04-09,1,0,0,0
UK2913,2020-04-10,1,0,0,0
UK2913,2020-04-11,1,0,0,0
UK2913,2020-04-13,1,0,0,0
UK2913,2020-04-14,1,0,0,0
UK2913,2020-04-17,1,0,0,0
UK2913,2020-04-18,1,0,0,0
UK902,2020-04-04,2,0,0,0
UK902,2020-04-04,2,0,0,0
UK902,2020-04-06,2,0,0,0
UK902,2020-04-06,2,0,0,0
UK902,2020-04-08,5,0,0,0
UK902,2020-04-08,5,0,0,0
UK902,2020-04-08,5,0,0,0
UK902,2020-04-08,5,0,0,0
UK902,2020-04-08,5,0,0,0
UK902,2020-04-09,1,0,0,0
UK902,2020-04-11,1,0,0,0
UK902,2020-04-14,2,0,0,0
UK902,2020-04-14,2,0,0,0
UK902,2020-04-15,4,0,0,0
UK902,2020-04-15,4,0,0,0
UK902,2020-04-15,4,0,0,0
UK902,2020-04-15,4,0,0,0
UK902,2020-04-16,2,0,0,0
UK902,2020-04-16,2,0,0,0
UK902,2020-04-17,3,0,0,0
UK902,2020-04-17,3,0,0,0
UK902,2020-04-17,3,0,0,0
UK902,2020-04-18,1,0,0,0
UK917,2020-04-02,2,0,0,0
UK917,2020-04-02,2,0,0,0
UK917,2020-04-03,1,0,0,0
UK917,2020-04-04,2,0,0,0
UK917,2020-04-04,2,0,0,0
UK917,2020-04-13,1,0,0,0
UK917,2020-04-14,4,0,0,0
UK917,2020-04-14,4,0,0,0
UK917,2020-04-14,4,0,0,0
UK917,2020-04-14,4,0,0,0
UK917,2020-04-15,4,0,0,0
UK917,2020-04-15,4,0,0,0
UK917,2020-04-15,4,0,0,0
UK917,2020-04-15,4,0,0,0
UK917,2020-04-16,2,0,0,0
UK917,2020-04-16,2,0,0,0
