Name,oldest_sequence,newest_sequence,number_taxa
UK5,2020-03-10,2020-03-31,47
UK5180,2020-03-29,2020-03-29,1
UK601,2020-03-11,2020-03-29,45
UK288,2020-03-23,2020-03-23,1
UK3692,2020-03-25,2020-03-25,1
UK15,2020-03-24,2020-03-25,2
UK339,2020-03-24,2020-03-24,1
UK3046,2020-03-25,2020-03-25,1
UK320,2020-03-22,2020-03-28,2
UK605,2020-03-26,2020-03-26,1
UK706,2020-03-28,2020-03-28,1
UK2916,2020-03-20,2020-03-29,8
UK187,2020-03-26,2020-03-26,3
UK798,2020-03-26,2020-03-26,1
UK487,2020-03-24,2020-03-24,1
UK2735,2020-03-26,2020-03-26,1
UK42,2020-03-26,2020-03-26,1
UK2200,2020-03-23,2020-03-25,3
UK949,2020-03-25,2020-03-25,1
UK370,2020-03-24,2020-03-28,2
UK364,2020-03-29,2020-03-29,1
UK5676,2020-03-23,2020-03-28,5
UK567,2020-03-28,2020-03-28,1
UK107,2020-03-17,2020-03-26,4
UK957,2020-03-28,2020-03-28,1
UK72,2020-03-11,2020-03-24,10
UK5549,2020-03-16,2020-03-18,2
UK2063,2020-03-25,2020-03-25,1
UK44,2020-03-23,2020-03-23,1
UK167,2020-03-14,2020-03-22,3
UK508,2020-03-24,2020-03-24,1
UK199,2020-03-23,2020-03-24,2
UK4453,2020-03-14,2020-03-14,1
UK811,2020-03-14,2020-03-14,1
UK564,2020-03-23,2020-03-23,1
UK559,2020-03-14,2020-03-14,1
UK51,2020-03-21,2020-03-21,1
UK185,2020-03-10,2020-03-10,1
UK823,2020-03-25,2020-03-25,1
UK5561,2020-03-24,2020-03-24,1
UK642,2020-03-23,2020-03-23,1
UK70,2020-03-13,2020-03-13,1
UK66,2020-03-22,2020-03-22,1
UK818,2020-03-18,2020-03-18,1
UK61,2020-03-17,2020-03-17,1
UK36,2020-03-18,2020-03-18,1
UK3752,2020-03-20,2020-03-20,1
