Name,oldest_sequence,newest_sequence,number_taxa
UK1951,2020-03-08,2020-07-16,107
UK5,2020-03-16,2020-06-29,228
UK1223,2020-04-04,2020-05-08,8
UK1155,2020-03-31,2020-06-08,3
UK267,2020-03-04,2020-05-08,52
UK14,2020-03-02,2020-04-05,3
UK1037,2020-06-05,2020-06-05,1
UK595,2020-03-26,2020-04-18,4
UK1417,2020-03-28,2020-03-28,1
UK698,2020-06-26,2020-06-26,1
UK1124,2020-04-28,2020-06-26,3
UK199,2020-03-21,2020-06-25,19
UK1950,2020-07-03,2020-07-03,1
UK1683,2020-03-23,2020-07-03,7
UK1157,2020-04-02,2020-04-24,4
UK1126,2020-04-23,2020-04-23,1
UK1076,2020-04-17,2020-06-22,9
UK1684,2020-03-16,2020-05-28,26
UK719,2020-05-17,2020-05-27,2
UK1469,2020-06-24,2020-06-24,1
UK1535,2020-06-24,2020-06-24,1
UK1205,2020-03-15,2020-06-23,7
UK323,2020-06-24,2020-06-24,1
UK175,2020-03-12,2020-06-22,16
UK387,2020-06-21,2020-06-21,1
UK72,2020-03-28,2020-06-23,4
UK1026,2020-04-01,2020-04-22,5
UK1919,2020-04-20,2020-04-20,1
UK2063,2020-04-19,2020-04-19,1
UK941,2020-04-02,2020-04-22,5
UK107,2020-03-23,2020-04-25,12
UK1873,2020-04-21,2020-04-21,1
UK1331,2020-05-04,2020-05-05,2
UK1163,2020-05-06,2020-05-11,2
UK1650,2020-05-06,2020-05-11,3
UK109,2020-03-22,2020-05-05,13
UK994,2020-04-05,2020-05-18,13
UK2078,2020-04-30,2020-04-30,1
UK362,2020-05-02,2020-05-02,1
UK2916,2020-03-23,2020-05-10,13
UK317,2020-05-11,2020-05-11,1
UK1518,2020-05-11,2020-05-15,2
UK1325,2020-04-27,2020-05-17,3
UK2913,2020-03-27,2020-05-18,3
UK669,2020-03-07,2020-05-12,22
UK805,2020-04-30,2020-05-04,3
UK315,2020-03-02,2020-05-04,20
UK667,2020-03-26,2020-05-07,10
UK1140,2020-04-30,2020-04-30,1
UK336,2020-03-20,2020-05-13,5
UK1366,2020-04-29,2020-04-29,1
UK1603,2020-05-04,2020-06-02,9
UK1833,2020-04-16,2020-06-05,2
UK2027,2020-06-02,2020-06-02,1
UK167,2020-03-26,2020-05-07,10
UK450,2020-05-04,2020-05-04,1
UK1060,2020-03-05,2020-05-24,17
UK1699,2020-04-30,2020-05-03,2
UK1791,2020-05-01,2020-05-01,1
UK761,2020-04-27,2020-04-27,1
UK2464,2020-03-27,2020-04-01,4
UK607,2020-03-25,2020-04-05,5
UK1144,2020-03-31,2020-03-31,1
UK1652,2020-04-02,2020-04-02,1
UK1220,2020-04-03,2020-04-03,1
UK1298,2020-04-03,2020-04-03,1
UK5676,2020-03-24,2020-05-08,12
UK120,2020-03-24,2020-05-12,3
UK945,2020-03-24,2020-03-31,5
UK5741,2020-04-03,2020-04-03,1
UK1471,2020-04-03,2020-04-03,1
UK479,2020-04-18,2020-04-18,1
UK1487,2020-03-29,2020-04-30,2
UK4,2020-03-28,2020-04-11,2
UK1454,2020-03-29,2020-03-29,1
UK349,2020-03-27,2020-03-28,2
UK23,2020-03-28,2020-03-28,1
UK2200,2020-03-21,2020-03-29,3
UK1369,2020-03-18,2020-05-06,6
UK1280,2020-03-28,2020-03-28,1
UK384,2020-03-31,2020-04-23,2
UK217,2020-03-23,2020-03-31,2
UK1270,2020-03-31,2020-03-31,1
UK59,2020-03-25,2020-03-31,2
UK1075,2020-04-05,2020-04-05,1
UK235,2020-04-02,2020-04-05,2
UK308,2020-04-02,2020-04-02,1
UK856,2020-03-21,2020-04-05,2
UK187,2020-03-28,2020-04-05,2
UK748,2020-03-15,2020-03-15,1
UK728,2020-03-21,2020-03-21,1
UK288,2020-03-13,2020-03-20,2
UK32,2020-04-14,2020-05-10,3
UK1038,2020-03-20,2020-03-20,1
UK16,2020-03-14,2020-03-14,1
UK600,2020-03-23,2020-03-25,3
UK1534,2020-03-24,2020-03-24,1
UK649,2020-03-22,2020-03-22,1
UK1721,2020-03-22,2020-03-22,1
UK31,2020-03-24,2020-04-13,6
UK507,2020-03-24,2020-03-24,1
UK568,2020-03-23,2020-03-23,1
UK920,2020-03-26,2020-03-26,1
UK494,2020-03-25,2020-04-05,2
UK1948,2020-03-25,2020-03-25,1
UK1153,2020-03-26,2020-03-26,1
UK956,2020-03-25,2020-03-25,1
UK531,2020-03-25,2020-03-25,1
UK709,2020-03-25,2020-03-25,1
UK1921,2020-03-30,2020-03-30,2
UK1266,2020-03-30,2020-03-30,1
UK86,2020-03-27,2020-03-30,2
UK943,2020-03-29,2020-03-29,1
UK210,2020-03-19,2020-03-19,1
UK70,2020-03-23,2020-04-04,2
UK226,2020-03-18,2020-03-18,1
UK293,2020-03-19,2020-03-19,1
UK588,2020-03-23,2020-03-23,1
UK360,2020-03-23,2020-04-02,2
UK2017,2020-03-21,2020-03-21,1
UK1718,2020-03-12,2020-03-25,2
UK188,2020-03-10,2020-03-25,2
UK584,2020-03-24,2020-04-02,2
UK554,2020-04-28,2020-04-28,1
UK526,2020-04-02,2020-04-02,1
UK1602,2020-03-15,2020-03-15,1
UK1992,2020-04-02,2020-04-02,1
UK2085,2020-05-15,2020-05-15,1
UK1988,2020-05-14,2020-05-14,1
UK51,2020-03-31,2020-05-11,3
UK1852,2020-04-12,2020-04-12,1
UK1748,2020-04-24,2020-04-24,1
UK2048,2020-05-07,2020-05-07,1
UK1431,2020-04-22,2020-04-22,1
UK1408,2020-04-20,2020-04-20,1
UK889,2020-04-19,2020-04-19,1
UK2009,2020-04-10,2020-04-10,1
UK1692,2020-04-09,2020-04-09,1
UK1314,2020-04-07,2020-04-07,1
UK1682,2020-04-07,2020-04-07,1
UK1945,2020-04-10,2020-04-10,1
UK2082,2020-04-03,2020-04-03,1
UK209,2020-03-22,2020-03-22,1
UK2906,2020-03-21,2020-03-21,1
UK992,2020-04-29,2020-04-29,1
UK1069,2020-03-27,2020-03-27,1
UK5503,2020-03-20,2020-03-25,2
