Lineage name	England	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK5	161 (100.0%)	Mar-08, May-31	161	B.1.1, B.1.1.1	0	active today
UK240	45 (100.0%)	Mar-04, May-08	45	B.2	23	0.0642
UK199	21 (100.0%)	Mar-21, May-07	21	B.1.5, B.1	24	0.0979
UK335	17 (100.0%)	Mar-07, May-12	17	B.1.1	19	0.2171
UK5561	15 (100.0%)	Mar-02, Apr-02	15	B.2.2	59	0.0375
UK5676	12 (100.0%)	Mar-24, May-08	12	B.2	23	0.1779
UK107	9 (100.0%)	Mar-23, Apr-05	9	B.2.1	56	0.029
UK42	7 (100.0%)	Mar-12, May-14	7	B.1	17	0.6176
UK2916	7 (100.0%)	Mar-29, May-08	7	B.1	23	0.2899
UK109	7 (100.0%)	Mar-19, Apr-30	7	B.1.5	31	0.2258
