Lineage,Days,England,Scotland,Wales,Northern Ireland
UK1076,2020-04-17,1,0,0,0
UK1076,2020-04-18,1,0,0,0
UK1076,2020-04-23,1,0,0,0
UK1076,2020-05-06,1,0,0,0
UK1076,2020-05-07,1,0,0,0
UK1076,2020-05-11,1,0,0,0
UK1076,2020-06-02,1,0,0,0
UK1076,2020-06-22,2,0,0,0
UK1076,2020-06-22,2,0,0,0
UK175,2020-03-12,1,0,0,0
UK175,2020-03-24,1,0,0,0
UK175,2020-04-03,1,0,0,0
UK175,2020-04-06,1,0,0,0
UK175,2020-04-15,1,0,0,0
UK175,2020-04-22,1,0,0,0
UK175,2020-04-28,1,0,0,0
UK175,2020-05-01,2,0,0,0
UK175,2020-05-01,2,0,0,0
UK175,2020-05-04,1,0,0,0
UK175,2020-05-05,1,0,0,0
UK175,2020-05-09,1,0,0,0
UK175,2020-05-12,1,0,0,0
UK175,2020-05-13,1,0,0,0
UK175,2020-05-14,1,0,0,0
UK175,2020-06-22,1,0,0,0
UK1205,2020-03-15,1,0,0,0
UK1205,2020-03-16,1,0,0,0
UK1205,2020-03-27,1,0,0,0
UK1205,2020-03-29,1,0,0,0
UK1205,2020-05-02,1,0,0,0
UK1205,2020-05-14,1,0,0,0
UK1205,2020-06-23,1,0,0,0
UK199,2020-03-21,1,0,0,0
UK199,2020-03-22,1,0,0,0
UK199,2020-03-25,1,0,0,0
UK199,2020-03-27,1,0,0,0
UK199,2020-03-28,2,0,0,0
UK199,2020-03-28,2,0,0,0
UK199,2020-03-29,1,0,0,0
UK199,2020-03-30,1,0,0,0
UK199,2020-03-31,1,0,0,0
UK199,2020-04-21,1,0,0,0
UK199,2020-04-22,2,0,0,0
UK199,2020-04-22,2,0,0,0
UK199,2020-04-30,1,0,0,0
UK199,2020-05-01,2,0,0,0
UK199,2020-05-01,2,0,0,0
UK199,2020-05-05,1,0,0,0
UK199,2020-05-08,1,0,0,0
UK199,2020-05-10,1,0,0,0
UK199,2020-06-25,1,0,0,0
UK5,2020-03-16,1,0,0,0
UK5,2020-03-19,1,0,0,0
UK5,2020-03-20,3,0,0,0
UK5,2020-03-20,3,0,0,0
UK5,2020-03-20,3,0,0,0
UK5,2020-03-22,1,0,0,0
UK5,2020-03-23,3,0,0,0
UK5,2020-03-23,3,0,0,0
UK5,2020-03-23,3,0,0,0
UK5,2020-03-24,2,0,0,0
UK5,2020-03-24,2,0,0,0
UK5,2020-03-25,3,0,0,0
UK5,2020-03-25,3,0,0,0
UK5,2020-03-25,3,0,0,0
UK5,2020-03-26,7,0,0,0
UK5,2020-03-26,7,0,0,0
UK5,2020-03-26,7,0,0,0
UK5,2020-03-26,7,0,0,0
UK5,2020-03-26,7,0,0,0
UK5,2020-03-26,7,0,0,0
UK5,2020-03-26,7,0,0,0
UK5,2020-03-27,3,0,0,0
UK5,2020-03-27,3,0,0,0
UK5,2020-03-27,3,0,0,0
UK5,2020-03-28,2,0,0,0
UK5,2020-03-28,2,0,0,0
UK5,2020-03-29,8,0,0,0
UK5,2020-03-29,8,0,0,0
UK5,2020-03-29,8,0,0,0
