Name,oldest_sequence,newest_sequence,number_taxa
UK712,2020-04-08,2020-06-18,24
UK339,2020-04-27,2020-06-18,2
UK5,2020-04-08,2020-06-17,262
UK199,2020-04-08,2020-06-02,71
UK2913,2020-04-08,2020-06-01,107
UK509,2020-04-08,2020-05-29,57
UK125,2020-04-22,2020-05-29,16
UK167,2020-05-13,2020-06-07,15
UK163,2020-06-09,2020-06-09,1
UK42,2020-04-08,2020-06-04,16
UK684,2020-04-15,2020-05-21,21
UK448,2020-04-29,2020-05-22,18
UK165,2020-04-13,2020-05-19,13
UK2735,2020-04-14,2020-05-11,14
UK89,2020-04-28,2020-05-04,2
UK107,2020-04-08,2020-05-04,3
UK6,2020-04-08,2020-05-13,80
UK72,2020-04-08,2020-05-26,5
UK5660,2020-04-25,2020-05-08,16
UK274,2020-04-13,2020-05-19,5
UK5676,2020-04-08,2020-05-13,26
UK3692,2020-04-12,2020-05-19,3
UK5663,2020-04-11,2020-05-02,12
UK2916,2020-04-08,2020-04-29,3
UK996,2020-05-12,2020-05-12,1
UK28,2020-04-13,2020-05-01,8
UK5409,2020-04-30,2020-04-30,1
UK203,2020-04-29,2020-05-17,2
UK415,2020-04-19,2020-05-06,11
UK12,2020-04-11,2020-05-06,4
UK2464,2020-04-20,2020-05-08,2
UK460,2020-04-30,2020-04-30,2
UK569,2020-05-11,2020-05-12,2
UK121,2020-04-26,2020-04-26,1
UK1223,2020-04-21,2020-04-21,1
UK5561,2020-04-08,2020-04-22,2
UK5503,2020-04-08,2020-04-27,3
UK32,2020-04-25,2020-05-03,2
UK201,2020-04-30,2020-04-30,1
UK822,2020-04-30,2020-04-30,1
UK373,2020-05-03,2020-05-03,1
UK173,2020-04-20,2020-04-20,1
UK253,2020-04-21,2020-04-21,1
UK240,2020-04-23,2020-04-23,1
UK636,2020-04-21,2020-04-21,1
UK65,2020-04-21,2020-04-21,1
UK329,2020-04-23,2020-04-23,1
UK63,2020-04-18,2020-04-18,1
UK283,2020-04-09,2020-04-09,1
UK574,2020-04-08,2020-04-08,1
UK49,2020-04-14,2020-04-14,1
UK5098,2020-04-08,2020-04-08,1
UK605,2020-04-08,2020-04-08,1
UK411,2020-04-11,2020-04-12,3
UK420,2020-04-11,2020-04-11,1
UK829,2020-04-13,2020-04-13,1
UK185,2020-04-08,2020-04-08,1
UK269,2020-04-09,2020-04-09,1
UK665,2020-04-11,2020-04-11,1
