Lineage name	England	Date range	Global lineage	Total
UK5	218 (100.0%)	Mar-24, Aug-08	B.1.1, B.1.1.10	218 taxa
UK2913	116 (100.0%)	Mar-21, Jun-01	B.1.11, B.1	116 taxa
UK6	89 (100.0%)	Apr-08, Jul-17	B.1.75, B.1	89 taxa
UK983	59 (100.0%)	Apr-21, Aug-18	B.1.5.5, B.1	59 taxa
UK1819	51 (100.0%)	Apr-08, May-11	B.1.1	51 taxa
UK175	42 (100.0%)	Mar-06, Aug-07	B.1.11, B.1, B.1.5, B.1.88, B.1.105	42 taxa
UK1645	36 (100.0%)	Aug-25, Aug-31	B.1.1.2, B.1.1.15, B.1.1, B.1.1.10	36 taxa
UK701	35 (100.0%)	Apr-13, May-21	B.1.1	35 taxa
UK1242	35 (100.0%)	Apr-08, Jun-17	B.1.1	35 taxa
UK5676	34 (100.0%)	Mar-21, May-13	B.2	34 taxa
UK2014	29 (100.0%)	Apr-08, Jun-03	B.1.1	29 taxa
UK712	27 (100.0%)	Apr-08, Jun-18	B.1.5	27 taxa
UK336	22 (100.0%)	Mar-24, May-21	B.1	22 taxa
UK1030	21 (100.0%)	Apr-08, May-14	B.1.5, B.1.5.5, B.1	21 taxa
UK2111	20 (100.0%)	Apr-29, May-22	B.1.1	20 taxa
UK945	20 (100.0%)	Apr-14, May-11	B.1.1	20 taxa
UK1535	18 (100.0%)	Apr-29, Jun-03	B.1.1, B.1.1.3	18 taxa
UK1075	16 (100.0%)	Apr-22, May-29	B.1.1	16 taxa
UK167	16 (100.0%)	May-12, Jun-04	B.1	16 taxa
UK1279	15 (100.0%)	Apr-08, May-08	B.1.1	15 taxa
UK173	14 (100.0%)	Apr-13, May-19	B.2, B, B.21	14 taxa
UK415	11 (100.0%)	Apr-19, May-06	B.1.111	11 taxa
UK72	11 (100.0%)	Mar-22, May-26	B.2, B	11 taxa
UK1205	11 (100.0%)	Apr-29, Aug-03	B.1.1.1	11 taxa
UK568	11 (100.0%)	Apr-11, May-02	B.2	11 taxa
UK107	10 (100.0%)	Mar-20, Jul-20	B.2.1	10 taxa
UK719	10 (100.0%)	Apr-25, Jun-09	B.1.1	10 taxa
UK1899	8 (100.0%)	May-05, May-29	B.1.1	8 taxa
UK597	7 (100.0%)	Apr-22, Aug-31	B.1	7 taxa
UK1060	7 (100.0%)	Apr-20, May-14	B.1.1	7 taxa
UK1683	7 (100.0%)	Jul-16, Aug-08	B.1.1.1	7 taxa
UK199	6 (100.0%)	Mar-23, May-08	B.1.5, B.1	6 taxa
UK1126	6 (100.0%)	Apr-29, Jun-15	B.1.1	6 taxa
