Lineage,Days,England,Scotland,Wales,Northern Ireland
UK175,2020-03-06,1,0,0,0
UK175,2020-03-24,1,0,0,0
UK175,2020-04-08,2,0,0,0
UK175,2020-04-08,2,0,0,0
UK175,2020-04-09,1,0,0,0
UK175,2020-04-11,4,0,0,0
UK175,2020-04-11,4,0,0,0
UK175,2020-04-11,4,0,0,0
UK175,2020-04-11,4,0,0,0
UK175,2020-04-12,2,0,0,0
UK175,2020-04-12,2,0,0,0
UK175,2020-04-13,1,0,0,0
UK175,2020-04-14,1,0,0,0
UK175,2020-04-15,1,0,0,0
UK175,2020-04-18,1,0,0,0
UK175,2020-04-22,1,0,0,0
UK175,2020-04-24,1,0,0,0
UK175,2020-04-26,1,0,0,0
UK175,2020-04-28,1,0,0,0
UK175,2020-04-29,2,0,0,0
UK175,2020-04-29,2,0,0,0
UK175,2020-04-30,2,0,0,0
UK175,2020-04-30,2,0,0,0
UK175,2020-05-01,5,0,0,0
UK175,2020-05-01,5,0,0,0
UK175,2020-05-01,5,0,0,0
UK175,2020-05-01,5,0,0,0
UK175,2020-05-01,5,0,0,0
UK175,2020-05-04,1,0,0,0
UK175,2020-05-05,2,0,0,0
UK175,2020-05-05,2,0,0,0
UK175,2020-05-06,4,0,0,0
UK175,2020-05-06,4,0,0,0
UK175,2020-05-06,4,0,0,0
UK175,2020-05-06,4,0,0,0
UK175,2020-05-18,1,0,0,0
UK175,2020-05-21,1,0,0,0
UK175,2020-06-09,1,0,0,0
UK175,2020-06-28,2,0,0,0
UK175,2020-06-28,2,0,0,0
UK175,2020-08-01,1,0,0,0
UK175,2020-08-07,1,0,0,0
UK5,2020-03-24,2,0,0,0
UK5,2020-03-24,2,0,0,0
UK5,2020-04-08,8,0,0,0
UK5,2020-04-08,8,0,0,0
UK5,2020-04-08,8,0,0,0
UK5,2020-04-08,8,0,0,0
UK5,2020-04-08,8,0,0,0
UK5,2020-04-08,8,0,0,0
UK5,2020-04-08,8,0,0,0
UK5,2020-04-08,8,0,0,0
UK5,2020-04-09,3,0,0,0
UK5,2020-04-09,3,0,0,0
UK5,2020-04-09,3,0,0,0
UK5,2020-04-10,1,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-11,15,0,0,0
UK5,2020-04-12,11,0,0,0
UK5,2020-04-12,11,0,0,0
UK5,2020-04-12,11,0,0,0
UK5,2020-04-12,11,0,0,0
UK5,2020-04-12,11,0,0,0
UK5,2020-04-12,11,0,0,0
UK5,2020-04-12,11,0,0,0
UK5,2020-04-12,11,0,0,0
UK5,2020-04-12,11,0,0,0
UK5,2020-04-12,11,0,0,0
UK5,2020-04-12,11,0,0,0
UK5,2020-04-13,3,0,0,0
UK5,2020-04-13,3,0,0,0
UK5,2020-04-13,3,0,0,0
UK5,2020-04-14,3,0,0,0
UK5,2020-04-14,3,0,0,0
UK5,2020-04-14,3,0,0,0
UK5,2020-04-15,6,0,0,0
UK5,2020-04-15,6,0,0,0
UK5,2020-04-15,6,0,0,0
UK5,2020-04-15,6,0,0,0
UK5,2020-04-15,6,0,0,0
UK5,2020-04-15,6,0,0,0
UK5,2020-04-16,2,0,0,0
UK5,2020-04-16,2,0,0,0
UK5,2020-04-17,2,0,0,0
UK5,2020-04-17,2,0,0,0
UK5,2020-04-18,6,0,0,0
UK5,2020-04-18,6,0,0,0
UK5,2020-04-18,6,0,0,0
UK5,2020-04-18,6,0,0,0
UK5,2020-04-18,6,0,0,0
UK5,2020-04-18,6,0,0,0
UK5,2020-04-19,4,0,0,0
UK5,2020-04-19,4,0,0,0
UK5,2020-04-19,4,0,0,0
UK5,2020-04-19,4,0,0,0
UK5,2020-04-20,5,0,0,0
UK5,2020-04-20,5,0,0,0
UK5,2020-04-20,5,0,0,0
UK5,2020-04-20,5,0,0,0
UK5,2020-04-20,5,0,0,0
UK5,2020-04-21,4,0,0,0
UK5,2020-04-21,4,0,0,0
UK5,2020-04-21,4,0,0,0
UK5,2020-04-21,4,0,0,0
UK5,2020-04-22,5,0,0,0
UK5,2020-04-22,5,0,0,0
UK5,2020-04-22,5,0,0,0
UK5,2020-04-22,5,0,0,0
UK5,2020-04-22,5,0,0,0
