Lineage name	England	Wales	Date range	Global lineage	Total
UK5	308 (100.0%)	0 (0%)	Mar-12, Aug-27	B.1.1	308 taxa
UK1205	124 (100.0%)	0 (0%)	Mar-30, Aug-09	B.1.1.1, B.1.1	124 taxa
UK2464	81 (100.0%)	0 (0%)	Mar-18, Jun-18	B.1, B.1.11	81 taxa
UK1951	73 (100.0%)	0 (0%)	Mar-22, Aug-09	B.1.1.1, B.1.1	73 taxa
UK1323	58 (100.0%)	0 (0%)	Mar-22, Jul-02	B.1.1	58 taxa
UK709	49 (100.0%)	0 (0%)	Apr-23, Jun-29	B.1.1	49 taxa
UK175	45 (100.0%)	0 (0%)	Mar-17, Jun-02	B.1, B.1.5	45 taxa
UK4	42 (100.0%)	0 (0%)	Mar-04, Apr-29	B	42 taxa
UK607	38 (100.0%)	0 (0%)	Mar-02, May-18	B, B.2	38 taxa
UK315	33 (100.0%)	0 (0%)	Mar-11, Apr-24	B.2.2	33 taxa
UK600	31 (100.0%)	0 (0%)	Mar-28, May-04	B.1.1	31 taxa
UK1307	29 (100.0%)	0 (0%)	Mar-17, May-01	B.1, B.1.34, B.1.5	29 taxa
UK107	28 (100.0%)	0 (0%)	Mar-16, Jun-02	B.2.1	28 taxa
UK1060	26 (100.0%)	0 (0%)	Mar-22, Apr-30	B.1.1	26 taxa
UK899	24 (100.0%)	0 (0%)	Mar-16, Apr-20	B.1.11, B.1.5	24 taxa
UK1271	21 (100.0%)	0 (0%)	May-30, Aug-13	B.1.1	21 taxa
UK1683	20 (100.0%)	0 (0%)	Apr-29, Aug-18	B.1.1.1, B.1.1	20 taxa
UK31	18 (100.0%)	0 (0%)	Mar-21, Jul-23	B.3	18 taxa
UK39	17 (100.0%)	0 (0%)	Apr-13, May-03	A.2	17 taxa
UK2022	17 (100.0%)	0 (0%)	Apr-02, Aug-09	B.1.1	17 taxa
UK199	15 (100.0%)	0 (0%)	Mar-23, Aug-09	B.1, B.1.5	15 taxa
UK5676	15 (100.0%)	0 (0%)	Mar-18, May-06	B.2	15 taxa
UK2916	14 (100.0%)	0 (0%)	Mar-25, Jun-29	B.1	14 taxa
UK352	12 (100.0%)	0 (0%)	Aug-05, Aug-09	B.1.113, B.1, B.1.36	12 taxa
UK266	11 (100.0%)	0 (0%)	Apr-06, Apr-30	B.1	11 taxa
UK72	10 (100.0%)	0 (0%)	Mar-18, May-05	B	10 taxa
UK945	8 (100.0%)	0 (0%)	Mar-28, Jun-10	B.1.1	8 taxa
UK336	8 (100.0%)	0 (0%)	Apr-05, Apr-24	B.1	8 taxa
UK267	8 (100.0%)	0 (0%)	Mar-24, Apr-11	B.2	8 taxa
UK384	7 (100.0%)	0 (0%)	Mar-14, Apr-18	B.2.1	7 taxa
UK1097	7 (100.0%)	0 (0%)	Aug-06, Aug-10	B.1	7 taxa
UK1535	7 (100.0%)	0 (0%)	Apr-04, Aug-14	B.1.1	7 taxa
UK331	7 (100.0%)	0 (0%)	Jul-04, Aug-09	B.1.36	7 taxa
UK719	7 (100.0%)	0 (0%)	Mar-31, Jun-10	B.1.1	7 taxa
UK2913	7 (100.0%)	0 (0%)	Mar-30, Jun-29	B.1, B.1.11	7 taxa
UK387	6 (100.0%)	0 (0%)	Mar-24, Jun-22	B.1	6 taxa
UK478	6 (100.0%)	0 (0%)	Apr-10, Jul-01	B.1, B.1.5	6 taxa
