Lineage,Days,England,Scotland,Wales,Northern Ireland
UK1535,2020-04-04,1,0,0,0
UK1535,2020-07-30,1,0,0,0
UK1535,2020-07-31,2,0,0,0
UK1535,2020-07-31,2,0,0,0
UK1535,2020-08-04,1,0,0,0
UK1535,2020-08-07,1,0,0,0
UK1535,2020-08-14,1,0,0,0
UK1683,2020-04-29,1,0,0,0
UK1683,2020-07-21,1,0,0,0
UK1683,2020-07-24,5,0,0,0
UK1683,2020-07-24,5,0,0,0
UK1683,2020-07-24,5,0,0,0
UK1683,2020-07-24,5,0,0,0
UK1683,2020-07-24,5,0,0,0
UK1683,2020-07-25,2,0,0,0
UK1683,2020-07-25,2,0,0,0
UK1683,2020-07-30,1,0,0,0
UK1683,2020-08-02,1,0,0,0
UK1683,2020-08-09,6,0,0,0
UK1683,2020-08-09,6,0,0,0
UK1683,2020-08-09,6,0,0,0
UK1683,2020-08-09,6,0,0,0
UK1683,2020-08-09,6,0,0,0
UK1683,2020-08-09,6,0,0,0
UK1683,2020-08-10,1,0,0,0
UK1683,2020-08-17,1,0,0,0
UK1683,2020-08-18,1,0,0,0
UK5,2020-03-12,3,0,0,0
UK5,2020-03-12,3,0,0,0
UK5,2020-03-12,3,0,0,0
UK5,2020-03-19,1,0,0,0
UK5,2020-03-25,2,0,0,0
UK5,2020-03-25,2,0,0,0
UK5,2020-03-26,2,0,0,0
UK5,2020-03-26,2,0,0,0
UK5,2020-03-28,5,0,0,0
UK5,2020-03-28,5,0,0,0
UK5,2020-03-28,5,0,0,0
UK5,2020-03-28,5,0,0,0
UK5,2020-03-28,5,0,0,0
UK5,2020-03-29,1,0,0,0
UK5,2020-03-30,2,0,0,0
UK5,2020-03-30,2,0,0,0
UK5,2020-03-31,1,0,0,0
UK5,2020-04-01,3,0,0,0
UK5,2020-04-01,3,0,0,0
UK5,2020-04-01,3,0,0,0
UK5,2020-04-02,3,0,0,0
UK5,2020-04-02,3,0,0,0
UK5,2020-04-02,3,0,0,0
UK5,2020-04-03,4,0,0,0
UK5,2020-04-03,4,0,0,0
UK5,2020-04-03,4,0,0,0
UK5,2020-04-03,4,0,0,0
UK5,2020-04-04,3,0,0,0
UK5,2020-04-04,3,0,0,0
