Name,oldest_sequence,newest_sequence,number_taxa
UK653,2020-04-07,2020-05-19,11
UK5,2020-03-17,2020-05-14,450
UK720,2020-04-09,2020-04-09,1
UK517,2020-04-05,2020-04-17,5
UK5741,2020-03-30,2020-05-03,5
UK42,2020-03-11,2020-04-25,12
UK107,2020-03-28,2020-04-16,13
UK585,2020-04-14,2020-04-21,2
UK370,2020-04-04,2020-04-27,15
UK5525,2020-04-16,2020-04-29,5
UK15,2020-03-30,2020-04-08,4
UK5561,2020-03-12,2020-04-15,8
UK276,2020-04-05,2020-05-01,9
UK72,2020-03-23,2020-04-24,7
UK77,2020-04-04,2020-04-12,3
UK397,2020-04-07,2020-04-17,5
UK533,2020-04-19,2020-05-05,5
UK523,2020-04-17,2020-04-17,1
UK109,2020-04-07,2020-05-06,17
UK1003,2020-04-02,2020-04-22,7
UK133,2020-04-06,2020-04-07,2
UK632,2020-04-22,2020-05-01,3
UK960,2020-04-19,2020-04-19,1
UK376,2020-04-05,2020-05-03,16
UK311,2020-05-04,2020-05-04,1
UK263,2020-03-30,2020-04-13,7
UK46,2020-03-31,2020-03-31,2
UK565,2020-05-04,2020-05-04,1
UK5180,2020-04-05,2020-05-04,7
UK616,2020-04-13,2020-04-23,2
UK2045,2020-04-17,2020-04-24,2
UK2913,2020-04-03,2020-05-01,7
UK167,2020-03-23,2020-04-24,12
UK921,2020-04-05,2020-05-02,3
UK2464,2020-04-05,2020-04-18,10
UK629,2020-04-08,2020-05-05,4
UK655,2020-03-28,2020-03-28,1
UK83,2020-04-02,2020-04-13,7
UK5648,2020-03-08,2020-03-30,2
UK51,2020-04-03,2020-04-08,4
UK355,2020-04-17,2020-04-17,1
UK272,2020-04-06,2020-04-10,2
UK5676,2020-03-17,2020-04-17,8
UK4237,2020-04-06,2020-04-19,4
UK328,2020-04-18,2020-04-18,1
UK61,2020-04-13,2020-04-13,1
UK64,2020-04-02,2020-04-15,8
UK506,2020-04-08,2020-04-22,3
UK5498,2020-03-17,2020-04-20,8
UK353,2020-04-19,2020-04-19,1
UK36,2020-04-05,2020-04-14,2
UK753,2020-04-13,2020-04-13,1
UK322,2020-04-13,2020-04-13,1
UK9,2020-04-04,2020-04-18,6
UK576,2020-04-16,2020-04-16,1
UK771,2020-04-08,2020-04-10,3
UK494,2020-04-06,2020-04-06,2
UK3493,2020-04-20,2020-04-20,1
UK522,2020-04-18,2020-04-18,1
UK371,2020-04-20,2020-04-20,1
UK672,2020-04-16,2020-04-16,1
UK763,2020-04-18,2020-04-18,1
UK63,2020-04-12,2020-04-16,2
UK199,2020-04-04,2020-04-14,3
UK5636,2020-04-12,2020-04-12,1
UK448,2020-04-12,2020-04-12,1
UK47,2020-04-06,2020-04-06,1
UK848,2020-04-07,2020-04-12,2
UK3027,2020-04-07,2020-04-07,1
UK805,2020-03-28,2020-03-28,1
UK618,2020-03-19,2020-03-19,1
UK18,2020-04-07,2020-04-07,1
UK4550,2020-04-05,2020-04-05,1
UK3031,2020-04-07,2020-04-07,1
UK3386,2020-04-07,2020-04-07,2
UK600,2020-04-10,2020-04-10,1
UK3172,2020-04-07,2020-04-07,1
UK595,2020-04-08,2020-04-08,1
UK701,2020-04-08,2020-04-08,1
UK127,2020-04-07,2020-04-07,1
UK31,2020-04-11,2020-04-11,1
UK326,2020-04-05,2020-04-06,2
UK317,2020-04-07,2020-04-07,1
UK3126,2020-04-06,2020-04-07,3
UK339,2020-04-07,2020-04-07,1
UK3052,2020-04-07,2020-04-07,1
UK467,2020-04-06,2020-04-06,1
UK215,2020-04-05,2020-04-05,1
UK439,2020-04-05,2020-04-05,1
UK153,2020-04-06,2020-04-06,1
UK1721,2020-04-05,2020-04-05,1
UK818,2020-03-24,2020-03-24,2
UK527,2020-03-23,2020-03-23,1
UK384,2020-03-23,2020-03-23,1
UK2735,2020-03-23,2020-03-23,1
UK497,2020-03-16,2020-03-16,1
