Lineage name	England	Date range	Global lineage	Total
UK5	340 (100.0%)	Mar-19, May-15	B.1.1, B.1.1.10	340 taxa
UK2039	127 (100.0%)	Mar-13, Jun-07	B.1.1	127 taxa
UK1951	44 (100.0%)	Mar-21, May-07	B.1.1.1, B.1.1	44 taxa
UK1542	41 (100.0%)	Mar-27, Apr-20	B.1.1	41 taxa
UK1278	33 (100.0%)	Mar-23, Jun-05	B.1.1	33 taxa
UK1717	30 (100.0%)	Apr-07, May-25	B.1.1	30 taxa
UK175	27 (100.0%)	Mar-30, May-01	B.1	27 taxa
UK902	23 (100.0%)	Apr-04, May-03	B.1.1	23 taxa
UK109	23 (100.0%)	Mar-20, May-06	B.1.99, B.1	23 taxa
UK107	21 (100.0%)	Mar-24, Apr-18	B.2, B.2.1	21 taxa
UK315	18 (100.0%)	Mar-12, Apr-15	B.2.2	18 taxa
UK1630	17 (100.0%)	Mar-20, Apr-30	B.1.1	17 taxa
UK263	14 (100.0%)	Mar-13, Apr-13	B.1	14 taxa
UK597	13 (100.0%)	Mar-25, Apr-26	B.1	13 taxa
UK9	13 (100.0%)	Apr-04, May-03	B.1.13, B.1	13 taxa
UK1157	13 (100.0%)	Apr-05, May-04	B.1.1.7	13 taxa
UK2464	12 (100.0%)	Apr-05, Apr-20	B.1	12 taxa
UK167	12 (100.0%)	Mar-17, Apr-25	B.1	12 taxa
UK387	12 (100.0%)	Mar-06, Apr-20	B.1.21, B.1	12 taxa
UK893	12 (100.0%)	Apr-02, Apr-15	B.1	12 taxa
UK962	11 (100.0%)	Apr-02, Apr-22	B.1.1	11 taxa
UK5498	11 (100.0%)	Mar-09, Apr-20	B.2	11 taxa
UK5741	11 (100.0%)	Mar-30, May-03	B.1	11 taxa
UK199	10 (100.0%)	Apr-03, Apr-28	B.1.5, B.1	10 taxa
UK629	10 (100.0%)	Apr-01, May-24	B.1	10 taxa
UK1126	10 (100.0%)	Mar-25, Apr-30	B.1.1	10 taxa
UK5676	9 (100.0%)	Mar-17, Apr-17	B.2	9 taxa
UK2913	9 (100.0%)	Mar-23, May-25	B.1.11, B.1	9 taxa
UK646	8 (100.0%)	Apr-02, Apr-15	B.1.1	8 taxa
UK1091	8 (100.0%)	Apr-07, Apr-27	B.1.1.2, B.1.1	8 taxa
UK72	8 (100.0%)	Mar-22, Apr-24	B	8 taxa
UK366	8 (100.0%)	Apr-11, Apr-24	B.1	8 taxa
UK1683	8 (100.0%)	Mar-17, Apr-30	B.1.1.1, B.1.1	8 taxa
UK968	8 (100.0%)	Apr-06, Jun-10	B.1.1	8 taxa
UK1153	8 (100.0%)	Apr-05, May-01	B.1.1	8 taxa
UK600	8 (100.0%)	Mar-11, Apr-08	B.1.1, B.1	8 taxa
UK619	7 (100.0%)	Apr-05, Apr-17	B.1.1	7 taxa
UK945	7 (100.0%)	Mar-25, Jun-06	B.1.1	7 taxa
UK5525	7 (100.0%)	Apr-16, Apr-29	B.1	7 taxa
UK1037	6 (100.0%)	Apr-05, May-01	B.1.1	6 taxa
