Lineage,Days,England,Scotland,Wales,Northern Ireland
UK42,2020-03-29,1,0,0,0
UK42,2020-04-05,1,0,0,0
UK42,2020-04-06,1,0,0,0
UK42,2020-04-07,2,0,0,0
UK42,2020-04-07,2,0,0,0
UK42,2020-04-08,1,0,0,0
UK376,2020-04-05,3,0,0,0
UK376,2020-04-05,3,0,0,0
UK376,2020-04-05,3,0,0,0
UK376,2020-04-07,2,0,0,0
UK376,2020-04-07,2,0,0,0
UK376,2020-04-08,2,0,0,0
UK376,2020-04-08,2,0,0,0
UK5498,2020-03-17,1,0,0,0
UK5498,2020-04-04,1,0,0,0
UK5498,2020-04-05,1,0,0,0
UK5498,2020-04-06,1,0,0,0
UK5498,2020-04-07,2,0,0,0
UK5498,2020-04-07,2,0,0,0
UK5498,2020-04-08,1,0,0,0
UK370,2020-04-04,1,0,0,0
UK370,2020-04-09,2,0,0,0
UK370,2020-04-09,2,0,0,0
UK370,2020-04-10,2,0,0,0
UK370,2020-04-10,2,0,0,0
UK370,2020-04-12,1,0,0,0
UK107,2020-04-05,1,0,0,0
UK107,2020-04-06,1,0,0,0
UK107,2020-04-07,2,0,0,0
UK107,2020-04-07,2,0,0,0
UK107,2020-04-08,1,0,0,0
UK107,2020-04-09,2,0,0,0
UK107,2020-04-09,2,0,0,0
UK107,2020-04-12,1,0,0,0
UK5,2020-03-17,1,0,0,0
UK5,2020-03-19,1,0,0,0
UK5,2020-03-20,1,0,0,0
UK5,2020-03-23,1,0,0,0
UK5,2020-03-24,1,0,0,0
UK5,2020-03-28,1,0,0,0
UK5,2020-03-29,3,0,0,0
UK5,2020-03-29,3,0,0,0
UK5,2020-03-29,3,0,0,0
UK5,2020-03-30,3,0,0,0
UK5,2020-03-30,3,0,0,0
UK5,2020-03-30,3,0,0,0
UK5,2020-04-01,2,0,0,0
UK5,2020-04-01,2,0,0,0
UK5,2020-04-02,1,0,0,0
UK5,2020-04-04,3,0,0,0
UK5,2020-04-04,3,0,0,0
UK5,2020-04-04,3,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
UK5,2020-04-05,30,0,0,0
