Name,oldest_sequence,newest_sequence,number_taxa
UK80,2020-06-17,2020-06-17,1
UK743,2020-02-24,2020-06-14,6
UK2200,2020-02-28,2020-06-06,23
UK597,2020-06-04,2020-06-04,1
UK52,2020-06-03,2020-06-03,1
UK4237,2020-04-14,2020-06-10,10
UK646,2020-06-03,2020-06-03,1
UK42,2020-02-24,2020-05-13,227
UK376,2020-03-11,2020-04-30,17
UK5,2020-02-16,2020-05-19,847
UK9,2020-03-09,2020-05-15,84
UK51,2020-04-20,2020-05-11,4
UK494,2020-03-26,2020-04-28,11
UK617,2020-04-09,2020-04-28,2
UK794,2020-04-30,2020-04-30,1
UK287,2020-03-28,2020-04-24,2
UK2464,2020-03-09,2020-05-04,50
UK107,2020-02-09,2020-05-07,600
UK2292,2020-04-28,2020-04-28,1
UK13,2020-04-08,2020-04-30,3
UK2908,2020-05-03,2020-05-03,1
UK5300,2020-05-04,2020-05-06,6
UK973,2020-05-14,2020-05-14,4
UK98,2020-03-24,2020-05-14,2
UK518,2020-03-23,2020-05-14,4
UK5745,2020-05-14,2020-05-14,1
UK15,2020-02-27,2020-05-06,72
UK204,2020-05-11,2020-05-11,1
UK5549,2020-03-04,2020-05-18,13
UK2735,2020-03-18,2020-05-13,32
UK5741,2020-03-09,2020-05-06,33
UK3126,2020-05-04,2020-05-04,3
UK248,2020-05-04,2020-05-04,1
UK5308,2020-05-01,2020-05-01,4
UK77,2020-03-11,2020-05-05,43
UK492,2020-03-27,2020-05-04,3
UK2073,2020-04-28,2020-04-28,1
UK620,2020-04-30,2020-04-30,1
UK632,2020-03-25,2020-05-01,13
UK240,2020-02-25,2020-05-01,22
UK5502,2020-04-28,2020-04-28,1
UK4125,2020-04-30,2020-04-30,1
UK63,2020-03-18,2020-05-04,45
UK2195,2020-04-29,2020-04-29,2
UK46,2020-03-02,2020-04-29,11
UK1867,2020-04-13,2020-04-30,3
UK2913,2020-03-07,2020-04-29,87
UK829,2020-03-03,2020-04-29,43
UK478,2020-03-20,2020-04-28,4
UK5498,2020-03-06,2020-04-28,9
UK28,2020-03-13,2020-04-29,3
UK66,2020-03-28,2020-04-28,10
UK509,2020-04-07,2020-04-21,2
UK61,2020-02-23,2020-04-21,33
UK749,2020-04-20,2020-04-27,2
UK340,2020-03-23,2020-04-27,3
UK1207,2020-03-30,2020-03-31,3
UK363,2020-04-13,2020-04-14,4
UK2028,2020-04-16,2020-04-16,3
UK335,2020-04-16,2020-04-16,1
UK268,2020-04-15,2020-04-16,3
UK27,2020-03-05,2020-04-14,5
UK3021,2020-03-12,2020-04-15,10
UK5180,2020-03-07,2020-04-19,23
UK339,2020-03-09,2020-04-19,29
UK404,2020-03-01,2020-04-12,18
UK3269,2020-04-08,2020-04-08,1
UK792,2020-04-08,2020-04-20,2
UK2888,2020-04-09,2020-04-09,3
UK203,2020-03-22,2020-04-19,2
UK199,2020-02-26,2020-04-20,40
UK275,2020-03-09,2020-04-21,20
UK759,2020-03-30,2020-04-04,3
UK99,2020-04-20,2020-04-20,2
UK38,2020-03-04,2020-04-20,7
UK65,2020-03-07,2020-04-17,5
UK3045,2020-04-15,2020-04-15,1
UK18,2020-03-11,2020-04-10,20
UK5676,2020-02-26,2020-04-13,120
UK6,2020-03-06,2020-04-20,7
UK94,2020-03-12,2020-04-19,26
UK377,2020-04-19,2020-04-19,1
UK470,2020-04-11,2020-04-19,4
UK71,2020-03-08,2020-04-17,3
UK454,2020-03-22,2020-04-13,5
UK401,2020-04-14,2020-04-14,1
UK131,2020-03-11,2020-04-08,6
UK5084,2020-04-13,2020-04-13,2
UK276,2020-03-19,2020-04-15,11
UK119,2020-03-11,2020-04-16,13
UK222,2020-03-26,2020-04-01,3
UK574,2020-03-31,2020-03-31,1
UK49,2020-03-12,2020-04-07,3
UK160,2020-04-03,2020-04-03,1
UK643,2020-03-24,2020-04-03,4
UK167,2020-03-06,2020-04-12,24
UK507,2020-03-20,2020-04-14,4
UK387,2020-03-13,2020-04-01,2
UK641,2020-04-05,2020-04-05,1
UK497,2020-03-29,2020-04-09,6
UK293,2020-03-13,2020-04-02,3
UK187,2020-03-31,2020-04-02,4
UK5561,2020-02-25,2020-04-03,33
UK644,2020-03-30,2020-03-30,1
UK72,2020-02-05,2020-04-14,100
UK93,2020-03-25,2020-03-25,1
UK5650,2020-03-08,2020-03-14,4
UK2906,2020-03-03,2020-03-25,14
UK370,2020-03-06,2020-04-09,19
