Lineage name	England	Date range	Global lineage	Total
UK5	787 (100.0%)	Feb-16, Aug-12	B.1.1.10, B.1.1	787 taxa
UK107	698 (100.0%)	Feb-09, May-11	B.2.1, B.2, B	698 taxa
UK175	231 (100.0%)	Feb-24, Jun-09	B.1.5, B.1.76, B.1, B.1.105	231 taxa
UK5676	132 (100.0%)	Feb-26, May-11	B.2.1, B.2, B.2.9	132 taxa
UK2916	126 (100.0%)	Feb-03, Apr-30	B.1	126 taxa
UK72	103 (100.0%)	Feb-05, Apr-11	B.2.1, B	103 taxa
UK9	90 (100.0%)	Mar-09, May-15	B.1.13, B.1	90 taxa
UK600	80 (100.0%)	Feb-29, May-06	B.1.1	80 taxa
UK2913	80 (100.0%)	Mar-07, Apr-20	B.1.5, B.1, B.1.11	80 taxa
UK917	53 (100.0%)	Mar-18, May-11	B.1.1	53 taxa
UK2464	48 (100.0%)	Mar-09, May-04	B.1	48 taxa
UK120	43 (100.0%)	Feb-27, Mar-27	B	43 taxa
UK829	43 (100.0%)	Mar-03, Apr-29	B.2.1, B.2	43 taxa
UK5741	41 (100.0%)	Mar-12, May-11	B.1	41 taxa
UK1951	41 (100.0%)	Mar-09, May-09	B.1.1.1	41 taxa
UK199	39 (100.0%)	Feb-26, Jun-18	B.1.5, B.1	39 taxa
UK4	38 (100.0%)	Feb-28, Mar-31	B.2, B	38 taxa
UK491	37 (100.0%)	Mar-11, May-19	B.2.1, B.2, B.2.4, B	37 taxa
UK215	34 (100.0%)	Mar-12, Apr-19	B.2.1	34 taxa
UK945	33 (100.0%)	Mar-18, May-29	B.1.1	33 taxa
UK1205	31 (100.0%)	Mar-03, Jul-04	B.1.1.1	31 taxa
UK315	30 (100.0%)	Feb-25, Apr-19	B.2.1, B.2.2	30 taxa
UK5498	29 (100.0%)	Mar-06, Jun-20	B.2	29 taxa
UK59	27 (100.0%)	Feb-23, Apr-07	B.3	27 taxa
UK1274	27 (100.0%)	Jun-22, Jul-12	B.1.1	27 taxa
UK384	26 (100.0%)	Feb-28, Apr-20	B.2.1	26 taxa
UK1157	25 (100.0%)	Mar-07, Apr-25	B.1.1.7, B.1.1	25 taxa
UK2200	25 (100.0%)	Feb-28, Jun-20	B.1.5, B.1.35, B.1	25 taxa
UK1060	24 (100.0%)	Mar-03, May-11	B.1.1	24 taxa
UK55	23 (100.0%)	Mar-10, Apr-17	B.3	23 taxa
UK2068	23 (100.0%)	Mar-26, Aug-05	B.1.1.4, B.1.1	23 taxa
UK619	23 (100.0%)	Mar-02, Apr-15	B.1.1	23 taxa
UK1158	23 (100.0%)	Mar-11, Apr-10	B.1.1.7, B.1.1	23 taxa
UK515	22 (100.0%)	Mar-01, Apr-12	B.1	22 taxa
UK275	21 (100.0%)	Mar-09, Apr-21	B.1.13, B.1	21 taxa
UK902	20 (100.0%)	Mar-11, Apr-30	B.1.1	20 taxa
UK1126	20 (100.0%)	Mar-11, May-01	B.1.1	20 taxa
UK167	19 (100.0%)	Mar-12, Apr-07	B.1, B.1.117	19 taxa
UK402	19 (100.0%)	Mar-01, Mar-26	B.1	19 taxa
UK267	18 (100.0%)	Feb-25, May-05	B.2.1, B.2, B	18 taxa
UK31	18 (100.0%)	Mar-12, Apr-19	B.3	18 taxa
UK37	17 (100.0%)	Mar-18, Apr-02	B.1, B.1.30	17 taxa
UK360	17 (100.0%)	Mar-04, May-18	B.2.1, B.2.2	17 taxa
UK678	16 (100.0%)	Mar-12, Apr-09	B.1.1	16 taxa
UK1683	16 (100.0%)	Mar-18, Apr-28	B.1.1.1	16 taxa
UK12	16 (100.0%)	Mar-11, Apr-15	B.1, B.1.11, B.1.88	16 taxa
UK241	16 (100.0%)	Mar-25, Apr-07	B.1.5.3, B.1.5	16 taxa
UK274	15 (100.0%)	Mar-06, Apr-02	B.3	15 taxa
UK46	15 (100.0%)	Mar-02, Apr-29	B.2.1, B.2	15 taxa
UK119	15 (100.0%)	Mar-11, Apr-16	B.2, B	15 taxa
UK2906	14 (100.0%)	Mar-06, Apr-08	B.1	14 taxa
UK1535	13 (100.0%)	Mar-02, May-01	B.1.1.3, B.1.1	13 taxa
UK899	13 (100.0%)	Mar-12, Apr-29	B.1, B.1.11	13 taxa
UK740	13 (100.0%)	Mar-28, Apr-28	B.1.1	13 taxa
UK1282	13 (100.0%)	Mar-15, Mar-31	B.1.1	13 taxa
UK34	12 (100.0%)	Feb-27, Mar-06	B.2.1, B.4	12 taxa
UK1153	12 (100.0%)	Mar-24, May-04	B.1.1	12 taxa
UK387	12 (100.0%)	Mar-09, May-18	B.1, B.1.11	12 taxa
UK968	12 (100.0%)	Apr-14, Jun-10	B.1.1	12 taxa
UK494	12 (100.0%)	Mar-26, Apr-28	B.1.5, B.1.104	12 taxa
UK1263	11 (100.0%)	Mar-09, Apr-14	B.1.1	11 taxa
UK893	11 (100.0%)	Mar-12, Apr-17	B.1.5, B.1	11 taxa
