Lineage,Days,England,Scotland,Wales,Northern Ireland
UK2200,2020-02-28,1,0,0,0
UK2200,2020-04-18,3,0,0,0
UK2200,2020-04-18,3,0,0,0
UK2200,2020-04-18,3,0,0,0
UK2200,2020-04-22,1,0,0,0
UK2200,2020-04-23,1,0,0,0
UK2200,2020-04-27,1,0,0,0
UK2200,2020-04-28,1,0,0,0
UK2200,2020-04-29,2,0,0,0
UK2200,2020-04-29,2,0,0,0
UK2200,2020-04-30,3,0,0,0
UK2200,2020-04-30,3,0,0,0
UK2200,2020-04-30,3,0,0,0
UK2200,2020-05-04,1,0,0,0
UK2200,2020-06-04,3,0,0,0
UK2200,2020-06-04,3,0,0,0
UK2200,2020-06-04,3,0,0,0
UK2200,2020-06-05,2,0,0,0
UK2200,2020-06-05,2,0,0,0
UK2200,2020-06-06,4,0,0,0
UK2200,2020-06-06,4,0,0,0
UK2200,2020-06-06,4,0,0,0
UK2200,2020-06-06,4,0,0,0
UK4237,2020-04-14,1,0,0,0
UK4237,2020-04-15,6,0,0,0
UK4237,2020-04-15,6,0,0,0
UK4237,2020-04-15,6,0,0,0
UK4237,2020-04-15,6,0,0,0
UK4237,2020-04-15,6,0,0,0
UK4237,2020-04-15,6,0,0,0
UK4237,2020-04-18,1,0,0,0
UK4237,2020-06-03,1,0,0,0
UK4237,2020-06-10,1,0,0,0
UK743,2020-02-24,1,0,0,0
UK743,2020-06-02,2,0,0,0
UK743,2020-06-02,2,0,0,0
UK743,2020-06-08,1,0,0,0
UK743,2020-06-09,1,0,0,0
UK743,2020-06-14,1,0,0,0
