Name,oldest_sequence,newest_sequence,number_taxa
UK5,2020-03-01,2020-06-27,1168
UK3045,2020-05-15,2020-06-28,14
UK2735,2020-03-27,2020-05-31,76
UK202,2020-04-24,2020-05-19,14
UK632,2020-03-25,2020-06-09,232
UK86,2020-03-30,2020-05-30,61
UK822,2020-04-14,2020-06-11,102
UK42,2020-02-27,2020-06-06,368
UK495,2020-04-01,2020-06-03,124
UK5322,2020-04-08,2020-06-04,86
UK3021,2020-03-29,2020-06-09,225
UK2916,2020-03-25,2020-06-01,54
UK61,2020-03-08,2020-05-27,419
UK479,2020-04-07,2020-06-12,28
UK116,2020-05-08,2020-06-02,16
UK5741,2020-03-17,2020-06-02,104
UK716,2020-05-25,2020-05-25,1
UK567,2020-03-30,2020-05-15,20
UK605,2020-03-17,2020-05-22,79
UK2200,2020-03-15,2020-04-30,35
UK515,2020-04-22,2020-04-22,1
UK107,2020-03-14,2020-04-23,61
UK600,2020-04-01,2020-05-26,22
UK206,2020-04-02,2020-05-20,19
UK109,2020-03-15,2020-05-19,35
UK27,2020-03-07,2020-05-21,4
UK89,2020-04-10,2020-05-28,12
UK660,2020-04-07,2020-05-31,3
UK542,2020-05-18,2020-05-21,2
UK199,2020-03-18,2020-05-14,55
UK669,2020-05-22,2020-05-22,1
UK195,2020-06-03,2020-06-03,1
UK167,2020-03-25,2020-05-19,21
UK5538,2020-05-02,2020-05-28,2
UK187,2020-03-30,2020-04-30,29
UK710,2020-05-08,2020-05-08,1
UK370,2020-03-19,2020-04-27,50
UK5561,2020-03-18,2020-05-24,23
UK2913,2020-03-16,2020-05-24,18
UK489,2020-04-23,2020-05-06,4
UK735,2020-04-18,2020-05-07,5
UK338,2020-03-29,2020-04-25,3
UK2078,2020-04-23,2020-05-05,2
UK696,2020-04-10,2020-05-01,8
UK5180,2020-03-17,2020-04-29,4
UK364,2020-04-04,2020-05-14,4
UK558,2020-05-08,2020-05-08,1
UK64,2020-03-25,2020-05-05,12
UK2464,2020-03-26,2020-05-11,78
UK327,2020-04-05,2020-05-05,10
UK305,2020-03-31,2020-04-23,2
UK77,2020-04-02,2020-04-20,4
UK114,2020-05-23,2020-05-23,1
UK421,2020-05-15,2020-05-15,1
UK5736,2020-05-04,2020-05-10,2
UK5641,2020-05-14,2020-05-14,1
UK705,2020-04-22,2020-04-22,1
UK339,2020-03-26,2020-04-11,4
UK15,2020-03-17,2020-04-13,11
UK72,2020-03-11,2020-04-17,15
UK5676,2020-03-15,2020-05-01,54
UK317,2020-03-19,2020-04-20,12
UK184,2020-03-27,2020-03-31,4
UK436,2020-03-30,2020-03-30,1
UK5836,2020-03-27,2020-03-27,1
UK91,2020-04-01,2020-04-01,1
