Lineage name	Wales	Date range	Global lineage	Total
UK5	934 (100.0%)	Mar-17, Sep-05	B.1.1.10, B.1.1.30, B.1.1.2, B.1.1.16, B.1.1.21, B.1.1	934 taxa
UK61	553 (100.0%)	Mar-08, Aug-03	B.3, B, B.6	553 taxa
UK175	540 (100.0%)	Feb-27, Jun-27	B.1.71, B.1.35, B.1.5, B.1	540 taxa
UK1091	530 (100.0%)	Mar-20, Jul-15	B.1.1.2, B.1.1	530 taxa
UK1037	381 (100.0%)	Mar-25, Aug-19	B.1.1.30, B.1.1	381 taxa
UK699	309 (100.0%)	Mar-24, Jun-25	B.1.5, B.1, B.1.5.9	309 taxa
UK5741	165 (100.0%)	Mar-17, Jun-19	B.1.44, B.1.35, B.1.122, B.1, B.1.5	165 taxa
UK822	146 (100.0%)	Apr-14, Jun-30	B.1.120, B.1	146 taxa
UK1133	127 (100.0%)	Apr-08, Jun-12	B.1.1, B.1.1.29	127 taxa
UK1683	105 (100.0%)	Mar-12, Jun-01	B.1.1, B.1.1.1	105 taxa
UK992	103 (100.0%)	Mar-28, Jun-18	B.1.11, B.1	103 taxa
UK2464	102 (100.0%)	Mar-17, May-11	B.1	102 taxa
UK1076	95 (100.0%)	Mar-17, Jul-28	B.1.1	95 taxa
UK1119	86 (100.0%)	Apr-07, Jun-30	B.1.1	86 taxa
UK2916	84 (100.0%)	Mar-13, Aug-11	B.1, B.1.98	84 taxa
UK1951	81 (100.0%)	Mar-18, Jun-19	B.1.1, B.1.1.1	81 taxa
UK107	75 (100.0%)	Mar-17, May-28	B.2.1, B.2	75 taxa
UK5676	72 (100.0%)	Mar-15, May-06	B.2	72 taxa
UK805	68 (100.0%)	May-14, Jul-21	B.1.1	68 taxa
UK1065	66 (100.0%)	Apr-04, Jul-02	B.1.1	66 taxa
UK2067	65 (100.0%)	Mar-23, May-31	B.1.1	65 taxa
UK199	65 (100.0%)	Mar-17, May-21	B.1.5, B.1	65 taxa
UK356	58 (100.0%)	Apr-07, Jul-13	B.1, B.1.11	58 taxa
UK1186	55 (100.0%)	Aug-18, Sep-07	B.1.79, B.1	55 taxa
UK692	48 (100.0%)	Apr-23, Jun-08	B.1.35, B.1.5, B.1	48 taxa
UK719	45 (100.0%)	Mar-25, May-29	B.1.1, B.1.1.10	45 taxa
UK109	42 (100.0%)	Mar-15, May-19	B.1.99, B.1	42 taxa
UK86	39 (100.0%)	Mar-24, May-28	B.1	39 taxa
UK1205	38 (100.0%)	Mar-04, Aug-25	B.1.1, B.1.1.1	38 taxa
UK945	38 (100.0%)	Mar-23, Jun-15	B.1.1	38 taxa
UK1060	36 (100.0%)	Mar-12, Aug-09	B.1.1	36 taxa
UK1913	35 (100.0%)	Apr-03, May-14	B.1.1	35 taxa
UK187	34 (100.0%)	Mar-30, Apr-30	B.1	34 taxa
UK597	34 (100.0%)	Mar-27, Jun-25	B.1.35, B.1.5, B.1	34 taxa
UK167	32 (100.0%)	Mar-24, Jun-04	B.1	32 taxa
UK336	30 (100.0%)	Mar-29, Jun-02	B.1	30 taxa
UK387	29 (100.0%)	Mar-15, May-29	B.1	29 taxa
UK345	28 (100.0%)	Mar-30, May-15	B.2.2	28 taxa
UK2913	28 (100.0%)	Mar-16, May-24	B.1, B.1.11	28 taxa
UK1487	27 (100.0%)	Mar-24, May-07	B.1.5, B.1	27 taxa
UK315	27 (100.0%)	Mar-16, Apr-30	B.2.2, B.2	27 taxa
UK2200	26 (100.0%)	Mar-15, Aug-26	B.1.5.6, B.1.5, B.1	26 taxa
UK59	26 (100.0%)	Mar-14, Apr-14	B.3	26 taxa
UK607	25 (100.0%)	Mar-11, Apr-24	B	25 taxa
UK695	22 (100.0%)	Mar-25, Apr-12	B.1.67, B.1	22 taxa
UK1026	21 (100.0%)	Mar-28, May-14	B.1.1	21 taxa
UK508	21 (100.0%)	Mar-19, Apr-19	B.1.35, B.1, B.1.5.6	21 taxa
UK72	21 (100.0%)	Mar-11, Apr-17	B.2.1, B	21 taxa
UK1235	19 (100.0%)	Mar-30, May-07	B.1.1	19 taxa
UK1044	17 (100.0%)	Mar-24, May-01	B.1.5, B.1	17 taxa
UK151	17 (100.0%)	Mar-19, Apr-20	B.3	17 taxa
UK1323	16 (100.0%)	Apr-10, Jun-20	B.1.1	16 taxa
