Name,oldest_sequence,newest_sequence,number_taxa
UK2068,2020-03-28,2020-05-05,28
UK1126,2020-03-23,2020-04-22,12
UK917,2020-03-27,2020-04-13,3
UK928,2020-03-20,2020-05-09,50
UK247,2020-04-13,2020-04-23,3
UK5,2020-03-21,2020-08-18,115
UK107,2020-03-17,2020-06-08,86
UK387,2020-03-21,2020-05-01,12
UK1630,2020-04-15,2020-04-27,2
UK199,2020-04-17,2020-05-07,4
UK1951,2020-03-25,2020-04-25,7
UK1278,2020-03-24,2020-05-29,46
UK1219,2020-04-01,2020-05-14,19
UK218,2020-03-21,2020-06-02,29
UK1155,2020-04-17,2020-04-17,1
UK1124,2020-04-16,2020-04-16,1
UK2055,2020-04-17,2020-04-17,1
UK893,2020-04-16,2020-04-16,1
UK1967,2020-03-31,2020-04-14,2
UK487,2020-04-11,2020-04-11,1
UK738,2020-03-18,2020-06-07,15
UK1029,2020-04-04,2020-04-15,3
UK1452,2020-08-18,2020-08-18,1
UK1344,2020-04-11,2020-04-11,1
UK1542,2020-04-10,2020-04-10,1
UK167,2020-03-20,2020-05-31,11
UK1588,2020-04-17,2020-04-17,1
UK2906,2020-03-21,2020-04-11,5
UK1898,2020-04-11,2020-04-11,1
UK1060,2020-03-20,2020-05-17,12
UK175,2020-04-01,2020-08-05,4
UK2045,2020-04-03,2020-05-09,18
UK86,2020-04-10,2020-04-10,1
UK1626,2020-04-15,2020-04-15,1
UK1559,2020-03-20,2020-04-23,9
UK1412,2020-03-25,2020-03-25,1
UK31,2020-03-19,2020-04-12,4
UK374,2020-03-26,2020-03-26,1
UK678,2020-03-19,2020-03-19,1
UK2464,2020-03-18,2020-05-27,37
UK401,2020-04-04,2020-05-10,2
UK1822,2020-04-10,2020-06-08,4
UK1920,2020-04-04,2020-04-04,1
UK646,2020-03-30,2020-04-04,2
UK499,2020-03-19,2020-04-03,2
UK5676,2020-03-28,2020-04-04,3
UK72,2020-03-17,2020-04-02,7
UK706,2020-03-27,2020-03-27,1
UK151,2020-03-28,2020-03-28,1
UK2039,2020-03-31,2020-06-09,14
UK573,2020-03-17,2020-04-07,3
UK607,2020-03-18,2020-03-18,1
UK732,2020-04-03,2020-04-03,1
UK1497,2020-04-10,2020-04-10,1
UK1157,2020-04-02,2020-05-07,4
UK968,2020-04-12,2020-04-21,2
UK902,2020-04-04,2020-04-04,1
UK1850,2020-04-21,2020-07-24,2
UK109,2020-04-26,2020-07-24,4
UK1349,2020-04-22,2020-05-15,2
UK2916,2020-03-31,2020-04-22,3
UK719,2020-04-03,2020-04-10,3
UK597,2020-04-06,2020-06-05,3
UK844,2020-04-28,2020-04-28,1
UK1153,2020-03-22,2020-04-07,3
UK2913,2020-04-01,2020-04-02,2
UK299,2020-03-25,2020-04-03,2
UK945,2020-03-25,2020-03-25,1
UK609,2020-03-23,2020-04-02,3
UK5498,2020-04-12,2020-04-12,1
UK1884,2020-04-21,2020-05-12,2
UK1585,2020-04-23,2020-04-23,1
UK1515,2020-04-04,2020-04-04,1
UK829,2020-04-03,2020-04-03,1
UK2044,2020-04-02,2020-04-02,1
UK811,2020-04-02,2020-04-02,1
UK897,2020-04-06,2020-04-06,1
UK434,2020-04-05,2020-04-05,1
UK1228,2020-04-05,2020-04-05,1
UK1233,2020-04-02,2020-04-02,1
UK385,2020-04-02,2020-04-02,1
UK568,2020-04-02,2020-04-02,1
UK610,2020-04-02,2020-04-02,1
UK38,2020-04-03,2020-04-03,1
UK1076,2020-04-03,2020-04-03,1
UK1053,2020-04-02,2020-04-02,1
UK230,2020-04-07,2020-04-07,1
UK1323,2020-05-20,2020-05-20,1
UK240,2020-05-15,2020-05-15,1
UK445,2020-04-20,2020-04-20,1
UK1010,2020-04-20,2020-04-20,1
UK1830,2020-04-23,2020-04-23,1
UK12,2020-03-31,2020-03-31,1
UK1301,2020-06-09,2020-06-09,1
UK1647,2020-05-01,2020-05-01,1
UK787,2020-05-01,2020-05-01,1
UK297,2020-05-05,2020-05-05,1
UK1535,2020-05-02,2020-05-02,1
UK2098,2020-05-09,2020-05-09,1
UK1527,2020-05-06,2020-05-06,1
UK1759,2020-05-11,2020-05-11,1
UK2025,2020-05-07,2020-05-07,1
UK1439,2020-04-25,2020-04-25,1
