Lineage name	Scotland	England	Northern Ireland	Wales	Date range	Global lineage	Total
UK5	166 (2.7%)	5393 (87.83%)	559 (9.1%)	22 (0.36%)	Mar-01, Aug-29	B.1.1.12, B.1.1.13, B.1.1.1, B.1.1, B.1.1.10	6140 taxa
UK1951	25 (2.72%)	883 (96.19%)	2 (0.22%)	8 (0.87%)	Mar-12, Aug-20	B.1.1.1, B.1.1	918 taxa
UK175	148 (19.45%)	592 (77.79%)	14 (1.84%)	7 (0.92%)	Mar-03, Aug-21	B.1.79, B.1, B.1.13, B.1.93, B.1.81, B.1.88, B.1.5, B.1.105, B.1.77, B.1.11, B.1.76, B.1.35, B.1.71	761 taxa
UK1271	0 (0%)	638 (99.38%)	0 (0%)	4 (0.62%)	Apr-08, Aug-26	B.1.1	642 taxa
UK1205	0 (0%)	585 (99.66%)	2 (0.34%)	0 (0%)	Mar-04, Aug-21	B.1.1.1, B.1.1	587 taxa
UK107	16 (3.04%)	496 (94.3%)	14 (2.66%)	0 (0%)	Mar-08, Jul-03	B.2, B.2.1	526 taxa
UK109	67 (13.11%)	434 (84.93%)	9 (1.76%)	1 (0.2%)	Mar-14, Aug-18	B.1.79, B.1.100, B.1.99, B.1.5, B.1.77, B.1	511 taxa
UK1855	5 (1.18%)	272 (64.15%)	147 (34.67%)	0 (0%)	Apr-20, Aug-26	B.1.1.3, B.1.1	424 taxa
UK1683	24 (5.84%)	377 (91.73%)	9 (2.19%)	1 (0.24%)	Mar-25, Aug-21	B.1.1.1, B.1.1	411 taxa
UK2068	16 (4.29%)	356 (95.44%)	1 (0.27%)	0 (0%)	Mar-31, Aug-18	B.1.1.4, B.1.1	373 taxa
UK199	50 (14.04%)	304 (85.39%)	1 (0.28%)	1 (0.28%)	Mar-10, Aug-26	B.1.104, B.1, B.1.5, B.1.5.10	356 taxa
UK1195	259 (80.19%)	53 (16.41%)	0 (0%)	11 (3.41%)	Apr-17, Aug-30	B.1.1.25, B.1.1	323 taxa
UK1535	4 (1.3%)	114 (37.01%)	190 (61.69%)	0 (0%)	Mar-18, Aug-26	B.1.1.3, B.1.1	308 taxa
UK1145	5 (1.67%)	294 (98.33%)	0 (0%)	0 (0%)	Mar-24, Aug-26	B.1.1	299 taxa
UK2913	28 (9.52%)	247 (84.01%)	19 (6.46%)	0 (0%)	Mar-11, Jul-15	B.1.11, B.1.13, B.1	294 taxa
UK336	232 (85.29%)	37 (13.6%)	3 (1.1%)	0 (0%)	Mar-19, Jun-17	B.1, B.1.77, B.1.93	272 taxa
UK2464	90 (37.19%)	152 (62.81%)	0 (0%)	0 (0%)	Mar-12, Jun-29	B.1.11, B.1.90, B.1, B.1.81	242 taxa
UK1037	1 (0.41%)	210 (87.14%)	0 (0%)	30 (12.45%)	Mar-25, Aug-18	B.1.1.30, B.1.1	241 taxa
UK1153	2 (0.87%)	226 (98.69%)	1 (0.44%)	0 (0%)	Mar-18, Aug-21	B.1.1	229 taxa
UK167	20 (8.73%)	183 (79.91%)	26 (11.35%)	0 (0%)	Mar-11, Jul-15	B.1.5, B.1, B.1.117, B.1.2	229 taxa
UK5676	65 (29.82%)	153 (70.18%)	0 (0%)	0 (0%)	Feb-26, Jun-15	B.2.9, B.2	218 taxa
UK698	3 (1.4%)	209 (97.66%)	1 (0.47%)	1 (0.47%)	Mar-25, Aug-26	B.1.1	214 taxa
UK1211	163 (82.32%)	34 (17.17%)	1 (0.51%)	0 (0%)	Jun-01, Aug-29	B.1.1	198 taxa
UK2916	11 (5.73%)	180 (93.75%)	1 (0.52%)	0 (0%)	Feb-27, Jul-17	B.1.11, B.1, B.1.98	192 taxa
UK945	16 (8.51%)	155 (82.45%)	15 (7.98%)	2 (1.06%)	Mar-17, Aug-30	B.1.1.28, B.1.1	188 taxa
UK1278	0 (0%)	154 (100.0%)	0 (0%)	0 (0%)	Mar-23, Jul-27	B.1.1	154 taxa
UK9	0 (0%)	151 (100.0%)	0 (0%)	0 (0%)	Mar-12, May-18	B.1.13, B.1, B.1.5	151 taxa
UK494	0 (0%)	142 (100.0%)	0 (0%)	0 (0%)	Mar-21, Jul-16	B.1.11, B.1.104, B.1	142 taxa
UK72	6 (4.32%)	130 (93.53%)	3 (2.16%)	0 (0%)	Mar-03, May-22	B, B.2	139 taxa
UK5741	1 (0.78%)	127 (99.22%)	0 (0%)	0 (0%)	Mar-11, Jul-15	B.1, B.1.5	128 taxa
UK312	49 (39.2%)	67 (53.6%)	6 (4.8%)	3 (2.4%)	Jul-21, Aug-27	B.1	125 taxa
UK740	3 (2.46%)	119 (97.54%)	0 (0%)	0 (0%)	Mar-18, Jun-13	B.1.1	122 taxa
UK1076	20 (18.02%)	83 (74.77%)	7 (6.31%)	1 (0.9%)	Mar-20, Aug-22	B.1.1	111 taxa
UK1684	15 (13.89%)	93 (86.11%)	0 (0%)	0 (0%)	Mar-21, Jul-04	B.1.1.1, B.1.1	108 taxa
UK847	9 (8.41%)	86 (80.37%)	10 (9.35%)	2 (1.87%)	Apr-06, Aug-29	B.1, B.1.36	107 taxa
UK1186	29 (27.36%)	51 (48.11%)	10 (9.43%)	16 (15.09%)	Aug-03, Aug-30	B.1.79, B.1	106 taxa
UK2022	1 (0.95%)	103 (98.1%)	1 (0.95%)	0 (0%)	Jun-09, Aug-27	B.1.1	105 taxa
UK1126	2 (1.98%)	99 (98.02%)	0 (0%)	0 (0%)	Mar-22, Aug-17	B.1.1	101 taxa
UK267	17 (17.71%)	79 (82.29%)	0 (0%)	0 (0%)	Mar-12, Jul-15	B, B.2	96 taxa
UK5498	5 (5.43%)	87 (94.57%)	0 (0%)	0 (0%)	Mar-14, Jul-19	B.2	92 taxa
UK1060	17 (18.68%)	71 (78.02%)	3 (3.3%)	0 (0%)	Mar-10, Aug-14	B.1.1.1, B.1.1	91 taxa
UK2200	7 (7.78%)	75 (83.33%)	3 (3.33%)	5 (5.56%)	Mar-17, Aug-26	B.1, B.1.5	90 taxa
UK1065	0 (0%)	21 (24.14%)	0 (0%)	66 (75.86%)	Jun-02, Jul-22	B.1.1	87 taxa
UK678	2 (2.41%)	81 (97.59%)	0 (0%)	0 (0%)	Mar-21, Aug-14	B.1.1	83 taxa
UK1152	54 (67.5%)	22 (27.5%)	4 (5.0%)	0 (0%)	Jul-16, Aug-21	B.1.1	80 taxa
UK719	17 (22.08%)	58 (75.32%)	1 (1.3%)	1 (1.3%)	Mar-20, Aug-20	B.1.1	77 taxa
UK917	2 (2.63%)	74 (97.37%)	0 (0%)	0 (0%)	Mar-15, Jun-18	B.1.1	76 taxa
UK40	72 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-07	B, B.16, B.2	72 taxa
UK1323	0 (0%)	72 (100.0%)	0 (0%)	0 (0%)	Mar-21, Aug-19	B.1.1	72 taxa
UK461	3 (4.35%)	50 (72.46%)	15 (21.74%)	1 (1.45%)	Aug-02, Aug-26	B.1	69 taxa
UK510	1 (1.47%)	66 (97.06%)	1 (1.47%)	0 (0%)	Jul-18, Aug-26	B.1.106, B.1	68 taxa
UK600	6 (8.82%)	61 (89.71%)	1 (1.47%)	0 (0%)	Mar-01, Jun-21	B.1, B.1.1	68 taxa
UK315	4 (5.88%)	64 (94.12%)	0 (0%)	0 (0%)	Mar-05, Aug-02	B.2.2, B.2	68 taxa
UK1297	0 (0%)	67 (100.0%)	0 (0%)	0 (0%)	Apr-16, Jun-11	B.1	67 taxa
UK51	2 (3.03%)	64 (96.97%)	0 (0%)	0 (0%)	Mar-26, Jul-15	B.1, B.1.36	66 taxa
UK387	8 (12.5%)	53 (82.81%)	3 (4.69%)	0 (0%)	Mar-11, Jul-31	B.1, B.1.77, B.1.5	64 taxa
UK1215	0 (0%)	64 (100.0%)	0 (0%)	0 (0%)	Mar-16, Jun-10	B.1.1.1, B.1.1	64 taxa
UK1904	0 (0%)	61 (100.0%)	0 (0%)	0 (0%)	May-05, Aug-18	B.1.1	61 taxa
UK596	0 (0%)	56 (100.0%)	0 (0%)	0 (0%)	Mar-16, Apr-24	B.1.5, B.1, B.1.72	56 taxa
UK1157	0 (0%)	52 (94.55%)	3 (5.45%)	0 (0%)	Mar-13, Jul-23	B.1.1.7, B.1.1	55 taxa
UK1091	0 (0%)	49 (89.09%)	0 (0%)	6 (10.91%)	Mar-13, Jun-21	B.1.1.2, B.1.1	55 taxa
UK800	10 (18.52%)	39 (72.22%)	5 (9.26%)	0 (0%)	Jul-15, Aug-30	B.1	54 taxa
UK1155	0 (0%)	53 (98.15%)	0 (0%)	1 (1.85%)	Mar-11, Jun-21	B.1.1	54 taxa
UK369	1 (1.89%)	52 (98.11%)	0 (0%)	0 (0%)	Jun-12, Aug-21	B.1, B.1.113	53 taxa
UK61	0 (0%)	52 (100.0%)	0 (0%)	0 (0%)	Mar-12, Jun-18	B.3	52 taxa
UK1051	0 (0%)	50 (100.0%)	0 (0%)	0 (0%)	Mar-30, Jul-25	B.1.1	50 taxa
UK528	3 (6.12%)	39 (79.59%)	5 (10.2%)	2 (4.08%)	Jul-22, Aug-26	B.1	49 taxa
UK1800	0 (0%)	46 (97.87%)	0 (0%)	1 (2.13%)	Apr-16, Aug-17	B.1.1	47 taxa
UK718	0 (0%)	47 (100.0%)	0 (0%)	0 (0%)	Jun-22, Aug-26	B.1.1	47 taxa
UK1212	6 (13.04%)	39 (84.78%)	1 (2.17%)	0 (0%)	Mar-23, Jul-04	B.1.1	46 taxa
UK669	3 (6.52%)	43 (93.48%)	0 (0%)	0 (0%)	Mar-17, Aug-03	B.1.1	46 taxa
UK352	3 (6.52%)	43 (93.48%)	0 (0%)	0 (0%)	Jul-05, Aug-26	B.1, B.1.113	46 taxa
UK1225	1 (2.27%)	43 (97.73%)	0 (0%)	0 (0%)	Apr-28, Aug-21	B.1.1.1, B.1.1	44 taxa
UK4	1 (2.33%)	41 (95.35%)	1 (2.33%)	0 (0%)	Mar-11, Apr-25	B	43 taxa
UK39	43 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, May-14	A.2	43 taxa
UK31	0 (0%)	42 (100.0%)	0 (0%)	0 (0%)	Mar-10, May-17	B.3	42 taxa
UK501	6 (14.29%)	35 (83.33%)	0 (0%)	1 (2.38%)	Mar-12, Aug-20	B.1	42 taxa
UK357	0 (0%)	42 (100.0%)	0 (0%)	0 (0%)	Jun-01, Aug-17	B.1	42 taxa
UK254	2 (4.88%)	36 (87.8%)	0 (0%)	3 (7.32%)	Aug-03, Aug-26	B.1	41 taxa
UK597	1 (2.44%)	37 (90.24%)	2 (4.88%)	1 (2.44%)	Apr-06, Aug-21	B.1, B.1.117, B.1.5	41 taxa
UK1119	0 (0%)	4 (10.26%)	0 (0%)	35 (89.74%)	Apr-04, Jul-16	B.1.1	39 taxa
UK37	0 (0%)	38 (100.0%)	0 (0%)	0 (0%)	Mar-17, May-04	B.1, B.1.30, B.1.5	38 taxa
UK601	5 (13.16%)	8 (21.05%)	25 (65.79%)	0 (0%)	Mar-12, May-15	B.10, B	38 taxa
UK191	24 (63.16%)	14 (36.84%)	0 (0%)	0 (0%)	Mar-23, Aug-21	B.1, B.1.77, B.1.5	38 taxa
UK829	0 (0%)	37 (100.0%)	0 (0%)	0 (0%)	Mar-10, Jun-14	B.2	37 taxa
UK1151	17 (47.22%)	19 (52.78%)	0 (0%)	0 (0%)	Aug-05, Aug-25	B.1	36 taxa
UK1644	0 (0%)	36 (100.0%)	0 (0%)	0 (0%)	Jun-09, Jul-21	B.1.1	36 taxa
UK1850	0 (0%)	34 (100.0%)	0 (0%)	0 (0%)	Jun-15, Aug-07	B.1.1	34 taxa
UK1218	1 (3.03%)	32 (96.97%)	0 (0%)	0 (0%)	Jun-10, Jul-22	B.1.1.1, B.1.1	33 taxa
UK79	0 (0%)	33 (100.0%)	0 (0%)	0 (0%)	Mar-24, Jun-06	B.1, B.1.5, B.1.97	33 taxa
UK1130	0 (0%)	32 (100.0%)	0 (0%)	0 (0%)	Apr-04, Apr-29	B.1.1	32 taxa
