Lineage,Days,England,Scotland,Wales,Northern Ireland
UK669,2020-03-17,1,0,0,0
UK669,2020-03-19,1,0,0,0
UK669,2020-03-27,4,0,0,0
UK669,2020-03-27,4,0,0,0
UK669,2020-03-27,4,0,0,0
UK669,2020-03-27,4,0,0,0
UK669,2020-03-28,1,0,0,0
UK669,2020-03-29,2,0,0,0
UK669,2020-03-29,2,0,0,0
UK669,2020-03-30,1,0,0,0
UK669,2020-03-31,5,0,0,0
UK669,2020-03-31,5,0,0,0
UK669,2020-03-31,5,0,0,0
UK669,2020-03-31,5,0,0,0
UK669,2020-03-31,5,0,0,0
UK669,2020-04-01,1,0,0,0
UK669,2020-04-02,1,0,0,0
UK669,2020-04-03,4,0,0,0
UK669,2020-04-03,4,0,0,0
UK669,2020-04-03,4,0,0,0
UK669,2020-04-03,4,0,0,0
UK669,2020-04-04,3,0,0,0
UK669,2020-04-04,3,0,0,0
UK669,2020-04-04,3,0,0,0
UK669,2020-04-05,2,0,0,0
UK669,2020-04-05,2,0,0,0
UK669,2020-04-06,3,0,0,0
UK669,2020-04-06,3,0,0,0
UK669,2020-04-06,3,0,0,0
UK669,2020-04-07,1,0,0,0
UK669,2020-04-11,1,0,0,0
UK669,2020-04-30,1,0,0,0
UK669,2020-05-06,1,0,0,0
UK669,2020-05-11,3,0,0,0
UK669,2020-05-11,3,0,0,0
UK669,2020-05-11,3,0,0,0
UK669,2020-05-12,1,3,0,0
UK669,2020-05-12,1,3,0,0
UK669,2020-05-12,1,3,0,0
UK669,2020-05-12,1,3,0,0
UK669,2020-05-14,2,0,0,0
UK669,2020-05-14,2,0,0,0
UK669,2020-06-06,1,0,0,0
UK669,2020-06-14,2,0,0,0
UK669,2020-06-14,2,0,0,0
UK669,2020-08-03,1,0,0,0
UK1176,2020-07-14,1,0,0,0
UK1176,2020-07-19,1,0,0,0
UK1176,2020-07-20,4,0,0,0
UK1176,2020-07-20,4,0,0,0
UK1176,2020-07-20,4,0,0,0
UK1176,2020-07-20,4,0,0,0
UK1176,2020-07-21,1,0,0,0
UK1176,2020-07-22,1,0,0,0
UK1176,2020-07-23,1,0,0,0
UK1176,2020-07-25,2,0,0,0
UK1176,2020-07-25,2,0,0,0
UK1176,2020-08-04,1,0,0,0
UK298,2020-07-13,5,0,0,0
