Lineage,Days,England,Scotland,Wales,Northern Ireland
UK319,2020-03-28,1,0,0,0
UK319,2020-03-29,1,0,0,0
UK319,2020-03-30,4,0,0,0
UK319,2020-03-30,4,0,0,0
UK319,2020-03-30,4,0,0,0
UK319,2020-03-30,4,0,0,0
UK319,2020-03-31,2,0,0,0
UK319,2020-03-31,2,0,0,0
UK319,2020-04-01,7,0,0,0
UK319,2020-04-01,7,0,0,0
UK319,2020-04-01,7,0,0,0
UK319,2020-04-01,7,0,0,0
UK319,2020-04-01,7,0,0,0
UK319,2020-04-01,7,0,0,0
UK319,2020-04-01,7,0,0,0
UK319,2020-04-02,4,0,0,0
UK319,2020-04-02,4,0,0,0
UK319,2020-04-02,4,0,0,0
UK319,2020-04-02,4,0,0,0
UK319,2020-04-03,2,0,0,0
UK319,2020-04-03,2,0,0,0
UK319,2020-04-04,1,0,0,0
UK319,2020-04-05,1,0,0,0
UK319,2020-04-06,1,0,0,0
UK319,2020-04-08,5,0,0,0
UK319,2020-04-08,5,0,0,0
UK319,2020-04-08,5,0,0,0
UK319,2020-04-08,5,0,0,0
UK319,2020-04-08,5,0,0,0
UK319,2020-04-09,4,0,0,0
UK319,2020-04-09,4,0,0,0
UK319,2020-04-09,4,0,0,0
UK319,2020-04-09,4,0,0,0
UK319,2020-04-10,4,0,0,0
UK319,2020-04-10,4,0,0,0
UK319,2020-04-10,4,0,0,0
UK319,2020-04-10,4,0,0,0
UK319,2020-04-11,3,0,0,0
UK319,2020-04-11,3,0,0,0
UK319,2020-04-11,3,0,0,0
UK319,2020-04-12,1,0,0,0
UK319,2020-04-13,2,0,0,0
UK319,2020-04-13,2,0,0,0
UK319,2020-04-14,6,0,0,0
UK319,2020-04-14,6,0,0,0
UK319,2020-04-14,6,0,0,0
UK319,2020-04-14,6,0,0,0
UK319,2020-04-14,6,0,0,0
UK319,2020-04-14,6,0,0,0
UK319,2020-04-16,2,0,0,0
UK319,2020-04-16,2,0,0,0
UK319,2020-04-17,3,0,0,0
UK319,2020-04-17,3,0,0,0
UK319,2020-04-17,3,0,0,0
UK319,2020-04-21,5,0,0,0
UK319,2020-04-21,5,0,0,0
UK319,2020-04-21,5,0,0,0
UK319,2020-04-21,5,0,0,0
UK319,2020-04-21,5,0,0,0
UK319,2020-04-24,2,0,0,0
UK319,2020-04-24,2,0,0,0
UK319,2020-04-27,2,0,0,0
UK319,2020-04-27,2,0,0,0
UK319,2020-04-29,2,0,0,0
UK319,2020-04-29,2,0,0,0
UK319,2020-05-01,1,0,0,0
UK319,2020-05-07,1,0,0,0
UK319,2020-05-08,1,0,0,0
UK319,2020-05-11,2,0,0,0
UK319,2020-05-11,2,0,0,0
UK319,2020-05-12,1,0,0,0
UK319,2020-05-13,1,0,0,0
UK319,2020-05-15,1,0,0,0
UK319,2020-05-28,1,0,0,0
UK319,2020-06-01,1,0,0,0
UK319,2020-06-03,1,0,0,0
UK42,2020-03-20,2,0,0,0
UK42,2020-03-20,2,0,0,0
UK42,2020-03-21,1,0,0,0
UK42,2020-03-23,1,0,0,0
UK42,2020-03-24,2,0,0,0
UK42,2020-03-24,2,0,0,0
UK42,2020-03-25,1,0,0,0
UK42,2020-03-26,3,0,0,0
UK42,2020-03-26,3,0,0,0
UK42,2020-03-26,3,0,0,0
UK42,2020-03-27,4,0,0,0
UK42,2020-03-27,4,0,0,0
UK42,2020-03-27,4,0,0,0
UK42,2020-03-27,4,0,0,0
UK42,2020-03-28,1,0,0,0
UK42,2020-03-29,2,0,0,0
UK42,2020-03-29,2,0,0,0
UK42,2020-03-30,4,0,0,0
UK42,2020-03-30,4,0,0,0
UK42,2020-03-30,4,0,0,0
UK42,2020-03-30,4,0,0,0
UK42,2020-04-01,2,0,0,0
UK42,2020-04-01,2,0,0,0
UK42,2020-04-05,1,0,0,0
UK42,2020-04-06,1,0,0,0
UK42,2020-04-08,1,0,0,0
UK42,2020-04-20,1,0,0,0
UK42,2020-04-22,1,0,0,0
UK42,2020-05-15,1,0,0,0
UK42,2020-06-03,1,0,0,0
UK2464,2020-03-28,1,0,0,0
UK2464,2020-03-29,1,0,0,0
UK2464,2020-04-01,1,0,0,0
UK2464,2020-04-19,1,0,0,0
UK2464,2020-04-27,1,0,0,0
UK2464,2020-05-15,1,0,0,0
UK2464,2020-05-16,1,0,0,0
UK2464,2020-05-22,1,0,0,0
UK2464,2020-06-06,1,0,0,0
UK1177,2020-04-22,1,0,0,0
UK1177,2020-04-28,1,0,0,0
UK1177,2020-05-01,1,0,0,0
UK1177,2020-05-11,1,0,0,0
UK1177,2020-05-16,3,0,0,0
UK1177,2020-05-16,3,0,0,0
UK1177,2020-05-16,3,0,0,0
UK1177,2020-05-17,2,0,0,0
UK1177,2020-05-17,2,0,0,0
UK1177,2020-05-20,1,0,0,0
UK1177,2020-05-21,2,0,0,0
UK1177,2020-05-21,2,0,0,0
UK1177,2020-05-22,2,0,0,0
UK1177,2020-05-22,2,0,0,0
UK1177,2020-05-24,2,0,0,0
UK1177,2020-05-24,2,0,0,0
UK1177,2020-05-25,1,0,0,0
UK1177,2020-05-26,2,0,0,0
UK1177,2020-05-26,2,0,0,0
UK1177,2020-05-27,2,0,0,0
UK1177,2020-05-27,2,0,0,0
UK1177,2020-05-28,2,0,0,0
UK1177,2020-05-28,2,0,0,0
UK1177,2020-05-29,1,0,0,0
UK1177,2020-06-09,1,0,0,0
UK6,2020-03-22,2,0,0,0
UK6,2020-03-22,2,0,0,0
UK6,2020-03-30,2,0,0,0
UK6,2020-03-30,2,0,0,0
UK6,2020-04-01,2,0,0,0
UK6,2020-04-01,2,0,0,0
UK6,2020-04-02,1,0,0,0
UK6,2020-04-03,2,0,0,0
UK6,2020-04-03,2,0,0,0
UK6,2020-04-11,1,0,0,0
UK6,2020-04-13,1,0,0,0
UK6,2020-04-17,1,0,0,0
UK6,2020-04-21,1,0,0,0
UK6,2020-04-22,1,0,0,0
UK6,2020-04-26,1,0,0,0
UK6,2020-05-01,1,0,0,0
UK6,2020-06-16,1,0,0,0
UK51,2020-03-25,1,0,0,0
UK51,2020-03-26,1,0,0,0
UK51,2020-03-28,1,0,0,0
UK51,2020-03-31,1,0,0,0
UK51,2020-04-01,1,0,0,0
UK51,2020-04-03,1,0,0,0
UK51,2020-04-06,1,0,0,0
UK51,2020-04-17,1,0,0,0
UK51,2020-04-18,1,0,0,0
UK51,2020-04-19,1,0,0,0
UK51,2020-04-20,1,0,0,0
UK51,2020-04-21,1,0,0,0
UK51,2020-04-27,2,0,0,0
UK51,2020-04-27,2,0,0,0
UK51,2020-04-28,3,0,0,0
UK51,2020-04-28,3,0,0,0
UK51,2020-04-28,3,0,0,0
UK51,2020-04-29,1,0,0,0
UK51,2020-05-04,2,0,0,0
UK51,2020-05-04,2,0,0,0
UK51,2020-05-10,2,0,0,0
UK51,2020-05-10,2,0,0,0
UK51,2020-05-11,1,0,0,0
UK51,2020-05-13,2,0,0,0
UK51,2020-05-13,2,0,0,0
UK51,2020-05-25,1,0,0,0
UK51,2020-06-03,2,0,0,0
UK51,2020-06-03,2,0,0,0
UK51,2020-06-07,1,0,0,0
UK51,2020-06-15,1,0,0,0
UK51,2020-06-19,1,0,0,0
UK51,2020-06-20,1,0,0,0
UK5,2020-03-02,2,0,0,0
UK5,2020-03-02,2,0,0,0
UK5,2020-03-09,2,0,0,0
UK5,2020-03-09,2,0,0,0
UK5,2020-03-13,1,0,0,0
UK5,2020-03-18,3,0,0,0
UK5,2020-03-18,3,0,0,0
UK5,2020-03-18,3,0,0,0
UK5,2020-03-19,4,0,0,0
UK5,2020-03-19,4,0,0,0
UK5,2020-03-19,4,0,0,0
UK5,2020-03-19,4,0,0,0
UK5,2020-03-20,4,0,0,0
UK5,2020-03-20,4,0,0,0
UK5,2020-03-20,4,0,0,0
UK5,2020-03-20,4,0,0,0
UK5,2020-03-21,11,0,0,0
UK5,2020-03-21,11,0,0,0
UK5,2020-03-21,11,0,0,0
UK5,2020-03-21,11,0,0,0
UK5,2020-03-21,11,0,0,0
UK5,2020-03-21,11,0,0,0
UK5,2020-03-21,11,0,0,0
UK5,2020-03-21,11,0,0,0
UK5,2020-03-21,11,0,0,0
UK5,2020-03-21,11,0,0,0
UK5,2020-03-21,11,0,0,0
UK5,2020-03-22,6,0,0,0
UK5,2020-03-22,6,0,0,0
UK5,2020-03-22,6,0,0,0
UK5,2020-03-22,6,0,0,0
UK5,2020-03-22,6,0,0,0
UK5,2020-03-22,6,0,0,0
UK5,2020-03-23,9,0,0,0
UK5,2020-03-23,9,0,0,0
UK5,2020-03-23,9,0,0,0
UK5,2020-03-23,9,0,0,0
UK5,2020-03-23,9,0,0,0
UK5,2020-03-23,9,0,0,0
UK5,2020-03-23,9,0,0,0
UK5,2020-03-23,9,0,0,0
UK5,2020-03-23,9,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-24,20,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-25,21,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-26,19,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-27,13,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-28,15,0,0,0
UK5,2020-03-29,10,0,0,0
UK5,2020-03-29,10,0,0,0
UK5,2020-03-29,10,0,0,0
UK5,2020-03-29,10,0,0,0
UK5,2020-03-29,10,0,0,0
UK5,2020-03-29,10,0,0,0
UK5,2020-03-29,10,0,0,0
UK5,2020-03-29,10,0,0,0
UK5,2020-03-29,10,0,0,0
UK5,2020-03-29,10,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-30,22,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-03-31,13,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-01,24,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-02,39,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-03,20,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-04,13,0,0,0
UK5,2020-04-05,6,0,0,0
UK5,2020-04-05,6,0,0,0
UK5,2020-04-05,6,0,0,0
UK5,2020-04-05,6,0,0,0
UK5,2020-04-05,6,0,0,0
UK5,2020-04-05,6,0,0,0
UK5,2020-04-06,12,0,0,0
UK5,2020-04-06,12,0,0,0
UK5,2020-04-06,12,0,0,0
UK5,2020-04-06,12,0,0,0
UK5,2020-04-06,12,0,0,0
UK5,2020-04-06,12,0,0,0
UK5,2020-04-06,12,0,0,0
UK5,2020-04-06,12,0,0,0
UK5,2020-04-06,12,0,0,0
UK5,2020-04-06,12,0,0,0
UK5,2020-04-06,12,0,0,0
UK5,2020-04-06,12,0,0,0
UK5,2020-04-07,7,0,0,0
UK5,2020-04-07,7,0,0,0
UK5,2020-04-07,7,0,0,0
UK5,2020-04-07,7,0,0,0
UK5,2020-04-07,7,0,0,0
UK5,2020-04-07,7,0,0,0
UK5,2020-04-07,7,0,0,0
UK5,2020-04-08,12,0,0,0
UK5,2020-04-08,12,0,0,0
UK5,2020-04-08,12,0,0,0
UK5,2020-04-08,12,0,0,0
UK5,2020-04-08,12,0,0,0
UK5,2020-04-08,12,0,0,0
UK5,2020-04-08,12,0,0,0
UK5,2020-04-08,12,0,0,0
UK5,2020-04-08,12,0,0,0
UK5,2020-04-08,12,0,0,0
UK5,2020-04-08,12,0,0,0
UK5,2020-04-08,12,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-09,17,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-10,20,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
UK5,2020-04-11,29,0,0,0
