Lineage name	England	Scotland	Northern Ireland	Wales	Date range	Global lineage	Total
UK5	9354 (82.3%)	449 (3.95%)	607 (5.34%)	956 (8.41%)	Feb-16, Sep-05	B.1.1.1, B.1.1.13, B.1.1.2, B.1.1.21, B.1.1.10, B.1.1, B.1.1.14, B.1.1.12, B.1.1.30, B.1.1.16	11366 taxa
UK175	1306 (49.87%)	748 (28.56%)	18 (0.69%)	547 (20.89%)	Feb-24, Aug-21	B.1, B.1.105, B.1.93, B.1.76, B.1.88, B.1.35, B.1.11, B.6, B.1.71, B.1.79, B.1.77, B.1.5, B.1.82, B.1.81, B.1.8, B, B.1.13	2619 taxa
UK1951	1994 (91.97%)	83 (3.83%)	2 (0.09%)	89 (4.11%)	Mar-02, Aug-20	B.1.1, B.1.1.1	2168 taxa
UK107	1650 (91.36%)	63 (3.49%)	18 (1.0%)	75 (4.15%)	Feb-09, Jul-20	B.2, B, B.2.1	1806 taxa
UK1205	1047 (96.14%)	1 (0.09%)	3 (0.28%)	38 (3.49%)	Mar-03, Aug-25	B.1.1, B.1.1.1, B.1.1.3	1089 taxa
UK109	555 (58.48%)	340 (35.83%)	11 (1.16%)	43 (4.53%)	Mar-12, Aug-21	B.1, B.1.100, B.1.79, B.1.77, B.1.5, B.1.99	949 taxa
UK336	158 (16.83%)	747 (79.55%)	4 (0.43%)	30 (3.19%)	Mar-11, Jul-22	B.1.77, B.1, B.1.93	939 taxa
UK199	515 (63.04%)	234 (28.64%)	2 (0.24%)	66 (8.08%)	Feb-26, Aug-26	B.1.5.10, B.1, B.1.11, B.1.104, B.1.5	817 taxa
UK1683	624 (76.66%)	75 (9.21%)	9 (1.11%)	106 (13.02%)	Mar-08, Aug-21	B.1.1.10, B.1.1, B.1.1.1	814 taxa
UK2913	514 (71.09%)	162 (22.41%)	19 (2.63%)	28 (3.87%)	Mar-07, Jul-15	B.1, B.1.11, B.1.5, B.1.13	723 taxa
UK5676	446 (62.38%)	192 (26.85%)	5 (0.7%)	72 (10.07%)	Feb-26, Jul-22	B.2.2, B.2.1, B.2.9, B.2.4, B.2	715 taxa
UK2464	395 (55.95%)	209 (29.6%)	0 (0%)	102 (14.45%)	Mar-09, Jun-29	B.1, B.1.11, B.1.5, B.1.81, B.1.90	706 taxa
UK1037	264 (39.05%)	1 (0.15%)	0 (0%)	411 (60.8%)	Mar-12, Aug-19	B.1.1, B.1.1.30	676 taxa
UK1271	666 (99.25%)	0 (0%)	0 (0%)	5 (0.75%)	Apr-08, Aug-26	B.1.1	671 taxa
UK61	56 (9.2%)	0 (0%)	0 (0%)	553 (90.8%)	Mar-08, Aug-03	B.6, B, B.3	609 taxa
UK1091	61 (10.22%)	0 (0%)	0 (0%)	536 (89.78%)	Mar-13, Jul-15	B.1.1, B.1.1.2	597 taxa
UK2916	472 (79.73%)	27 (4.56%)	9 (1.52%)	84 (14.19%)	Feb-03, Aug-11	B.1, B.1.11, B.1.98	592 taxa
UK2068	423 (87.76%)	56 (11.62%)	1 (0.21%)	2 (0.41%)	Mar-26, Aug-18	B.1.1, B.1.1.4	482 taxa
UK72	373 (81.09%)	52 (11.3%)	14 (3.04%)	21 (4.57%)	Feb-05, Jun-23	B.2, B, B.2.1	460 taxa
UK1855	285 (64.92%)	6 (1.37%)	147 (33.49%)	1 (0.23%)	Apr-08, Aug-26	B.1.1, B.1.1.3	439 taxa
UK5741	271 (62.01%)	1 (0.23%)	0 (0%)	165 (37.76%)	Mar-11, Jul-15	B.1, B.1.122, B.1.35, B.1.44, B.1.5	437 taxa
UK167	324 (75.52%)	42 (9.79%)	31 (7.23%)	32 (7.46%)	Mar-11, Jul-15	B.1, B.1.5, B.1.117, B.1.2	429 taxa
UK1195	71 (16.59%)	333 (77.8%)	0 (0%)	24 (5.61%)	Apr-04, Sep-06	B.1.1, B.1.1.25	428 taxa
UK1535	218 (51.42%)	5 (1.18%)	191 (45.05%)	10 (2.36%)	Mar-02, Aug-26	B.1.1, B.1.1.3	424 taxa
UK945	279 (74.2%)	42 (11.17%)	15 (3.99%)	40 (10.64%)	Mar-17, Aug-30	B.1.1, B.1.1.28	376 taxa
UK699	23 (6.85%)	0 (0%)	0 (0%)	313 (93.15%)	Mar-12, Jun-30	B.1, B.1.5, B.1.5.9	336 taxa
UK1060	257 (77.88%)	29 (8.79%)	8 (2.42%)	36 (10.91%)	Mar-03, Aug-14	B.1.1.10, B.1.1, B.1.1.1	330 taxa
UK1684	279 (84.55%)	36 (10.91%)	2 (0.61%)	13 (3.94%)	Mar-14, Jul-04	B.1.1, B.1.1.1	330 taxa
UK1145	323 (98.18%)	6 (1.82%)	0 (0%)	0 (0%)	Mar-23, Aug-26	B.1.1	329 taxa
UK600	247 (80.72%)	41 (13.4%)	3 (0.98%)	15 (4.9%)	Feb-29, Jul-13	B.1.1, B.1	306 taxa
UK9	301 (99.34%)	1 (0.33%)	0 (0%)	1 (0.33%)	Mar-09, May-18	B.1, B.1.5, B.1.13	303 taxa
UK1153	296 (98.01%)	2 (0.66%)	1 (0.33%)	3 (0.99%)	Mar-15, Aug-21	B.1.1	302 taxa
UK40	8 (3.02%)	255 (96.23%)	0 (0%)	2 (0.75%)	Mar-13, Jun-23	B.16, B.2, B	265 taxa
UK1278	255 (99.22%)	1 (0.39%)	0 (0%)	1 (0.39%)	Mar-23, Jul-27	B.1.1	257 taxa
UK1076	118 (47.77%)	25 (10.12%)	8 (3.24%)	96 (38.87%)	Mar-17, Aug-22	B.1.1	247 taxa
UK698	228 (95.0%)	3 (1.25%)	1 (0.42%)	8 (3.33%)	Mar-20, Aug-26	B.1.1	240 taxa
UK267	207 (88.09%)	26 (11.06%)	0 (0%)	2 (0.85%)	Feb-25, Jul-15	B.2, B, B.2.1	235 taxa
UK315	198 (85.34%)	6 (2.59%)	1 (0.43%)	27 (11.64%)	Feb-25, Aug-02	B.2, B.2.2, B.2.1	232 taxa
UK719	149 (64.22%)	33 (14.22%)	4 (1.72%)	46 (19.83%)	Mar-13, Aug-28	B.1.1.10, B.1.1	232 taxa
UK39	19 (9.18%)	187 (90.34%)	0 (0%)	1 (0.48%)	Mar-12, May-29	A.2	207 taxa
UK1126	191 (93.63%)	6 (2.94%)	1 (0.49%)	6 (2.94%)	Mar-11, Aug-17	B.1.1	204 taxa
UK1211	35 (17.41%)	164 (81.59%)	1 (0.5%)	1 (0.5%)	Apr-03, Aug-29	B.1.1	201 taxa
UK917	187 (94.44%)	9 (4.55%)	0 (0%)	2 (1.01%)	Mar-15, Jul-23	B.1.1	198 taxa
UK494	193 (97.97%)	3 (1.52%)	0 (0%)	1 (0.51%)	Mar-19, Jul-16	B.1.104, B.1.11, B.1.5, B.1	197 taxa
UK387	137 (73.66%)	16 (8.6%)	4 (2.15%)	29 (15.59%)	Mar-06, Jul-31	B.1, B.1.11, B.1.77, B.1.5, B.1.86, B.1.21	186 taxa
UK4	167 (92.27%)	5 (2.76%)	1 (0.55%)	8 (4.42%)	Feb-28, Apr-29	B.2, B	181 taxa
UK2022	167 (94.35%)	9 (5.08%)	1 (0.56%)	0 (0%)	Mar-24, Aug-31	B.1.1	177 taxa
UK1186	51 (29.31%)	42 (24.14%)	10 (5.75%)	71 (40.8%)	Aug-03, Sep-07	B.1, B.1.79	174 taxa
UK2200	115 (66.86%)	20 (11.63%)	6 (3.49%)	31 (18.02%)	Feb-28, Aug-26	B.1.35, B.1, B.1.5, B.1.5.6	172 taxa
UK6	157 (92.9%)	12 (7.1%)	0 (0%)	0 (0%)	Mar-06, Jul-17	B.1.93, B.1, B.1.5, B.1.75	169 taxa
UK5498	150 (88.76%)	11 (6.51%)	0 (0%)	8 (4.73%)	Mar-06, Jul-19	B.2	169 taxa
