Lineage,Days,England,Scotland,Wales,Northern Ireland
UK5446,2020-05-05,1,0,0,0
UK5446,2020-05-06,1,0,0,0
UK5446,2020-05-07,1,0,0,0
UK5446,2020-05-08,1,0,0,0
UK5446,2020-05-09,1,0,0,0
UK5446,2020-05-10,2,0,0,0
UK5446,2020-05-10,2,0,0,0
UK5446,2020-05-12,2,0,0,0
UK5446,2020-05-12,2,0,0,0
UK5446,2020-05-15,2,0,0,0
UK5446,2020-05-15,2,0,0,0
UK5446,2020-05-16,1,0,0,0
UK167,2020-03-23,1,0,0,0
UK167,2020-03-24,2,0,0,0
UK167,2020-03-24,2,0,0,0
UK167,2020-05-12,1,0,0,0
UK167,2020-05-18,1,0,0,0
UK167,2020-05-19,1,0,0,0
UK5,2020-03-24,2,0,0,0
UK5,2020-03-24,2,0,0,0
UK5,2020-04-13,1,0,0,0
UK5,2020-04-14,1,0,0,0
UK5,2020-04-15,4,0,0,0
UK5,2020-04-15,4,0,0,0
UK5,2020-04-15,4,0,0,0
UK5,2020-04-15,4,0,0,0
UK5,2020-04-16,5,0,0,0
UK5,2020-04-16,5,0,0,0
UK5,2020-04-16,5,0,0,0
UK5,2020-04-16,5,0,0,0
UK5,2020-04-16,5,0,0,0
UK5,2020-04-26,2,0,0,0
UK5,2020-04-26,2,0,0,0
UK5,2020-04-27,1,0,0,0
UK5,2020-04-29,1,0,0,0
UK5,2020-05-02,1,0,0,0
UK5,2020-05-03,2,0,0,0
UK5,2020-05-03,2,0,0,0
UK5,2020-05-04,1,0,0,0
UK5,2020-05-05,3,0,0,0
UK5,2020-05-05,3,0,0,0
UK5,2020-05-05,3,0,0,0
UK5,2020-05-06,3,0,0,0
UK5,2020-05-06,3,0,0,0
UK5,2020-05-06,3,0,0,0
UK5,2020-05-07,1,0,0,0
UK5,2020-05-09,1,0,0,0
UK5,2020-05-10,3,0,0,0
UK5,2020-05-10,3,0,0,0
UK5,2020-05-10,3,0,0,0
UK5,2020-05-11,8,0,0,0
UK5,2020-05-11,8,0,0,0
UK5,2020-05-11,8,0,0,0
UK5,2020-05-11,8,0,0,0
UK5,2020-05-11,8,0,0,0
UK5,2020-05-11,8,0,0,0
UK5,2020-05-11,8,0,0,0
UK5,2020-05-11,8,0,0,0
UK5,2020-05-12,3,0,0,0
UK5,2020-05-12,3,0,0,0
UK5,2020-05-12,3,0,0,0
UK5,2020-05-13,2,0,0,0
UK5,2020-05-13,2,0,0,0
UK5,2020-05-14,5,0,0,0
UK5,2020-05-14,5,0,0,0
UK5,2020-05-14,5,0,0,0
UK5,2020-05-14,5,0,0,0
UK5,2020-05-14,5,0,0,0
UK5,2020-05-15,1,0,0,0
UK5,2020-05-16,5,0,0,0
UK5,2020-05-16,5,0,0,0
UK5,2020-05-16,5,0,0,0
UK5,2020-05-16,5,0,0,0
UK5,2020-05-16,5,0,0,0
UK5,2020-05-17,1,0,0,0
UK5,2020-05-19,7,0,0,0
UK5,2020-05-19,7,0,0,0
UK5,2020-05-19,7,0,0,0
UK5,2020-05-19,7,0,0,0
UK5,2020-05-19,7,0,0,0
UK5,2020-05-19,7,0,0,0
UK5,2020-05-19,7,0,0,0
UK5,2020-05-20,6,0,0,0
UK5,2020-05-20,6,0,0,0
UK5,2020-05-20,6,0,0,0
UK5,2020-05-20,6,0,0,0
UK5,2020-05-20,6,0,0,0
UK5,2020-05-20,6,0,0,0
UK5,2020-05-21,7,0,0,0
UK5,2020-05-21,7,0,0,0
UK5,2020-05-21,7,0,0,0
UK5,2020-05-21,7,0,0,0
UK5,2020-05-21,7,0,0,0
UK5,2020-05-21,7,0,0,0
UK5,2020-05-21,7,0,0,0
UK5,2020-05-22,9,0,0,0
UK5,2020-05-22,9,0,0,0
UK5,2020-05-22,9,0,0,0
UK5,2020-05-22,9,0,0,0
UK5,2020-05-22,9,0,0,0
UK5,2020-05-22,9,0,0,0
UK5,2020-05-22,9,0,0,0
UK5,2020-05-22,9,0,0,0
UK5,2020-05-22,9,0,0,0
UK5,2020-05-23,4,0,0,0
UK5,2020-05-23,4,0,0,0
