Name,oldest_sequence,newest_sequence,number_taxa
UK5336,2020-05-21,2020-05-21,1
UK5,2020-03-15,2020-05-22,87
UK53,2020-04-04,2020-05-22,3
UK174,2020-05-11,2020-05-22,4
UK326,2020-04-07,2020-05-22,15
UK128,2020-04-09,2020-05-23,25
UK755,2020-05-11,2020-05-21,4
UK147,2020-04-14,2020-05-22,16
UK67,2020-04-22,2020-05-21,8
UK5486,2020-05-01,2020-05-20,4
UK5327,2020-05-19,2020-05-19,1
UK480,2020-05-16,2020-05-19,2
UK77,2020-04-20,2020-05-20,3
UK103,2020-04-07,2020-05-20,5
UK51,2020-04-20,2020-05-19,8
UK26,2020-04-05,2020-05-18,27
UK113,2020-04-09,2020-05-19,19
UK308,2020-04-09,2020-05-18,10
UK167,2020-04-01,2020-05-21,29
UK217,2020-05-01,2020-05-18,2
UK371,2020-04-10,2020-05-19,21
UK5152,2020-05-18,2020-05-18,1
UK5383,2020-05-18,2020-05-18,1
UK30,2020-05-02,2020-05-15,11
UK673,2020-05-12,2020-05-18,3
UK309,2020-04-01,2020-05-17,3
UK297,2020-05-01,2020-05-15,4
UK865,2020-05-13,2020-05-13,1
UK33,2020-04-05,2020-05-15,12
UK237,2020-04-22,2020-05-16,3
UK135,2020-05-13,2020-05-14,2
UK1225,2020-05-15,2020-05-15,1
UK78,2020-04-30,2020-05-14,5
UK124,2020-04-29,2020-05-14,2
UK565,2020-03-31,2020-05-13,21
UK5307,2020-04-08,2020-05-12,5
UK13,2020-03-31,2020-05-13,14
UK3875,2020-04-08,2020-05-12,4
UK274,2020-03-19,2020-05-11,6
UK5322,2020-03-30,2020-05-13,15
UK3539,2020-04-19,2020-05-07,2
UK2464,2020-03-17,2020-05-11,20
UK3432,2020-05-06,2020-05-06,1
UK3,2020-04-01,2020-05-10,3
UK1244,2020-05-09,2020-05-11,3
UK2007,2020-05-11,2020-05-11,2
UK2004,2020-05-11,2020-05-11,1
UK2008,2020-05-11,2020-05-11,1
UK1257,2020-05-11,2020-05-11,1
UK19,2020-04-04,2020-05-10,10
UK2258,2020-05-07,2020-05-07,4
UK1315,2020-05-11,2020-05-11,1
UK2014,2020-05-07,2020-05-07,1
UK849,2020-04-16,2020-05-07,3
UK1316,2020-05-10,2020-05-10,1
UK661,2020-05-10,2020-05-10,1
UK329,2020-04-22,2020-05-09,6
UK278,2020-05-07,2020-05-07,1
UK1247,2020-05-08,2020-05-08,1
UK46,2020-03-17,2020-05-08,2
UK1248,2020-05-07,2020-05-07,1
UK3105,2020-05-07,2020-05-07,1
UK12,2020-04-07,2020-05-07,2
UK31,2020-03-30,2020-05-08,13
UK701,2020-03-17,2020-05-08,20
UK3106,2020-05-07,2020-05-07,1
UK503,2020-04-22,2020-05-06,2
UK233,2020-05-06,2020-05-06,1
UK9,2020-03-28,2020-05-05,9
UK76,2020-05-05,2020-05-05,1
UK494,2020-03-20,2020-05-04,20
UK372,2020-04-29,2020-05-05,2
UK420,2020-05-04,2020-05-04,1
UK37,2020-03-29,2020-05-03,8
UK3133,2020-05-05,2020-05-05,1
UK4460,2020-05-04,2020-05-04,1
UK3134,2020-05-03,2020-05-03,1
UK3135,2020-05-03,2020-05-03,1
UK5649,2020-03-18,2020-05-01,4
UK16,2020-05-03,2020-05-03,1
UK4668,2020-05-01,2020-05-01,1
UK199,2020-05-02,2020-05-02,1
UK878,2020-05-04,2020-05-04,1
UK23,2020-04-06,2020-05-01,2
UK325,2020-04-17,2020-05-01,4
UK2776,2020-05-05,2020-05-05,1
UK57,2020-04-05,2020-04-28,31
UK4669,2020-04-30,2020-04-30,1
UK79,2020-03-31,2020-05-02,4
UK2134,2020-04-29,2020-04-29,1
UK6,2020-03-19,2020-05-01,8
UK477,2020-04-26,2020-05-01,2
UK352,2020-04-21,2020-05-01,2
UK180,2020-03-30,2020-04-29,10
UK132,2020-04-29,2020-04-30,2
UK5455,2020-04-29,2020-04-29,1
UK4462,2020-04-27,2020-04-27,1
UK68,2020-03-31,2020-04-30,2
UK3202,2020-04-29,2020-04-29,1
UK252,2020-04-27,2020-04-29,2
UK205,2020-04-15,2020-04-30,2
UK8,2020-04-24,2020-05-01,2
UK3203,2020-05-01,2020-05-01,1
UK3204,2020-04-30,2020-04-30,1
UK111,2020-04-17,2020-04-30,2
UK3206,2020-04-30,2020-04-30,1
UK32,2020-04-28,2020-04-28,1
UK54,2020-04-05,2020-04-30,3
UK92,2020-04-28,2020-04-28,1
UK203,2020-04-28,2020-04-28,1
UK4463,2020-04-26,2020-04-26,1
UK349,2020-04-19,2020-04-29,2
UK101,2020-04-08,2020-04-27,3
UK204,2020-04-15,2020-04-27,2
UK253,2020-04-20,2020-04-28,3
UK626,2020-04-20,2020-04-29,3
UK3219,2020-04-28,2020-04-28,3
UK1849,2020-04-11,2020-04-29,8
UK81,2020-03-28,2020-04-27,2
UK1208,2020-04-27,2020-04-27,1
UK3248,2020-04-26,2020-04-26,2
UK183,2020-04-06,2020-04-28,12
UK321,2020-04-06,2020-04-27,2
UK195,2020-04-27,2020-04-27,1
UK214,2020-04-07,2020-04-26,2
UK4477,2020-04-27,2020-04-27,1
UK2737,2020-04-27,2020-04-27,1
UK342,2020-04-27,2020-04-27,1
UK123,2020-04-27,2020-04-27,1
UK5181,2020-04-14,2020-04-28,3
UK2913,2020-04-16,2020-04-27,4
UK535,2020-04-27,2020-04-27,1
UK5672,2020-03-22,2020-04-29,12
UK2914,2020-04-27,2020-04-27,1
UK2178,2020-04-27,2020-04-27,1
UK177,2020-04-01,2020-04-26,3
UK446,2020-04-08,2020-04-24,4
