Lineage name	England	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK5	93 (100.0%)	Mar-15, May-30	93	B.1.1.1	0	active today
UK167	29 (100.0%)	Apr-01, May-21	29	B.1.66	9	0.1984
UK26	27 (100.0%)	Apr-05, May-18	27	B.1.1.3	12	0.1378
UK128	27 (100.0%)	Apr-09, May-27	27	B.1.1	3	0.6154
UK113	26 (100.0%)	Apr-09, May-30	26	B.1.1	0	active today
UK57	25 (100.0%)	Apr-05, Apr-28	25	B.1.1	32	0.0299
UK565	21 (100.0%)	Mar-31, May-13	21	B.1.1	17	0.1265
UK2464	21 (100.0%)	Mar-17, May-11	21	B.1.p11	19	0.1447
UK371	21 (100.0%)	Apr-10, May-19	21	B.1.1	11	0.1773
UK494	20 (100.0%)	Mar-20, May-04	20	B.1.p11	26	0.0911
UK2916	20 (100.0%)	Mar-17, May-08	20	B.1	22	0.1244
UK147	17 (100.0%)	Apr-14, May-26	17	B.1.1	4	0.6562
UK1849	15 (100.0%)	Apr-07, Apr-20	15	B.1.1	40	0.0232
UK326	15 (100.0%)	Apr-07, May-22	15	B.1.1.10	8	0.4018
UK13	14 (100.0%)	Mar-31, May-13	14	B.1.1	17	0.1946
UK5672	12 (100.0%)	Mar-22, Apr-29	12	B.2	31	0.1114
UK30	11 (100.0%)	May-02, May-15	11	B.1.1	15	0.0867
UK19	11 (100.0%)	Apr-04, May-10	11	B.1	20	0.18
UK51	11 (100.0%)	Apr-20, May-26	11	B.1.36	4	0.9
UK308	10 (100.0%)	Apr-09, May-18	10	B.1.1	12	0.3611
UK183	10 (100.0%)	Apr-06, Apr-23	10	B.1.1	37	0.0511
UK180	10 (100.0%)	Mar-30, Apr-29	10	B.1.1	31	0.1075
UK2735	9 (100.0%)	Mar-31, May-05	9	B.1.1	25	0.175
UK9	9 (100.0%)	Mar-28, May-05	9	B.1.13	25	0.19
UK5214	8 (100.0%)	Apr-07, Apr-27	8	B.1.1	33	0.0866
UK67	8 (100.0%)	Apr-22, May-21	8	B.1.1	9	0.4603
UK37	8 (100.0%)	Mar-29, May-03	8	B.1.30	27	0.1852
UK31	7 (100.0%)	Mar-30, Apr-28	7	B.1	32	0.151
UK220	7 (100.0%)	Mar-27, Apr-11	7	B.1.1	49	0.051
UK103	7 (100.0%)	Apr-07, May-27	7	B.1.1	3	2.7778
UK36	7 (100.0%)	Mar-30, Apr-15	7	B.1	45	0.0593
UK33	6 (100.0%)	Apr-05, May-08	6	B.1.1	22	0.3
UK329	6 (100.0%)	Apr-22, May-09	6	B.1.1	21	0.1619
UK2913	6 (100.0%)	Apr-04, Apr-27	6	B.1.p11	33	0.1394
UK3035	6 (100.0%)	Apr-02, May-08	6	B.1	22	0.3273
UK274	6 (100.0%)	Mar-19, May-11	6	B.3	19	0.5579
