Lineage,Days,England,Scotland,Wales,Northern Ireland
UK37,2020-03-29,1,0,0,0
UK37,2020-04-05,1,0,0,0
UK37,2020-04-11,1,0,0,0
UK37,2020-04-12,2,0,0,0
UK37,2020-04-12,2,0,0,0
UK37,2020-04-25,1,0,0,0
UK37,2020-04-29,1,0,0,0
UK37,2020-05-03,1,0,0,0
UK494,2020-03-20,1,0,0,0
UK494,2020-03-31,1,0,0,0
UK494,2020-04-12,2,0,0,0
UK494,2020-04-12,2,0,0,0
UK494,2020-04-14,1,0,0,0
UK494,2020-04-16,1,0,0,0
UK494,2020-04-17,2,0,0,0
UK494,2020-04-17,2,0,0,0
UK494,2020-04-18,1,0,0,0
UK494,2020-04-20,3,0,0,0
UK494,2020-04-20,3,0,0,0
UK494,2020-04-20,3,0,0,0
UK494,2020-04-22,1,0,0,0
UK494,2020-04-24,1,0,0,0
UK494,2020-04-26,3,0,0,0
UK494,2020-04-26,3,0,0,0
UK494,2020-04-26,3,0,0,0
UK494,2020-04-27,1,0,0,0
UK494,2020-04-29,1,0,0,0
UK494,2020-05-04,1,0,0,0
UK9,2020-03-28,1,0,0,0
UK9,2020-03-30,1,0,0,0
UK9,2020-04-05,1,0,0,0
UK9,2020-04-09,1,0,0,0
UK9,2020-04-10,1,0,0,0
UK9,2020-04-14,1,0,0,0
UK9,2020-04-20,1,0,0,0
UK9,2020-04-28,1,0,0,0
UK9,2020-05-05,1,0,0,0
UK2735,2020-03-31,1,0,0,0
UK2735,2020-04-12,1,0,0,0
UK2735,2020-04-17,1,0,0,0
UK2735,2020-04-27,1,0,0,0
UK2735,2020-04-28,1,0,0,0
UK2735,2020-05-01,2,0,0,0
UK2735,2020-05-01,2,0,0,0
UK2735,2020-05-04,1,0,0,0
UK2735,2020-05-05,1,0,0,0
UK33,2020-04-05,1,0,0,0
UK33,2020-04-23,1,0,0,0
UK33,2020-05-01,1,0,0,0
UK33,2020-05-02,1,0,0,0
UK33,2020-05-06,1,0,0,0
UK33,2020-05-08,1,0,0,0
UK3035,2020-04-02,1,0,0,0
UK3035,2020-04-24,1,0,0,0
UK3035,2020-04-27,1,0,0,0
UK3035,2020-05-01,2,0,0,0
UK3035,2020-05-01,2,0,0,0
UK3035,2020-05-08,1,0,0,0
UK2916,2020-03-17,1,0,0,0
UK2916,2020-03-20,1,0,0,0
UK2916,2020-03-29,1,0,0,0
UK2916,2020-03-31,1,0,0,0
UK2916,2020-04-01,2,0,0,0
UK2916,2020-04-01,2,0,0,0
UK2916,2020-04-02,1,0,0,0
UK2916,2020-04-03,1,0,0,0
UK2916,2020-04-05,2,0,0,0
UK2916,2020-04-05,2,0,0,0
UK2916,2020-04-07,1,0,0,0
UK2916,2020-04-08,1,0,0,0
UK2916,2020-04-12,1,0,0,0
UK2916,2020-04-15,2,0,0,0
UK2916,2020-04-15,2,0,0,0
UK2916,2020-04-16,1,0,0,0
UK2916,2020-04-21,1,0,0,0
UK2916,2020-04-30,1,0,0,0
UK2916,2020-05-07,1,0,0,0
UK2916,2020-05-08,1,0,0,0
UK329,2020-04-22,1,0,0,0
UK329,2020-04-27,1,0,0,0
UK329,2020-04-30,2,0,0,0
UK329,2020-04-30,2,0,0,0
UK329,2020-05-02,1,0,0,0
UK329,2020-05-09,1,0,0,0
UK19,2020-04-04,1,0,0,0
UK19,2020-04-10,1,0,0,0
UK19,2020-04-14,1,0,0,0
UK19,2020-04-21,1,0,0,0
UK19,2020-04-22,1,0,0,0
UK19,2020-04-30,1,0,0,0
UK19,2020-05-07,4,0,0,0
UK19,2020-05-07,4,0,0,0
UK19,2020-05-07,4,0,0,0
UK19,2020-05-07,4,0,0,0
UK19,2020-05-10,1,0,0,0
UK274,2020-03-19,1,0,0,0
UK274,2020-03-26,1,0,0,0
UK274,2020-03-30,1,0,0,0
UK274,2020-03-31,1,0,0,0
UK274,2020-04-13,1,0,0,0
UK274,2020-05-11,1,0,0,0
UK2464,2020-03-17,1,0,0,0
UK2464,2020-03-31,1,0,0,0
UK2464,2020-04-01,1,0,0,0
UK2464,2020-04-04,1,0,0,0
UK2464,2020-04-05,1,0,0,0
UK2464,2020-04-07,1,0,0,0
UK2464,2020-04-09,1,0,0,0
UK2464,2020-04-10,1,0,0,0
UK2464,2020-04-11,4,0,0,0
UK2464,2020-04-11,4,0,0,0
UK2464,2020-04-11,4,0,0,0
UK2464,2020-04-11,4,0,0,0
UK2464,2020-04-13,2,0,0,0
UK2464,2020-04-13,2,0,0,0
