Name,oldest_sequence,newest_sequence,number_taxa
UK36,2020-03-21,2020-05-04,91
UK304,2020-04-16,2020-05-26,17
UK1203,2020-03-27,2020-03-27,1
UK5090,2020-04-03,2020-04-07,2
UK14,2020-03-21,2020-04-27,8
UK1205,2020-03-28,2020-03-28,1
UK1667,2020-03-31,2020-04-28,13
UK5670,2020-04-25,2020-04-26,3
UK53,2020-04-16,2020-05-21,28
UK1206,2020-03-30,2020-04-17,2
UK1539,2020-05-09,2020-05-25,13
UK1208,2020-03-27,2020-03-27,1
UK1209,2020-03-31,2020-03-31,1
UK4425,2020-04-02,2020-04-02,1
UK5,2020-03-18,2020-05-18,35
UK2464,2020-03-20,2020-05-12,43
UK2032,2020-04-25,2020-04-27,5
UK1548,2020-04-13,2020-04-24,9
UK1226,2020-04-03,2020-04-03,1
UK21,2020-03-18,2020-05-23,24
UK502,2020-03-30,2020-03-30,2
UK2052,2020-05-23,2020-05-23,1
UK51,2020-03-29,2020-04-06,2
UK2053,2020-05-23,2020-05-23,1
UK1228,2020-04-03,2020-04-03,1
UK1281,2020-04-03,2020-04-03,1
UK1723,2020-03-31,2020-03-31,1
UK2054,2020-05-24,2020-05-24,1
UK1282,2020-03-31,2020-03-31,1
UK679,2020-03-30,2020-03-30,1
UK1283,2020-04-09,2020-04-09,1
UK1305,2020-04-01,2020-04-01,1
UK1318,2020-04-04,2020-04-04,1
UK2084,2020-04-14,2020-04-21,4
UK1479,2020-03-27,2020-03-27,1
UK2049,2020-05-22,2020-05-22,1
UK1754,2020-03-27,2020-03-27,1
UK5351,2020-05-21,2020-05-21,1
UK1755,2020-03-26,2020-03-26,1
UK1756,2020-03-26,2020-03-26,1
UK1757,2020-03-27,2020-03-27,1
UK2454,2020-03-27,2020-03-27,1
UK1758,2020-03-31,2020-03-31,1
UK5746,2020-04-20,2020-04-20,1
UK558,2020-04-24,2020-05-22,17
UK1759,2020-03-27,2020-03-27,1
UK461,2020-04-18,2020-05-19,19
UK562,2020-03-27,2020-04-25,10
UK3499,2020-04-16,2020-04-20,2
UK66,2020-03-28,2020-05-20,14
UK3504,2020-04-03,2020-04-03,1
UK2059,2020-05-19,2020-05-19,1
UK2033,2020-04-01,2020-04-01,1
UK2048,2020-05-19,2020-05-19,1
UK2057,2020-05-21,2020-05-21,1
UK944,2020-04-02,2020-04-16,3
UK306,2020-03-31,2020-03-31,1
UK2058,2020-05-19,2020-05-19,1
UK301,2020-05-13,2020-05-20,4
UK754,2020-04-24,2020-04-24,1
UK2066,2020-05-17,2020-05-17,1
UK5110,2020-03-31,2020-04-02,2
UK2267,2020-03-29,2020-03-29,1
UK460,2020-04-19,2020-05-19,5
UK2050,2020-05-17,2020-05-17,1
UK5111,2020-03-30,2020-03-30,1
UK2068,2020-05-17,2020-05-17,1
UK1761,2020-04-06,2020-04-06,1
UK1763,2020-04-05,2020-04-05,1
UK2284,2020-03-30,2020-03-30,1
UK2072,2020-05-18,2020-05-18,1
UK1837,2020-04-03,2020-04-03,1
UK1845,2020-04-07,2020-04-07,1
UK5894,2020-03-30,2020-03-30,1
UK1861,2020-04-05,2020-04-05,1
UK1762,2020-04-07,2020-04-07,1
UK758,2020-03-30,2020-03-30,1
UK1864,2020-03-28,2020-03-28,1
UK1890,2020-04-02,2020-04-02,1
UK763,2020-03-29,2020-03-29,1
UK2010,2020-03-31,2020-03-31,1
UK5678,2020-03-31,2020-03-31,1
UK436,2020-04-13,2020-05-14,11
UK294,2020-05-17,2020-05-17,1
UK835,2020-03-30,2020-03-30,1
UK5679,2020-03-31,2020-03-31,1
UK841,2020-03-30,2020-03-30,1
UK736,2020-04-20,2020-04-20,1
UK993,2020-04-21,2020-04-21,1
UK5680,2020-04-24,2020-04-24,1
UK296,2020-04-08,2020-05-13,25
UK185,2020-05-15,2020-05-15,1
UK2912,2020-04-12,2020-05-13,19
UK5683,2020-04-02,2020-04-02,1
UK338,2020-05-13,2020-05-13,1
UK499,2020-04-24,2020-05-15,13
UK340,2020-05-08,2020-05-08,1
UK662,2020-04-24,2020-04-24,1
UK359,2020-05-05,2020-05-05,1
UK323,2020-04-01,2020-04-12,2
UK5661,2020-04-02,2020-04-02,1
UK385,2020-04-28,2020-04-28,1
UK396,2020-04-24,2020-04-24,1
UK408,2020-05-08,2020-05-08,1
UK5687,2020-04-01,2020-04-01,1
UK409,2020-05-08,2020-05-08,1
UK410,2020-05-12,2020-05-12,1
UK3050,2020-04-13,2020-04-24,2
UK850,2020-04-01,2020-04-01,1
UK5674,2020-04-03,2020-04-03,1
UK4493,2020-04-23,2020-04-24,3
UK467,2020-04-15,2020-04-15,1
UK431,2020-05-10,2020-05-10,1
UK4662,2020-04-24,2020-04-24,2
UK833,2020-04-25,2020-05-10,4
UK1452,2020-04-24,2020-04-24,1
UK448,2020-05-11,2020-05-11,1
UK299,2020-05-10,2020-05-10,1
UK5646,2020-04-27,2020-04-27,1
UK1490,2020-05-10,2020-05-10,1
UK1502,2020-05-08,2020-05-08,1
UK1522,2020-05-09,2020-05-09,1
UK3108,2020-04-27,2020-04-27,1
UK434,2020-04-20,2020-05-07,9
UK550,2020-05-06,2020-05-06,1
UK554,2020-04-23,2020-05-06,8
UK1533,2020-05-05,2020-05-06,3
UK2200,2020-03-25,2020-05-05,15
UK2051,2020-05-06,2020-05-06,1
UK1527,2020-05-05,2020-05-05,1
UK1543,2020-05-04,2020-05-04,1
UK1891,2020-05-04,2020-05-04,1
UK592,2020-05-03,2020-05-03,2
UK189,2020-04-04,2020-05-03,2
UK17,2020-03-12,2020-05-03,2
UK3196,2020-05-03,2020-05-03,2
UK1544,2020-05-03,2020-05-03,1
UK2735,2020-03-18,2020-05-02,16
UK44,2020-03-17,2020-05-01,25
UK2568,2020-05-01,2020-05-01,1
UK2911,2020-03-31,2020-05-02,5
UK1784,2020-05-01,2020-05-01,1
UK1961,2020-05-01,2020-05-01,1
UK1511,2020-05-02,2020-05-02,1
UK3019,2020-04-23,2020-04-30,4
UK1782,2020-04-30,2020-04-30,1
UK1547,2020-05-01,2020-05-01,1
UK500,2020-04-16,2020-04-30,2
UK986,2020-04-13,2020-04-14,3
UK1913,2020-04-13,2020-04-13,1
UK92,2020-04-30,2020-04-30,1
UK1777,2020-04-29,2020-04-29,1
UK1772,2020-05-01,2020-05-01,1
UK865,2020-04-30,2020-04-30,1
UK458,2020-04-16,2020-05-01,2
UK328,2020-05-01,2020-05-01,1
UK2667,2020-04-30,2020-04-30,1
UK1549,2020-04-29,2020-04-29,1
UK1552,2020-04-29,2020-04-29,1
UK3223,2020-04-29,2020-04-29,1
UK1553,2020-04-27,2020-04-27,1
UK1794,2020-04-29,2020-04-29,1
UK560,2020-04-15,2020-04-27,7
