Lineage name	Scotland	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK36	91 (100.0%)	Mar-21, May-04	91	B.1	22	0.0222
UK2464	43 (100.0%)	Mar-20, May-12	43	B.1.p11	14	0.0901
UK5	35 (100.0%)	Mar-18, May-18	35	B.1.1.1	8	0.2243
UK53	28 (100.0%)	Apr-16, May-21	28	B.1.1.4	5	0.2593
UK44	25 (100.0%)	Mar-17, May-01	25	B	25	0.075
UK296	25 (100.0%)	Apr-08, May-13	25	B.1.5	13	0.1122
UK21	24 (100.0%)	Mar-18, May-23	24	B.1.40	3	0.9565
UK2912	19 (100.0%)	Apr-12, May-13	19	B.1.p11	13	0.1325
UK461	19 (100.0%)	Apr-18, May-19	19	B.1.5	7	0.246
UK558	17 (100.0%)	Apr-24, May-22	17	B.1.5	4	0.4375
UK304	17 (100.0%)	Apr-16, May-26	17	B.1.1.14	0	active today
UK2735	16 (100.0%)	Mar-18, May-02	16	B.1.1	24	0.125
UK150	16 (100.0%)	Mar-21, Apr-22	16	B.1.1.p12	34	0.0627
UK2200	15 (100.0%)	Mar-25, May-05	15	B.1.5.6, B.1.5	21	0.1395
UK66	14 (100.0%)	Mar-28, May-20	14	B.1.1.8	6	0.6795
UK156	14 (100.0%)	Mar-18, Apr-18	14	B.1.71	38	0.0628
UK43	14 (100.0%)	Mar-26, Apr-18	14	A.5	38	0.0466
UK499	13 (100.0%)	Apr-24, May-15	13	B.1.5	11	0.1591
UK1539	13 (100.0%)	May-09, May-25	13	B.1.5	1	1.3333
UK1667	13 (100.0%)	Mar-31, Apr-28	13	B.1.p9	28	0.0833
UK225	11 (100.0%)	Mar-17, Apr-05	11	B.2	51	0.0373
UK436	11 (100.0%)	Apr-13, May-14	11	B.1.5	12	0.2583
UK414	10 (100.0%)	Apr-05, Apr-22	10	B.1.5	34	0.0556
UK562	10 (100.0%)	Mar-27, Apr-25	10	B.1	31	0.1039
UK434	9 (100.0%)	Apr-20, May-07	9	B.1.5	19	0.1118
UK1548	9 (100.0%)	Apr-13, Apr-24	9	B.1.5.5, B.1.5	32	0.043
UK14	8 (100.0%)	Mar-21, Apr-27	8	B	29	0.1823
UK554	8 (100.0%)	Apr-23, May-06	8	B.1.5	20	0.0929
UK560	7 (100.0%)	Apr-15, Apr-27	7	B.1.5	29	0.069
UK555	6 (100.0%)	Apr-13, Apr-25	6	B.1.5	31	0.0774
UK133	6 (100.0%)	Mar-22, Apr-25	6	B.1	31	0.2194
