Name,oldest_sequence,newest_sequence,number_taxa
UK476,2020-03-31,2020-05-15,52
UK63,2020-04-09,2020-05-15,8
UK5642,2020-05-15,2020-05-15,1
UK5605,2020-05-15,2020-05-15,1
UK225,2020-03-25,2020-05-15,6
UK283,2020-03-25,2020-05-15,30
UK5643,2020-05-15,2020-05-15,1
UK5602,2020-04-14,2020-05-15,2
UK5644,2020-05-15,2020-05-15,1
UK5,2020-03-23,2020-04-15,3
UK5645,2020-04-13,2020-04-13,1
UK1,2020-03-22,2020-04-22,10
UK221,2020-04-09,2020-04-13,2
UK5646,2020-04-14,2020-04-14,1
UK5648,2020-04-18,2020-04-18,1
UK457,2020-04-06,2020-04-07,3
UK1791,2020-04-29,2020-04-29,1
UK4528,2020-03-22,2020-03-22,1
UK3164,2020-04-18,2020-04-18,1
UK4511,2020-04-06,2020-04-06,1
UK4400,2020-04-01,2020-04-01,1
UK3197,2020-03-30,2020-03-30,1
UK1052,2020-03-27,2020-03-27,1
UK819,2020-04-09,2020-04-10,2
UK3198,2020-04-07,2020-04-07,1
UK339,2020-03-26,2020-03-26,1
UK3166,2020-03-26,2020-03-26,1
UK3199,2020-03-26,2020-03-26,1
UK1620,2020-03-31,2020-03-31,1
UK3165,2020-04-01,2020-04-01,1
UK1053,2020-03-17,2020-03-17,1
UK3186,2020-03-12,2020-03-12,1
UK64,2020-03-29,2020-03-29,1
UK3187,2020-04-04,2020-04-04,1
UK274,2020-04-03,2020-04-06,3
UK497,2020-03-27,2020-03-27,1
UK3188,2020-03-29,2020-03-29,1
UK3189,2020-04-09,2020-04-09,1
UK4,2020-03-23,2020-03-27,2
UK217,2020-04-06,2020-04-06,1
UK3190,2020-04-18,2020-04-18,1
UK962,2020-04-03,2020-04-03,1
UK3191,2020-04-29,2020-04-29,1
UK3192,2020-03-31,2020-03-31,1
UK3193,2020-04-09,2020-04-09,1
UK1619,2020-03-28,2020-03-28,1
UK4667,2020-03-17,2020-03-17,1
UK181,2020-03-28,2020-03-28,1
UK3194,2020-04-29,2020-04-29,1
UK41,2020-04-13,2020-04-15,3
UK712,2020-04-15,2020-04-18,2
UK774,2020-04-15,2020-04-22,3
UK192,2020-04-16,2020-04-16,1
UK173,2020-04-15,2020-04-15,1
UK352,2020-04-15,2020-04-15,1
UK3244,2020-04-16,2020-04-16,1
UK3245,2020-04-22,2020-04-22,1
UK1007,2020-04-14,2020-04-14,1
UK3267,2020-04-12,2020-04-12,1
UK3246,2020-04-13,2020-04-13,1
UK326,2020-04-12,2020-04-12,1
UK3268,2020-04-13,2020-04-13,1
UK2681,2020-04-09,2020-04-09,1
UK70,2020-04-16,2020-04-16,1
UK570,2020-04-05,2020-04-17,4
UK511,2020-04-19,2020-04-19,1
UK4542,2020-04-17,2020-04-17,1
UK1798,2020-03-31,2020-03-31,1
UK174,2020-04-12,2020-04-17,2
UK62,2020-04-11,2020-04-11,1
UK140,2020-04-12,2020-04-15,2
UK942,2020-04-11,2020-04-14,2
UK1961,2020-04-09,2020-04-09,1
UK3371,2020-04-11,2020-04-11,1
UK243,2020-04-12,2020-04-12,1
UK3247,2020-04-01,2020-04-01,1
UK3037,2020-04-07,2020-04-07,1
UK2576,2020-04-07,2020-04-07,1
UK106,2020-04-04,2020-04-04,1
UK2677,2020-03-25,2020-03-25,1
