Lineage,Days,England,Scotland,Wales,Northern Ireland
UK701,2020-03-22,2,0,0,0
UK701,2020-03-22,2,0,0,0
UK701,2020-03-25,1,0,0,0
UK701,2020-03-31,1,0,0,0
UK701,2020-04-08,1,0,0,0
UK701,2020-04-13,1,0,0,0
UK701,2020-04-14,1,0,0,0
UK701,2020-04-15,1,0,0,0
UK701,2020-04-16,1,0,0,0
UK701,2020-04-22,1,0,0,0
UK701,2020-04-24,1,0,0,0
UK701,2020-04-29,1,0,0,0
UK701,2020-05-01,1,0,0,0
UK283,2020-03-25,2,0,0,0
UK283,2020-03-25,2,0,0,0
UK283,2020-03-28,1,0,0,0
UK283,2020-03-29,1,0,0,0
UK283,2020-04-02,1,0,0,0
UK283,2020-04-06,1,0,0,0
UK283,2020-04-09,3,0,0,0
UK283,2020-04-09,3,0,0,0
UK283,2020-04-09,3,0,0,0
UK283,2020-04-10,5,0,0,0
UK283,2020-04-10,5,0,0,0
UK283,2020-04-10,5,0,0,0
UK283,2020-04-10,5,0,0,0
UK283,2020-04-10,5,0,0,0
UK283,2020-04-11,1,0,0,0
UK283,2020-04-12,1,0,0,0
UK283,2020-04-13,2,0,0,0
UK283,2020-04-13,2,0,0,0
UK283,2020-04-14,4,0,0,0
UK283,2020-04-14,4,0,0,0
UK283,2020-04-14,4,0,0,0
UK283,2020-04-14,4,0,0,0
UK283,2020-04-15,3,0,0,0
UK283,2020-04-15,3,0,0,0
UK283,2020-04-15,3,0,0,0
UK283,2020-04-16,1,0,0,0
UK283,2020-04-17,4,0,0,0
UK283,2020-04-17,4,0,0,0
UK283,2020-04-17,4,0,0,0
UK283,2020-04-17,4,0,0,0
UK283,2020-04-23,1,0,0,0
UK283,2020-04-27,1,0,0,0
UK283,2020-04-29,1,0,0,0
UK283,2020-05-03,1,0,0,0
UK283,2020-05-04,1,0,0,0
UK63,2020-04-09,1,0,0,0
UK63,2020-04-10,4,0,0,0
UK63,2020-04-10,4,0,0,0
UK63,2020-04-10,4,0,0,0
UK63,2020-04-10,4,0,0,0
UK63,2020-04-11,1,0,0,0
UK63,2020-04-17,1,0,0,0
UK63,2020-04-24,1,0,0,0
UK63,2020-04-28,1,0,0,0
UK63,2020-04-29,1,0,0,0
UK63,2020-05-05,1,0,0,0
UK476,2020-03-31,1,0,0,0
UK476,2020-04-03,1,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-04,14,0,0,0
UK476,2020-04-05,3,0,0,0
UK476,2020-04-05,3,0,0,0
UK476,2020-04-05,3,0,0,0
UK476,2020-04-06,2,0,0,0
UK476,2020-04-06,2,0,0,0
UK476,2020-04-07,4,0,0,0
UK476,2020-04-07,4,0,0,0
UK476,2020-04-07,4,0,0,0
UK476,2020-04-07,4,0,0,0
UK476,2020-04-08,2,0,0,0
UK476,2020-04-08,2,0,0,0
UK476,2020-04-09,1,0,0,0
UK476,2020-04-10,4,0,0,0
UK476,2020-04-10,4,0,0,0
UK476,2020-04-10,4,0,0,0
UK476,2020-04-10,4,0,0,0
UK476,2020-04-11,1,0,0,0
UK476,2020-04-12,4,0,0,0
UK476,2020-04-12,4,0,0,0
UK476,2020-04-12,4,0,0,0
UK476,2020-04-12,4,0,0,0
UK476,2020-04-13,4,0,0,0
UK476,2020-04-13,4,0,0,0
UK476,2020-04-13,4,0,0,0
UK476,2020-04-13,4,0,0,0
UK476,2020-04-15,4,0,0,0
UK476,2020-04-15,4,0,0,0
UK476,2020-04-15,4,0,0,0
UK476,2020-04-15,4,0,0,0
UK476,2020-04-16,1,0,0,0
UK476,2020-04-17,4,0,0,0
UK476,2020-04-17,4,0,0,0
UK476,2020-04-17,4,0,0,0
UK476,2020-04-17,4,0,0,0
UK476,2020-04-18,3,0,0,0
UK476,2020-04-18,3,0,0,0
UK476,2020-04-18,3,0,0,0
UK476,2020-04-19,1,0,0,0
UK476,2020-04-27,1,0,0,0
UK476,2020-05-06,1,0,0,0
