Name,oldest_sequence,newest_sequence,number_taxa
UK269,2020-04-03,2020-05-06,11
UK635,2020-05-01,2020-05-13,3
UK5,2020-03-21,2020-05-07,71
UK36,2020-03-29,2020-05-12,30
UK186,2020-04-08,2020-05-15,12
UK236,2020-03-27,2020-04-22,14
UK99,2020-04-03,2020-04-03,1
UK302,2020-04-05,2020-05-03,4
UK214,2020-03-30,2020-04-09,4
UK3556,2020-04-12,2020-04-12,1
UK2025,2020-04-03,2020-04-03,1
UK2218,2020-04-04,2020-04-26,3
UK435,2020-04-03,2020-04-23,6
UK274,2020-03-23,2020-04-15,13
UK307,2020-03-28,2020-05-04,19
UK430,2020-04-10,2020-04-10,1
UK542,2020-04-01,2020-04-14,6
UK40,2020-03-31,2020-04-20,6
UK5177,2020-03-27,2020-04-11,7
UK808,2020-04-07,2020-04-07,1
UK293,2020-03-24,2020-04-28,20
UK92,2020-03-23,2020-04-22,13
UK1249,2020-04-04,2020-04-04,1
UK698,2020-04-03,2020-04-09,2
UK292,2020-04-12,2020-04-12,1
UK1250,2020-04-11,2020-04-11,1
UK2026,2020-04-03,2020-04-03,1
UK494,2020-04-03,2020-04-09,4
UK50,2020-04-03,2020-04-03,1
UK811,2020-04-05,2020-04-05,1
UK1246,2020-04-08,2020-04-08,1
UK701,2020-04-03,2020-04-07,3
UK5322,2020-04-01,2020-05-01,8
UK136,2020-04-10,2020-04-10,1
UK2027,2020-04-10,2020-04-10,1
UK1251,2020-04-11,2020-04-11,1
UK3027,2020-04-11,2020-04-11,1
UK1252,2020-04-10,2020-04-10,1
UK1253,2020-04-03,2020-04-03,1
UK1254,2020-04-03,2020-04-03,1
UK632,2020-03-23,2020-04-25,17
UK193,2020-04-07,2020-05-01,17
UK826,2020-04-04,2020-04-04,1
UK2551,2020-04-16,2020-04-20,4
UK86,2020-03-27,2020-04-10,4
UK110,2020-03-24,2020-04-29,6
UK72,2020-04-04,2020-05-04,3
UK1255,2020-04-03,2020-04-03,1
UK390,2020-03-29,2020-05-01,6
UK5684,2020-04-03,2020-04-03,1
UK249,2020-04-01,2020-04-25,13
UK9,2020-03-30,2020-04-02,3
UK371,2020-04-11,2020-04-11,1
UK344,2020-03-25,2020-04-14,4
UK5564,2020-04-09,2020-04-11,2
UK827,2020-04-05,2020-04-05,1
UK2030,2020-04-03,2020-04-03,1
UK527,2020-04-03,2020-04-14,3
UK2753,2020-04-09,2020-04-11,3
