Lineage name	England	Date range	Total sequences	Global lineage	Time since last sample (days)	Activity score
UK5	298 (100.0%)	Mar-21, Jun-08	298	B.1.1.1, B.1.1	0	active today
UK36	31 (100.0%)	Mar-29, Jun-03	31	B.1	5	0.44
UK42	23 (100.0%)	Mar-23, May-26	23	B.1	13	0.2238
UK501	21 (100.0%)	Mar-24, Jun-02	21	B.1	6	0.5833
UK233	20 (100.0%)	May-25, Jun-08	20	B.1	0	active today
UK109	15 (100.0%)	Apr-03, Jun-05	15	B.1.5	3	1.5
UK274	13 (100.0%)	Mar-23, Apr-15	13	B.3	54	0.0355
UK186	13 (100.0%)	Apr-08, May-15	13	B	24	0.1285
UK632	11 (100.0%)	Mar-23, Apr-25	11	B.1.1	44	0.075
UK5300	10 (100.0%)	Apr-17, Jun-07	10	B.1.1	1	5.6667
UK5180	9 (100.0%)	Mar-27, Apr-19	9	B.1.1.7	50	0.0575
UK1207	9 (100.0%)	Mar-23, Apr-19	9	B.1.1	50	0.0675
UK167	8 (100.0%)	Mar-30, Apr-14	8	B.1	55	0.039
UK131	7 (100.0%)	Mar-24, Apr-14	7	B.15	55	0.0636
UK15	7 (100.0%)	Apr-08, Apr-29	7	B.1.1	40	0.0875
UK390	6 (100.0%)	Mar-29, May-01	6	B.1.5	38	0.1737
UK202	6 (100.0%)	Apr-02, Jun-04	6	B.1.1	4	3.15
UK40	6 (100.0%)	Mar-31, Apr-20	6	B.16	49	0.0816
UK490	6 (100.0%)	Apr-03, May-02	6	B.1.1	37	0.1568
UK832	6 (100.0%)	Apr-14, Apr-26	6	A.5	43	0.0558
UK72	6 (100.0%)	Apr-01, May-27	6	B	12	0.9333
