Lineage,Days,England,Scotland,Wales,Northern Ireland
UK542,2020-04-01,1,0,0,0
UK542,2020-04-02,1,0,0,0
UK542,2020-04-08,2,0,0,0
UK542,2020-04-08,2,0,0,0
UK542,2020-04-12,1,0,0,0
UK542,2020-04-14,1,0,0,0
UK131,2020-03-24,1,0,0,0
UK131,2020-03-25,1,0,0,0
UK131,2020-03-27,2,0,0,0
UK131,2020-03-27,2,0,0,0
UK131,2020-03-30,1,0,0,0
UK131,2020-04-08,1,0,0,0
UK131,2020-04-14,1,0,0,0
UK274,2020-03-23,4,0,0,0
UK274,2020-03-23,4,0,0,0
UK274,2020-03-23,4,0,0,0
UK274,2020-03-23,4,0,0,0
UK274,2020-03-24,1,0,0,0
UK274,2020-03-25,1,0,0,0
UK274,2020-03-29,1,0,0,0
UK274,2020-04-02,1,0,0,0
UK274,2020-04-04,1,0,0,0
UK274,2020-04-06,1,0,0,0
UK274,2020-04-11,1,0,0,0
UK274,2020-04-12,1,0,0,0
UK274,2020-04-15,1,0,0,0
UK225,2020-03-29,1,0,0,0
UK225,2020-04-03,1,0,0,0
UK225,2020-04-08,2,0,0,0
UK225,2020-04-08,2,0,0,0
UK225,2020-04-09,1,0,0,0
UK225,2020-04-11,1,0,0,0
UK225,2020-04-12,1,0,0,0
UK225,2020-04-13,1,0,0,0
UK225,2020-04-15,1,0,0,0
UK18,2020-03-27,1,0,0,0
UK18,2020-03-29,1,0,0,0
UK18,2020-04-05,2,0,0,0
UK18,2020-04-05,2,0,0,0
UK18,2020-04-08,1,0,0,0
UK18,2020-04-10,2,0,0,0
UK18,2020-04-10,2,0,0,0
UK18,2020-04-11,1,0,0,0
UK18,2020-04-19,1,0,0,0
UK40,2020-03-31,1,0,0,0
UK40,2020-04-02,1,0,0,0
UK40,2020-04-09,1,0,0,0
UK40,2020-04-13,2,0,0,0
UK40,2020-04-13,2,0,0,0
UK40,2020-04-20,1,0,0,0
UK236,2020-03-27,1,0,0,0
UK236,2020-03-31,1,0,0,0
UK236,2020-04-03,1,0,0,0
UK236,2020-04-07,4,0,0,0
UK236,2020-04-07,4,0,0,0
UK236,2020-04-07,4,0,0,0
UK236,2020-04-07,4,0,0,0
UK236,2020-04-08,4,0,0,0
UK236,2020-04-08,4,0,0,0
UK236,2020-04-08,4,0,0,0
UK236,2020-04-08,4,0,0,0
UK236,2020-04-09,1,0,0,0
UK236,2020-04-10,1,0,0,0
UK236,2020-04-22,1,0,0,0
UK149,2020-03-23,2,0,0,0
UK149,2020-03-23,2,0,0,0
UK149,2020-03-25,1,0,0,0
UK149,2020-03-26,1,0,0,0
UK149,2020-03-30,1,0,0,0
UK149,2020-03-31,1,0,0,0
UK149,2020-04-01,2,0,0,0
UK149,2020-04-01,2,0,0,0
UK149,2020-04-02,1,0,0,0
UK149,2020-04-09,1,0,0,0
UK149,2020-04-14,1,0,0,0
UK149,2020-04-16,1,0,0,0
UK149,2020-04-22,1,0,0,0
UK435,2020-04-03,1,0,0,0
UK435,2020-04-07,1,0,0,0
UK435,2020-04-10,1,0,0,0
UK435,2020-04-13,2,0,0,0
UK435,2020-04-13,2,0,0,0
UK435,2020-04-23,1,0,0,0
UK249,2020-04-01,1,0,0,0
UK249,2020-04-03,1,0,0,0
UK249,2020-04-07,1,0,0,0
UK249,2020-04-08,1,0,0,0
UK249,2020-04-09,1,0,0,0
UK249,2020-04-12,1,0,0,0
UK249,2020-04-13,1,0,0,0
UK249,2020-04-15,1,0,0,0
UK249,2020-04-17,2,0,0,0
UK249,2020-04-17,2,0,0,0
UK249,2020-04-20,1,0,0,0
UK249,2020-04-21,1,0,0,0
UK249,2020-04-25,1,0,0,0
UK140,2020-03-23,2,0,0,0
